1:1	시편 102:25, 이사야 42:5, 이사야 45:18, 로마서 1:20, 히브리서 1:10, 요한 계시록 4:11, 요한 계시록 10:6
1:2	잠언 8:27-28, 시편 33:6, 이사야 40:26, 시편 104:5-6
1:3	이사야 45:7, 고린도 후서 4:6
1:5	창세기 8:22
1:6	창세기 1:20, 베드로 후서 3:5
1:7	창세기 7:11, 잠언 8:27-28
1:9	욥기 38:8, 욥기 38:11, 시편 104:6-9, 시편 136:6
1:10	시편 95:5, 잠언 8:29, 신명기 32:4
1:12	시편 104:14
1:14	신명기 4:19, 시편 104:19, 창세기 8:22
1:16	시편 136:7-8, 시편 8:3, 예레미야 31:35
1:18	시편 74:16
1:20	창세기 2:19
1:22	느헤미야 9:6, 시편 104:25
1:24	창세기 2:19
1:26	잠언 8:30, 요한복음 1:3, 골로새서 1:16, 고린도 전서 11:7, 창세기 5:1, 야고보서 3:9, 창세기 9:2
1:27	시편 139:14, 마태복음 19:4, 마가복음 10:6, 고린도 전서 11:7, 고린도 전서 11:9
1:28	창세기 9:1, 창세기 2:15, 시편 8:4, 시편 8:6
1:29	창세기 9:3, 시편 104:14, 사도행전 14:17
1:30	시편 147:9, 마태복음 6:26
1:31	신명기 32:4, 시편 104:24, 디모데 전서 4:4
2:1	느헤미야 9:6, 시편 146:6
2:2	출애굽기 31:17, 히브리서 4:4
2:4	이사야 45:18
2:7	창세기 3:19, 시편 103:14, 전도서 3:20, 창세기 7:22, 이사야 42:5, 사도행전 17:25, 고린도 전서 15:45, 고린도 전서 15:47
2:8	창세기 2:15, 창세기 3:23, 창세기 1:26
2:9	창세기 3:22, 창세기 3:24, 요한 계시록 2:7, 창세기 2:17
2:14	다니엘 10:4, 창세기 10:8, 창세기 10:11, 창세기 15:18, 신명기 11:24
2:15	창세기 1:28, 창세기 2:8, 시편 115:16
2:16	창세기 2:8-9, 창세기 3:2
2:17	창세기 3:19, 시편 146:4, 전도서 9:5, 전도서 9:10, 에스겔 18:4, 로마서 5:12, 고린도 전서 15:22
2:18	고린도 전서 11:8-9, 디모데 전서 2:13
2:19	창세기 1:26
2:22	마가복음 10:9, 디모데 전서 2:13
2:23	고린도 전서 11:8
2:24	말라기 2:16, 마태복음 19:5, 마가복음 10:7-8, 로마서 7:2, 고린도 전서 6:16, 에베소서 5:31, 히브리서 13:4
2:25	창세기 3:7
3:1	고린도 후서 11:3, 요한 계시록 12:9, 요한 계시록 20:2, 창세기 2:17
3:2	창세기 2:16
3:3	창세기 2:8-9
3:4	요한복음 8:44, 요한 1서 3:8
3:5	창세기 3:22
