1:1	창세기 46:8
1:2	역대기상 2:3-4
1:4	창세기 46:17
1:5	창세기 46:26, 신명기 10:22, 사도행전 7:14
1:6	창세기 50:26
1:7	창세기 46:3, 신명기 26:5, 사도행전 7:17-19
1:9	시편 105:24-25
1:11	창세기 15:13, 출애굽기 3:7, 민수기 20:15, 신명기 26:6, 창세기 47:11
1:12	출애굽기 1:7, 시편 105:24-25
1:13	출애굽기 2:23, 사도행전 7:6
1:14	레위기 26:13
1:16	에스겔 16:4
1:17	창세기 9:5-6
1:22	사도행전 7:18-19
2:1	출애굽기 6:20, 민수기 26:59
2:2	사도행전 7:20, 히브리서 11:23
2:3	사도행전 7:18-19
2:4	출애굽기 15:20, 역대기상 6:3, 미가 6:4
2:5	사도행전 7:21
2:8	출애굽기 6:20
2:10	히브리서 11:24-25, 사도행전 7:21
2:11	출애굽기 1:11, 출애굽기 3:7, 사도행전 7:23
2:12	사도행전 7:24
2:13	사도행전 7:26
2:14	사도행전 7:27-28
2:15	창세기 25:1-2, 출애굽기 3:1, 출애굽기 4:19
2:16	출애굽기 18:12
2:18	출애굽기 4:18, 출애굽기 18:1, 민수기 10:29
2:19	사도행전 7:22
2:21	출애굽기 18:2-4, 민수기 12:1
2:22	역대기상 23:15, 사도행전 7:29
2:23	출애굽기 7:7, 사도행전 7:30, 출애굽기 3:7, 열왕기상 8:51
2:24	사도행전 7:34, 창세기 15:13-14, 출애굽기 6:5, 민수기 20:15-16
3:1	출애굽기 2:16, 출애굽기 18:1, 출애굽기 24:12-13, 열왕기상 19:8-9
3:2	사도행전 7:30-34
3:6	창세기 17:1, 창세기 17:7, 창세기 26:24, 창세기 28:13, 창세기 32:9, 마태복음 22:32, 사도행전 7:32
3:7	출애굽기 1:11, 이사야 63:9, 사도행전 7:34
3:8	출애굽기 12:51, 민수기 13:26-27, 신명기 27:3, 창세기 10:15-17, 출애굽기 33:1-2, 신명기 7:1, 여호수아 3:10, 느헤미야 9:7-8
3:9	출애굽기 1:11
