1:1	출애굽기 40:34
1:2	레위기 22:18-20
1:3	신명기 15:19, 신명기 15:21, 말라기 1:14, 고린도 후서 9:7
1:5	히브리서 10:11, 히브리서 9:13-14
1:6	레위기 7:8
1:7	레위기 6:12
1:8	열왕기상 18:23
1:9	창세기 8:20-21, 민수기 15:2-3
1:10	창세기 4:4, 레위기 12:6, 레위기 22:18-20
1:11	출애굽기 29:16-18, 레위기 8:18-21, 레위기 9:12-14
1:14	레위기 5:7, 레위기 12:8, 누가복음 2:24
1:16	출애굽기 27:3, 레위기 4:11-12, 레위기 6:10
2:1	레위기 9:17, 민수기 15:2-4, 출애굽기 29:1-3, 레위기 6:14-15, 민수기 7:13
2:2	민수기 5:25-26
2:3	레위기 10:12, 민수기 18:9, 레위기 7:9-10
2:4	레위기 8:26, 레위기 8:28, 민수기 6:13, 민수기 6:19
2:5	레위기 6:20-21
2:6	민수기 28:9
2:9	레위기 2:2, 레위기 5:11-12, 출애굽기 29:38-41, 민수기 28:4-6
2:10	민수기 18:9
2:11	레위기 6:14, 레위기 6:17
2:12	출애굽기 23:19, 민수기 15:20, 역대기하 31:5, 잠언 3:9
2:13	에스겔 43:23-24
2:14	출애굽기 23:16, 출애굽기 34:22, 민수기 28:26
2:16	레위기 5:11-12, 레위기 6:14-15
3:1	레위기 22:21, 민수기 6:13-14
3:3	레위기 7:29-31, 출애굽기 29:13, 레위기 7:23-25, 열왕기상 8:64
3:4	레위기 7:1-4
3:5	레위기 6:12, 레위기 4:29, 레위기 4:31
3:6	민수기 6:13-14
3:9	출애굽기 29:22, 레위기 9:18-20, 역대기하 7:7
3:10	레위기 4:8-9, 레위기 9:10
3:11	레위기 4:31
3:14	레위기 4:24, 레위기 4:26
3:16	레위기 7:23, 사무엘상 2:15-17
3:17	창세기 9:4, 레위기 17:10, 레위기 17:13, 신명기 12:23, 사도행전 15:20, 사도행전 15:29
4:2	레위기 5:17, 민수기 15:27-28
4:3	레위기 8:12, 레위기 21:10, 민수기 12:1, 민수기 12:11, 히브리서 5:1-3, 히브리서 7:27
4:4	레위기 6:25, 출애굽기 29:10-11
4:5	출애굽기 30:30
4:6	레위기 8:15-16, 레위기 16:14, 레위기 16:19
4:7	출애굽기 30:10, 레위기 5:9
4:9	레위기 9:8, 레위기 9:10
4:10	레위기 3:3-4
4:11	출애굽기 29:14
4:12	레위기 8:14, 레위기 8:17, 히브리서 13:11
4:13	여호수아 7:11, 민수기 15:22-24
4:17	출애굽기 26:31, 출애굽기 40:21, 히브리서 10:19-20
4:18	출애굽기 30:1, 출애굽기 30:6, 출애굽기 27:1, 출애굽기 40:6
4:19	레위기 3:16
4:20	출애굽기 32:30, 레위기 16:17, 민수기 15:25, 에베소서 1:7, 히브리서 2:17
4:21	레위기 4:11-12, 레위기 16:15, 요한 1서 2:1-2
4:22	출애굽기 18:21
4:24	레위기 1:10-11, 레위기 6:25, 레위기 7:2
4:25	레위기 9:8-9, 레위기 16:18, 히브리서 9:22, 레위기 8:15
4:26	레위기 3:3-5
4:27	민수기 15:27-29
4:29	레위기 1:10-11, 레위기 6:25
4:30	레위기 4:25, 레위기 8:15, 레위기 9:8-9, 히브리서 9:22
4:31	레위기 3:3-4, 레위기 3:16
4:33	레위기 1:10-11
4:34	레위기 4:25, 레위기 16:18
4:35	출애굽기 29:13-14, 레위기 3:3-4, 레위기 6:12, 레위기 9:8, 레위기 9:10, 민수기 15:28, 요한 1서 1:7, 요한 1서 2:1-2
5:1	잠언 29:24
5:2	레위기 11:21-24, 레위기 17:15, 신명기 14:8
5:3	레위기 12:2, 레위기 13:3, 레위기 15:3, 민수기 19:11
5:4	마태복음 5:33
5:5	민수기 5:7, 시편 32:5, 잠언 28:13, 요한 1서 1:9
5:6	레위기 7:1, 레위기 14:2, 레위기 14:12, 레위기 19:20-21, 민수기 6:12
5:7	누가복음 2:24, 레위기 12:7-8, 레위기 14:21-22, 레위기 15:13-15
5:9	레위기 1:4-5, 레위기 7:2, 히브리서 9:22
5:10	레위기 1:15-17, 레위기 6:7
5:11	출애굽기 16:36
5:13	레위기 4:26, 레위기 6:14-16, 고린도 전서 9:13, 레위기 2:10, 레위기 7:1, 레위기 7:6
5:15	레위기 10:17-18, 레위기 6:6, 출애굽기 30:13, 레위기 27:25
5:16	레위기 6:4-5, 레위기 22:14, 민수기 5:6-7, 출애굽기 32:30, 레위기 6:7, 레위기 19:22
5:17	레위기 5:2
5:18	레위기 6:6
6:2	출애굽기 22:7, 레위기 19:11, 민수기 5:6
6:3	출애굽기 22:10-11, 레위기 19:12, 에베소서 4:25, 골로새서 3:9
6:5	레위기 5:15-16, 민수기 5:6-7
6:6	레위기 5:15, 레위기 7:1, 이사야 53:10
6:7	레위기 5:18
6:9	출애굽기 29:38-42, 민수기 28:3, 히브리서 10:11
6:10	출애굽기 28:39, 레위기 16:32, 에스겔 44:17, 출애굽기 28:42, 출애굽기 39:27-28, 출애굽기 27:3, 레위기 1:16
6:11	레위기 16:23, 에스겔 44:19, 레위기 4:3, 레위기 4:12
6:12	레위기 1:7, 느헤미야 13:30-31, 레위기 3:5, 레위기 3:16
6:14	레위기 2:1, 민수기 15:3-4
6:15	레위기 2:2, 레위기 2:9, 레위기 5:11-12
6:16	레위기 2:3, 레위기 5:13, 에스겔 44:29, 고린도 전서 9:13, 레위기 10:12
6:17	레위기 2:11, 민수기 18:9, 레위기 2:3, 레위기 2:10
6:18	민수기 18:10, 레위기 24:8-9
6:20	출애굽기 30:30, 히브리서 5:1, 출애굽기 16:36, 출애굽기 29:1-2, 출애굽기 29:40-41, 레위기 2:1, 레위기 9:17, 민수기 28:4-5
6:21	레위기 2:5, 레위기 7:9, 역대기상 23:29
6:22	신명기 10:6
6:25	레위기 4:3, 레위기 1:3, 레위기 1:11
6:26	레위기 10:17, 민수기 18:9, 에스겔 44:29, 출애굽기 27:9, 레위기 6:14, 레위기 6:16, 에스겔 42:13
6:29	레위기 6:14, 레위기 6:18, 레위기 21:21-22, 민수기 18:10, 레위기 6:25
6:30	레위기 4:5, 레위기 10:18, 레위기 16:27, 히브리서 13:11
7:1	레위기 5:6, 레위기 6:6, 레위기 14:2, 레위기 14:12, 레위기 19:20-21, 민수기 6:12
7:2	히브리서 9:22, 레위기 3:1-2, 레위기 5:9
7:3	출애굽기 29:13-14, 레위기 3:9, 레위기 3:17, 레위기 4:8-9, 레위기 8:18, 레위기 8:20
7:4	레위기 3:3-4
7:5	레위기 3:14-16
7:6	레위기 5:13, 레위기 6:14, 레위기 6:16, 민수기 18:9, 레위기 2:3
7:7	레위기 6:25-26, 레위기 14:13
7:8	출애굽기 29:14, 레위기 1:6
7:9	레위기 6:20-21, 역대기상 23:29, 레위기 2:3-7, 민수기 18:9, 고린도 전서 9:13
7:10	레위기 14:21, 레위기 5:11, 민수기 5:15
7:11	레위기 3:1, 레위기 7:20, 레위기 22:21, 고린도 전서 10:16
7:12	레위기 22:29, 역대기하 29:31
7:14	레위기 6:25-26, 레위기 10:14, 민수기 18:8
7:15	레위기 22:29-30
7:16	레위기 22:21, 레위기 22:23, 신명기 12:5-6
7:17	레위기 19:5-6
7:18	레위기 19:7-8
7:20	민수기 19:20
7:21	레위기 12:2, 레위기 12:4, 레위기 11:21-24, 신명기 14:7, 레위기 11:10, 신명기 14:10
7:23	레위기 3:16-17, 레위기 4:8-10, 사무엘상 2:16-17
7:24	출애굽기 22:31, 레위기 17:15
7:26	창세기 9:4, 레위기 3:17, 레위기 17:10, 신명기 12:16, 사무엘상 14:33, 사도행전 15:20, 사도행전 15:29
7:27	레위기 17:14
7:29	레위기 3:1
7:30	레위기 3:3, 출애굽기 29:24, 레위기 8:25-27, 레위기 9:21
7:31	레위기 3:3-5, 레위기 8:29
7:32	출애굽기 29:27-28, 레위기 10:14, 민수기 6:20
7:33	신명기 18:3
7:34	레위기 10:14
7:35	출애굽기 28:1, 출애굽기 29:4, 출애굽기 29:7, 출애굽기 40:13
7:36	출애굽기 40:15, 레위기 8:12
7:37	레위기 6:9, 레위기 2:1, 레위기 6:14, 레위기 6:25, 레위기 5:6, 레위기 7:1, 출애굽기 29:1, 레위기 6:20, 레위기 3:1
7:38	레위기 1:2, 출애굽기 34:27
8:2	출애굽기 28:1, 출애굽기 28:4, 출애굽기 39:33, 출애굽기 39:41, 출애굽기 30:23-25, 출애굽기 40:15, 출애굽기 29:1-2
8:6	출애굽기 29:4, 출애굽기 40:12
8:7	출애굽기 28:39, 출애굽기 39:27, 출애굽기 39:29, 출애굽기 39:22, 출애굽기 28:6, 출애굽기 39:2, 출애굽기 28:8, 출애굽기 29:5, 출애굽기 39:20
8:8	출애굽기 28:15, 출애굽기 39:9, 출애굽기 28:30
8:9	출애굽기 29:6, 출애굽기 39:27-28, 출애굽기 28:36, 출애굽기 39:30
8:10	출애굽기 30:26-28
8:12	출애굽기 29:4, 출애굽기 29:7, 출애굽기 30:30, 출애굽기 40:13, 레위기 21:10, 시편 133:2
8:13	출애굽기 28:40, 출애굽기 29:8-9
8:14	출애굽기 29:10-14, 레위기 4:3-4, 레위기 16:6
8:15	히브리서 9:21-22
8:16	레위기 4:8-9
8:17	레위기 4:11-12, 레위기 16:27
8:18	출애굽기 29:15-18, 레위기 1:4
8:22	레위기 8:33, 출애굽기 29:19-20
8:24	출애굽기 24:6
8:25	출애굽기 29:22-25
8:26	레위기 2:4, 출애굽기 29:1-2
8:29	레위기 7:29-30, 출애굽기 29:26-27, 레위기 7:34-35
8:30	출애굽기 30:30, 민수기 3:2-3, 출애굽기 29:21
8:31	레위기 6:28, 출애굽기 29:31-32, 고린도 전서 9:13
8:32	출애굽기 29:34
8:33	출애굽기 29:30, 출애굽기 29:35, 민수기 3:2-3
8:34	출애굽기 29:36, 레위기 17:11
8:35	출애굽기 29:37, 민수기 1:53
9:1	레위기 8:35
9:2	레위기 4:3
9:4	레위기 3:1, 레위기 2:4, 레위기 6:14, 출애굽기 29:43
9:6	출애굽기 16:10, 출애굽기 24:16, 출애굽기 40:34
9:7	레위기 4:3, 히브리서 7:27, 히브리서 5:1-3, 레위기 16:33
9:8	레위기 4:3-4
9:9	히브리서 9:22, 레위기 4:7, 레위기 8:14-15
9:10	레위기 4:8-10
9:11	레위기 4:11-12, 히브리서 13:11
9:12	레위기 1:5
9:16	레위기 1:3, 레위기 6:9
9:17	레위기 2:1, 레위기 2:11, 레위기 2:13, 출애굽기 29:39
9:18	레위기 3:1-2
9:19	레위기 3:3-4, 레위기 3:9-10
9:20	레위기 7:29-31
9:21	출애굽기 29:27-28
9:22	민수기 6:23-27, 신명기 10:8, 신명기 21:5, 역대기상 23:13
9:23	사무엘하 6:18, 역대기하 6:3, 레위기 9:6
9:24	사사기 6:21, 역대기상 21:26, 열왕기상 18:38-39, 역대기하 7:1, 역대기하 7:3
10:1	출애굽기 6:23, 역대기상 24:2, 출애굽기 30:34-35, 레위기 16:12, 출애굽기 30:9, 레위기 10:9, 레위기 16:1-2
10:2	민수기 16:35, 민수기 26:61
10:3	출애굽기 19:22
10:4	출애굽기 6:18
10:6	레위기 21:10
10:7	출애굽기 28:41, 레위기 8:12, 레위기 21:11-12
10:9	에스겔 44:21
10:10	에스겔 44:23
10:11	신명기 33:10, 역대기하 17:8-9, 느헤미야 8:7-8, 말라기 2:7
10:12	레위기 6:14, 레위기 6:16, 레위기 21:22
10:13	레위기 6:26, 민수기 18:10
10:14	레위기 22:13, 민수기 18:11, 출애굽기 29:26-28, 레위기 7:31, 레위기 7:34, 레위기 9:21
10:15	고린도 전서 9:13
10:16	레위기 9:3, 레위기 9:15
10:17	레위기 6:25-26, 에스겔 44:29
10:18	레위기 6:29-30
10:19	레위기 9:8, 레위기 9:12
11:2	신명기 14:4-6, 에스겔 4:14
11:4	신명기 14:7-8
11:5	잠언 30:26
11:7	이사야 65:4, 이사야 66:3, 이사야 66:17
11:8	사도행전 10:14
11:9	신명기 14:9-10
11:11	신명기 14:3
11:13	욥기 39:27, 욥기 39:30, 신명기 14:12-19
11:22	마태복음 3:4, 마가복음 1:6
11:24	레위기 14:46-47, 레위기 15:8, 레위기 17:15, 레위기 22:4-6
11:25	레위기 14:2, 레위기 14:8, 레위기 15:2, 레위기 15:5, 민수기 19:10
11:26	신명기 14:7-8
