1:2	신명기 9:23
1:3	민수기 32:13, 민수기 33:38
1:4	민수기 21:23-24, 여호수아 12:1-2, 민수기 21:33-35, 여호수아 13:8, 여호수아 13:12
1:5	신명기 4:8, 신명기 17:18, 느헤미야 8:7
1:6	출애굽기 19:1, 민수기 10:11-12
1:7	창세기 15:16, 여호수아 12:2-3, 여호수아 9:1-2, 여호수아 13:1, 여호수아 13:5, 열왕기상 9:19, 창세기 15:18
1:8	창세기 26:3, 창세기 28:13, 창세기 12:7, 창세기 13:14-15, 창세기 17:1, 창세기 17:7
1:9	출애굽기 18:17-18
1:10	창세기 15:1, 창세기 15:5, 출애굽기 32:13, 민수기 26:51, 신명기 10:22
1:11	열왕기상 3:8, 창세기 12:1-3, 창세기 22:15, 창세기 22:17, 창세기 26:3-4, 출애굽기 23:25
1:12	출애굽기 18:17-18, 민수기 11:11, 민수기 20:3
1:13	출애굽기 18:21
1:15	출애굽기 18:25
1:16	출애굽기 22:21, 레위기 19:34, 레위기 24:22, 출애굽기 23:8, 신명기 16:18, 요한복음 7:24
1:17	레위기 19:15, 로마서 2:11, 출애굽기 23:3, 잠언 29:25, 역대기하 19:6, 출애굽기 18:25-26
1:19	민수기 13:29, 민수기 10:12, 신명기 8:14-15, 예레미야 2:6, 민수기 13:26
1:21	출애굽기 23:27, 신명기 1:8
1:22	민수기 13:1-2
1:23	민수기 13:3
1:24	민수기 13:17
1:25	민수기 13:23-27
1:26	민수기 14:1-4
1:28	민수기 13:28, 민수기 13:33, 민수기 13:22, 여호수아 11:21, 민수기 32:9, 여호수아 14:7-8
1:29	민수기 14:9
1:30	출애굽기 14:14, 여호수아 10:42, 민수기 14:22
1:32	시편 78:22, 시편 106:24, 히브리서 3:16, 히브리서 3:19, 유다서 1:5
1:33	출애굽기 13:21, 출애굽기 40:36, 민수기 10:33-34, 시편 78:14
1:34	민수기 14:28, 민수기 14:35, 민수기 32:10-12, 신명기 2:14, 시편 95:11, 히브리서 3:11
1:35	민수기 14:29, 민수기 14:35, 고린도 전서 10:1, 고린도 전서 10:5, 히브리서 3:17
1:36	민수기 14:24, 여호수아 14:9
1:37	민수기 20:12, 민수기 27:13-14, 신명기 3:26, 시편 106:32
1:38	출애굽기 33:11, 민수기 11:28, 민수기 14:38, 민수기 27:18, 신명기 31:7, 여호수아 1:6, 여호수아 1:9
1:39	민수기 14:3, 민수기 14:30-31
1:40	민수기 14:25
1:41	민수기 14:39-45
1:42	레위기 26:14, 레위기 26:17
2:1	민수기 14:25
2:4	창세기 27:39-40, 창세기 36:8-9, 민수기 20:14, 신명기 23:7, 출애굽기 15:15, 출애굽기 23:27
2:5	신명기 32:8, 여호수아 24:4, 사도행전 17:26
2:6	민수기 20:18-19
2:7	신명기 29:5, 느헤미야 9:21, 시편 23:1, 시편 34:9-10
2:8	역대기하 8:17, 민수기 20:20-21, 민수기 21:13, 사사기 11:17-18, 역대기하 20:10
2:9	창세기 19:36-37
2:10	창세기 14:5
2:11	신명기 3:11, 역대기상 20:6, 민수기 13:22, 민수기 13:33
2:12	창세기 14:6, 창세기 36:20, 창세기 27:39-40
2:13	민수기 21:12
2:14	민수기 14:33, 민수기 32:11, 신명기 1:35, 시편 95:11, 히브리서 3:18, 유다서 1:5
2:15	고린도 전서 10:1, 고린도 전서 10:5
2:16	민수기 26:63-64
2:19	창세기 19:36, 창세기 19:38, 신명기 2:9, 사사기 11:15, 역대기하 20:10, 사도행전 17:26
2:20	창세기 15:18-20, 신명기 3:11
2:21	민수기 13:33, 신명기 9:1-2
2:22	창세기 36:8, 창세기 14:6, 신명기 2:12
2:23	창세기 10:19, 창세기 10:13-14
2:24	민수기 21:13, 민수기 21:23
2:25	출애굽기 15:14, 출애굽기 23:27, 신명기 11:25, 여호수아 2:9-10
2:26	여호수아 13:15, 여호수아 13:18, 여호수아 21:8, 여호수아 21:37, 신명기 20:10
2:27	민수기 21:21-22
2:30	민수기 21:25, 로마서 9:18
2:31	민수기 32:33, 시편 135:10-12
2:32	민수기 21:23-24, 사사기 11:20
2:34	신명기 20:16-17
2:36	신명기 3:12, 신명기 4:47-48, 여호수아 13:8-9, 시편 44:3
2:37	신명기 3:16, 사사기 11:15, 민수기 21:23-24
3:1	민수기 21:33-35
3:4	민수기 32:33, 신명기 29:7-8, 여호수아 13:29-30
3:6	레위기 27:29, 레위기 18:25
3:8	민수기 32:33, 여호수아 12:1-2
3:10	민수기 21:33
3:12	민수기 32:34, 민수기 32:33
3:13	민수기 32:39, 여호수아 13:29-31, 역대기상 5:23
3:14	역대기상 2:22, 여호수아 13:13, 신명기 3:4, 민수기 32:40-41
3:15	민수기 32:39, 여호수아 17:1
3:16	민수기 32:33, 여호수아 22:9
3:17	민수기 34:11-12
3:18	민수기 32:20-22
3:20	여호수아 1:14-15, 여호수아 22:4, 여호수아 22:8
3:21	민수기 11:28, 민수기 14:30, 민수기 27:18, 여호수아 10:25
3:22	출애굽기 14:14, 출애굽기 15:3, 신명기 1:30, 신명기 20:4, 여호수아 10:42
3:24	출애굽기 15:16, 신명기 11:2, 출애굽기 15:11, 사무엘하 7:22, 열왕기상 8:23, 시편 86:8, 예레미야 10:6-7
3:25	출애굽기 3:8, 신명기 1:7, 신명기 11:11-12
3:26	민수기 20:12, 민수기 27:13-14, 신명기 4:21, 시편 106:32
3:27	민수기 27:12, 신명기 34:1, 신명기 34:4
3:28	민수기 27:18-20, 신명기 1:38, 신명기 31:7, 여호수아 1:1-2
3:29	신명기 4:45-46, 신명기 34:5-6
4:1	레위기 18:5
4:2	신명기 12:32, 잠언 30:5-6, 요한 계시록 22:18-19
4:3	민수기 25:5, 민수기 25:9, 시편 106:28, 호세아 9:10, 고린도 전서 10:7-8
4:5	레위기 26:46, 민수기 30:16, 민수기 36:13, 신명기 6:1
4:6	열왕기상 2:3, 시편 111:10, 시편 119:98, 시편 119:100, 열왕기상 4:34, 열왕기상 10:4-7, 다니엘 1:19-20
4:7	출애굽기 25:8, 레위기 26:12, 신명기 5:26, 사무엘하 7:23
4:8	시편 147:19-20
4:9	창세기 18:19, 신명기 6:6-7
4:10	출애굽기 19:9, 출애굽기 20:20, 신명기 5:29, 잠언 22:6, 에베소서 6:4
4:11	출애굽기 19:18, 히브리서 12:18-19
4:12	신명기 9:10, 이사야 40:18, 요한복음 1:18, 요한복음 4:24, 출애굽기 20:22
4:13	출애굽기 19:5, 신명기 5:2, 신명기 9:9, 히브리서 9:19-20, 출애굽기 20:1, 출애굽기 34:28, 신명기 10:4, 출애굽기 24:12, 출애굽기 31:18, 출애굽기 32:19, 출애굽기 34:1
4:16	출애굽기 20:4, 신명기 27:15, 이사야 40:18, 사도행전 17:29, 고린도 전서 10:14
4:17	신명기 5:8, 로마서 1:22-23
4:18	사무엘상 5:4
4:19	신명기 17:2-3, 열왕기하 17:16, 에스겔 8:16
4:20	출애굽기 19:5
4:21	시편 106:32, 민수기 20:12, 신명기 31:1-2
4:22	신명기 3:27
4:23	출애굽기 24:3, 출애굽기 20:4
4:24	출애굽기 24:17, 신명기 9:3, 히브리서 12:29, 출애굽기 20:5, 출애굽기 34:14, 민수기 25:11, 누가복음 10:27
4:25	사사기 18:30, 열왕기하 21:1, 열왕기하 21:7, 열왕기하 17:16-17
4:26	레위기 18:24, 레위기 18:28, 레위기 26:27, 레위기 26:32
4:27	신명기 28:64, 느헤미야 1:8, 신명기 28:62
4:28	신명기 28:15, 신명기 28:36, 예레미야 16:13, 에스겔 20:39
4:29	신명기 30:1-3, 신명기 30:8-10, 열왕기상 8:48-49, 예레미야 29:13, 요엘 2:12, 역대기하 15:4, 역대기하 15:15
4:30	역대기하 33:13, 느헤미야 1:9
4:31	출애굽기 34:6, 신명기 30:3, 역대기하 30:9, 느헤미야 9:31, 이사야 54:7, 이사야 55:7, 레위기 26:42
4:32	시편 44:1
4:33	신명기 5:26
4:34	출애굽기 7:3, 출애굽기 15:3, 출애굽기 13:3, 신명기 26:8, 시편 78:43-51
4:35	출애굽기 15:11, 신명기 32:39, 사무엘상 2:2, 이사야 45:18, 마가복음 12:32, 출애굽기 6:7
4:36	출애굽기 19:18, 출애굽기 20:22
4:37	신명기 10:15, 시편 105:6
4:38	출애굽기 23:28, 신명기 7:1, 신명기 9:1, 여호수아 3:10
4:39	역대기하 20:6, 이사야 44:6
4:40	창세기 48:3-4
4:41	민수기 35:14
4:42	민수기 35:22-24, 민수기 35:11, 민수기 35:25, 신명기 19:4-5
4:43	여호수아 21:8, 여호수아 21:36, 여호수아 21:8, 여호수아 21:38, 여호수아 20:8-9, 여호수아 21:27
4:44	신명기 17:18, 신명기 27:2-3, 갈라디아서 3:24
4:45	레위기 26:46, 신명기 4:1
4:46	신명기 1:5, 신명기 3:29, 민수기 21:26, 민수기 21:23-24
4:47	민수기 21:33, 신명기 3:4
4:48	신명기 2:36, 신명기 3:12, 신명기 3:8-9
4:49	신명기 3:16-17, 신명기 34:1
5:2	출애굽기 19:5, 히브리서 9:19-20
5:4	출애굽기 19:9, 출애굽기 19:18, 사도행전 7:38
5:5	출애굽기 19:16, 출애굽기 20:19, 갈라디아서 3:19
5:6	출애굽기 13:3, 출애굽기 20:2
5:7	출애굽기 20:3-6, 열왕기하 17:35
5:8	레위기 26:1, 신명기 4:15-16, 신명기 4:23, 신명기 27:15, 사도행전 17:29
5:9	출애굽기 23:24, 고린도 전서 10:14, 출애굽기 34:14, 신명기 4:24, 이사야 42:8, 마태복음 4:10, 출애굽기 34:6-7
5:11	출애굽기 22:28, 레위기 19:12, 출애굽기 20:7, 레위기 24:16
5:12	출애굽기 16:23, 출애굽기 20:8-10, 출애굽기 31:13
5:13	출애굽기 34:21
5:14	출애굽기 16:29, 출애굽기 23:12, 느헤미야 13:15, 신명기 10:17, 에베소서 6:9
5:15	출애굽기 6:6, 신명기 4:34
5:16	출애굽기 21:15, 레위기 19:3, 신명기 27:16, 잠언 1:8, 마가복음 7:10, 출애굽기 20:12, 에베소서 6:2-3
5:17	창세기 9:6, 출애굽기 20:13, 민수기 35:20-21, 마태복음 5:21, 로마서 13:9
5:18	출애굽기 20:14, 고린도 전서 6:18, 히브리서 13:4
5:19	출애굽기 20:15, 레위기 19:11, 잠언 30:8-9, 고린도 전서 6:10, 에베소서 4:28
5:20	출애굽기 20:16, 출애굽기 23:1, 레위기 19:16, 신명기 19:16-19, 잠언 6:16, 잠언 6:19, 잠언 19:5
5:21	마태복음 5:28, 출애굽기 20:17, 누가복음 12:15, 로마서 7:7
5:22	출애굽기 19:9, 출애굽기 19:18, 출애굽기 24:12, 출애굽기 31:18, 신명기 4:12-13
5:23	출애굽기 20:18, 히브리서 12:18-19
5:24	출애굽기 24:17, 신명기 4:33, 신명기 4:36
5:27	출애굽기 20:19, 히브리서 12:18-19
5:28	신명기 18:16-17
5:29	신명기 10:12, 욥기 28:28, 잠언 1:7, 마태복음 10:28, 베드로 전서 2:17, 잠언 4:4, 잠언 7:2, 전도서 12:13, 이사야 48:18, 요한 1서 5:3, 시편 19:8, 시편 19:11, 야고보서 1:25
5:32	신명기 6:3, 신명기 6:25, 신명기 8:1, 신명기 12:32, 여호수아 1:7-8
5:33	신명기 10:12, 신명기 4:40, 신명기 12:28, 로마서 10:5
6:2	창세기 18:19, 신명기 4:9, 잠언 3:1-2
6:4	신명기 5:7, 이사야 42:8, 스가랴 14:9, 마가복음 12:29, 마가복음 12:32, 고린도 전서 8:6
6:5	신명기 10:12, 신명기 11:13, 신명기 30:6, 마태복음 22:37, 마가복음 12:30, 마가복음 12:33, 누가복음 10:27
6:7	창세기 18:19, 신명기 4:9, 잠언 22:6, 에베소서 6:4, 신명기 11:19
6:8	신명기 11:18
6:10	창세기 15:18, 여호수아 24:13, 시편 105:44
6:11	신명기 8:10
6:12	사사기 3:7
6:13	신명기 10:12, 신명기 13:4, 누가복음 4:8, 예레미야 12:16
6:14	출애굽기 34:14
6:15	출애굽기 20:5, 신명기 4:24, 출애굽기 32:9-10, 민수기 25:3, 신명기 11:16-17, 사사기 2:14, 열왕기하 17:18
6:16	출애굽기 17:2, 출애굽기 17:7, 시편 95:8-9, 히브리서 3:8-9, 마태복음 4:7, 누가복음 4:12, 고린도 전서 10:9
6:18	창세기 15:18
6:19	출애굽기 23:30
6:22	출애굽기 7:3, 신명기 4:34
6:23	출애굽기 13:5, 신명기 1:8
6:24	시편 111:10, 잠언 14:27, 레위기 18:5, 신명기 4:1, 갈라디아서 3:12
6:25	전도서 12:13, 로마서 10:5
7:1	신명기 31:3, 창세기 15:16, 창세기 10:15-17, 신명기 20:1, 출애굽기 33:2, 여호수아 3:10
7:2	민수기 33:52, 레위기 27:29, 여호수아 6:17, 여호수아 10:28, 출애굽기 23:32, 출애굽기 34:15, 신명기 20:16-17
7:3	여호수아 23:12-13, 열왕기상 11:1-2, 에스라 9:2
7:4	출애굽기 34:16, 열왕기상 11:4, 신명기 6:14-15
7:5	출애굽기 23:24, 출애굽기 34:13, 신명기 16:21-22, 신명기 7:25, 신명기 12:2-3
7:6	출애굽기 19:5-6, 신명기 14:2, 아모스 3:2
7:7	신명기 10:15, 신명기 10:22
7:8	출애굽기 6:6, 출애굽기 13:3, 출애굽기 13:14, 창세기 22:16-17
7:9	출애굽기 34:6-7
7:10	잠언 2:22, 베드로 후서 3:7
7:13	창세기 13:14-15, 레위기 26:9, 레위기 26:4
7:14	신명기 33:29, 시편 147:20, 출애굽기 23:26, 신명기 28:11, 시편 127:3
7:15	신명기 28:15, 신명기 28:27
7:16	신명기 7:1-2, 신명기 20:16, 여호수아 10:28, 창세기 15:16, 레위기 18:25, 신명기 9:5, 출애굽기 20:3, 출애굽기 23:33, 신명기 12:30, 사사기 2:2-3, 시편 106:36
7:17	민수기 13:31
7:18	신명기 1:29, 신명기 31:6, 시편 27:1, 이사야 41:10, 출애굽기 14:13
7:19	느헤미야 9:10-11, 예레미야 32:20, 신명기 4:34, 출애굽기 23:28, 여호수아 3:10
7:20	출애굽기 23:29, 신명기 2:25, 여호수아 2:9, 여호수아 24:12
7:21	신명기 10:17, 사무엘상 4:7-8, 민수기 14:9
7:22	출애굽기 23:30
7:23	신명기 9:3
7:24	여호수아 10:24, 여호수아 12:1, 출애굽기 17:14, 시편 9:5, 신명기 11:25, 여호수아 1:5, 로마서 8:31, 여호수아 11:14
7:25	신명기 12:3, 역대기상 14:12, 이사야 30:22, 신명기 27:15
8:1	잠언 3:1-2, 창세기 15:18
8:2	신명기 2:7, 출애굽기 16:4, 출애굽기 20:20, 신명기 13:3, 잠언 17:3
8:3	출애굽기 16:3, 출애굽기 16:31, 시편 78:24, 마태복음 4:4
8:4	신명기 29:5, 느헤미야 9:21
8:5	잠언 3:12, 고린도 전서 11:32, 히브리서 12:5-7, 요한 계시록 3:19
8:7	출애굽기 3:8, 레위기 26:4, 신명기 11:11-12
8:8	민수기 13:23, 에스겔 20:6
8:10	신명기 6:10-12
8:12	호세아 13:6
8:14	신명기 9:4, 신명기 32:15, 시편 106:21
8:15	신명기 1:19, 예레미야 2:6, 민수기 20:11
8:16	출애굽기 16:35, 신명기 8:2, 히브리서 12:11
8:17	호세아 12:8
8:18	시편 127:1, 호세아 2:8, 신명기 7:12
8:19	신명기 4:25-26, 신명기 30:17-18, 여호수아 23:12-13
8:20	다니엘 9:11-12
9:1	여호수아 4:19, 신명기 7:1, 민수기 13:28
9:2	민수기 13:33
9:3	신명기 1:30, 신명기 20:4, 신명기 31:3, 신명기 4:24, 히브리서 12:29, 출애굽기 23:31, 신명기 7:23-24
9:4	신명기 7:7-8, 에스겔 36:22, 창세기 15:16, 신명기 12:31, 신명기 18:9, 신명기 18:12
9:5	레위기 18:25, 창세기 13:14-15, 창세기 17:1, 창세기 17:8, 창세기 26:3, 창세기 28:13
9:6	출애굽기 34:9, 시편 78:8
