1:1	여호수아 24:29, 민수기 27:18, 민수기 27:21, 사사기 20:18
1:2	창세기 49:8, 신명기 33:7, 역대기상 5:2
1:3	여호수아 15:1, 여호수아 19:1, 여호수아 19:9
1:4	신명기 9:3
1:5	창세기 10:6, 신명기 20:17, 창세기 15:18-21, 출애굽기 3:8, 사사기 3:5, 열왕기상 9:20-21
1:7	여호수아 15:8, 여호수아 15:12
1:8	여호수아 15:63, 사사기 1:21
1:9	여호수아 11:16, 여호수아 15:20, 여호수아 15:33
1:10	여호수아 11:21, 여호수아 15:13-14
1:11	여호수아 10:38, 여호수아 15:15
1:12	민수기 13:3, 민수기 13:6, 민수기 14:24, 신명기 1:35-36, 여호수아 14:13, 여호수아 15:16-19
1:13	사사기 3:9, 역대기상 4:13
1:16	출애굽기 3:1, 출애굽기 4:18, 출애굽기 18:1, 민수기 10:29, 민수기 24:21, 사사기 4:11, 신명기 34:3, 사사기 3:13, 민수기 21:1, 민수기 10:29-32
1:17	레위기 27:29, 신명기 20:16, 여호수아 19:1, 여호수아 19:4
1:18	창세기 10:19, 여호수아 11:22, 사사기 14:19, 여호수아 13:1-3, 여호수아 15:20, 여호수아 15:45
1:19	신명기 20:1, 여호수아 17:16
1:20	민수기 14:24, 여호수아 14:9, 민수기 13:22
1:21	여호수아 15:63, 사무엘하 5:6
1:22	여호수아 14:4, 창세기 49:22, 창세기 49:24, 여호수아 16:1, 시편 44:3
1:23	창세기 35:6
1:25	여호수아 6:25, 사무엘상 15:6
1:27	여호수아 21:8, 여호수아 21:25, 사사기 5:19, 여호수아 17:11-12
1:28	창세기 9:25, 열왕기상 9:20-21, 민수기 33:55, 신명기 7:2, 신명기 20:16, 여호수아 17:13
1:29	여호수아 16:10, 열왕기상 9:16
1:30	여호수아 19:15-16, 신명기 20:17, 사사기 2:2
1:31	여호수아 11:8, 여호수아 19:28, 여호수아 19:31, 여호수아 19:29, 여호수아 19:31, 여호수아 19:30-31, 여호수아 21:8, 여호수아 21:31
1:33	여호수아 19:38-39, 신명기 7:2
1:34	여호수아 19:47, 사사기 18:1
1:35	여호수아 10:12, 여호수아 19:42, 여호수아 19:48
1:36	민수기 34:2, 민수기 34:4, 여호수아 15:3, 여호수아 15:12
2:1	출애굽기 23:20, 출애굽기 23:23, 여호수아 5:13-14, 여호수아 5:8-9, 창세기 12:7, 창세기 26:3, 창세기 17:1, 창세기 17:7, 레위기 26:42
