1:1	사사기 2:16, 미가 5:2, 창세기 19:36-37, 신명기 2:9, 사사기 3:30
1:4	마태복음 1:5
1:8	출애굽기 34:6, 룻기 2:20
1:9	룻기 3:1
1:11	신명기 25:5-6
1:13	룻기 1:20
1:16	룻기 2:11-12
1:19	룻기 1:1-2
1:20	룻기 1:13
1:21	룻기 1:3, 룻기 1:5
1:22	민수기 21:13, 룻기 1:1, 룻기 2:23
2:1	룻기 2:20, 룻기 4:21-22, 마태복음 1:5, 누가복음 3:23, 누가복음 3:32
2:2	레위기 23:22, 신명기 24:19
2:3	룻기 1:2, 룻기 2:20
2:6	룻기 1:16, 룻기 1:22, 룻기 1:3-4
2:7	레위기 23:22, 신명기 24:19
2:8	룻기 2:22
2:10	출애굽기 23:9, 레위기 19:34
2:11	룻기 1:14, 룻기 1:16
2:12	룻기 4:11, 룻기 4:17, 마태복음 1:5, 마태복음 1:16, 시편 17:8, 시편 36:7, 시편 57:1, 시편 63:7
2:15	레위기 19:9, 룻기 2:2, 룻기 2:9
2:17	룻기 2:7
2:18	룻기 2:14
2:19	시편 41:1
2:20	출애굽기 34:6, 룻기 1:8, 시편 36:7, 룻기 2:1, 레위기 25:25, 신명기 25:5-6, 룻기 3:9, 룻기 3:12
2:21	룻기 2:8
2:23	룻기 1:22, 룻기 1:16
3:1	룻기 1:9
3:2	룻기 2:1, 룻기 2:20
3:9	레위기 25:25, 신명기 25:5-6, 룻기 2:20
3:10	룻기 1:14, 룻기 1:16
3:11	룻기 3:9
3:12	레위기 25:25, 룻기 2:20, 룻기 4:1
3:13	룻기 4:5
4:1	신명기 25:7, 잠언 31:23, 룻기 3:12
4:2	신명기 16:18
4:3	레위기 25:25, 신명기 25:5-6, 룻기 2:20, 룻기 3:9, 룻기 3:12, 룻기 1:1, 룻기 1:6, 룻기 1:2
4:4	창세기 23:18, 예레미야 32:9-10, 룻기 3:13
4:5	창세기 38:7-8, 신명기 25:5-6
4:7	신명기 25:7, 신명기 25:9
4:9	창세기 23:18, 룻기 4:4, 예레미야 32:12
4:10	창세기 38:7-8, 신명기 25:5-6, 룻기 4:4
4:11	창세기 28:3, 창세기 35:23-26, 창세기 46:15, 창세기 46:18, 창세기 46:22, 창세기 46:25, 창세기 35:19, 룻기 1:1, 미가 5:2
4:12	시편 127:3, 창세기 38:29, 민수기 26:20, 마태복음 1:3
4:15	룻기 1:14, 룻기 1:16
4:17	마태복음 1:5, 누가복음 3:23, 누가복음 3:32, 사무엘상 17:12, 이사야 11:1, 로마서 15:12
4:18	룻기 4:12, 마태복음 1:2-6, 창세기 46:12, 민수기 26:21, 역대기상 2:5
4:19	역대기상 2:9-15
4:20	출애굽기 6:23
4:22	룻기 4:17, 사무엘상 16:1, 사무엘하 7:8, 역대기상 2:13, 역대기상 2:15
