1:1	사무엘상 27:5-6
1:4	사무엘상 31:1, 사무엘상 31:6, 역대기상 10:4, 역대기상 10:6
1:6	사무엘상 28:4, 역대기상 10:1, 사무엘상 31:3, 역대기상 10:3
1:8	출애굽기 17:16, 신명기 25:19, 사무엘상 15:20, 사무엘상 30:1
1:10	사무엘상 31:4
1:12	사무엘상 31:1, 사무엘상 31:11, 사무엘상 31:13
1:14	민수기 12:8, 사무엘상 24:6, 사무엘상 26:9, 사무엘상 31:4
1:15	사무엘하 4:10
1:16	사무엘하 1:6, 사무엘하 1:10
1:17	사무엘상 31:6
1:18	여호수아 10:13
1:19	사무엘상 31:8
1:20	사무엘상 31:9
1:21	사무엘상 31:1, 역대기상 10:1, 레위기 27:16
1:22	사무엘상 18:4, 사무엘상 20:20, 사무엘상 14:47
1:23	사무엘상 18:1, 사무엘상 31:6, 역대기상 10:6, 욥기 9:26, 잠언 30:30
1:25	사무엘상 31:8
1:26	사무엘상 18:1, 사무엘상 18:3, 사무엘상 19:2, 사무엘상 20:17, 사무엘상 20:41, 사무엘상 23:16-18, 잠언 17:17, 잠언 18:24
2:1	민수기 27:21, 사무엘상 28:6, 창세기 23:2, 민수기 13:22, 여호수아 14:14, 여호수아 20:7, 사무엘하 5:1, 열왕기상 2:11
2:2	사무엘상 25:43, 사무엘상 25:42, 사무엘상 30:5
2:3	사무엘상 22:1-2, 사무엘상 27:2, 역대기상 12:1
2:4	창세기 49:10, 사무엘상 15:24, 사무엘상 15:28, 사무엘상 16:13, 사무엘하 5:4-5, 역대기상 11:3
2:5	사무엘상 31:11-13
2:6	사무엘하 9:7, 사무엘하 10:2
2:8	사무엘상 14:50, 사무엘상 17:55, 사무엘상 26:5, 사무엘하 4:1, 열왕기상 2:5, 사무엘하 4:5-8, 사무엘하 4:12, 창세기 32:1-2, 여호수아 13:29-30
2:9	여호수아 13:8, 여호수아 13:11, 여호수아 19:17-18, 여호수아 16:5-8
2:10	사무엘하 2:4
2:11	역대기상 3:4
2:12	사무엘하 2:8, 여호수아 10:12, 여호수아 18:21, 여호수아 18:25, 여호수아 21:8, 여호수아 21:17, 사무엘하 20:8, 역대기하 1:3
2:13	역대기상 2:15-16, 사무엘하 8:16, 사무엘하 20:23, 열왕기상 1:5, 열왕기상 1:7
2:18	역대기상 2:15-16, 사무엘하 10:7, 사무엘하 24:2, 열왕기상 11:15, 역대기상 11:6, 사무엘상 26:6, 사무엘하 20:6, 역대기상 11:20, 사무엘하 3:27, 사무엘하 23:24, 역대기상 27:1, 역대기상 27:7
2:23	사무엘하 3:27
2:29	신명기 1:7, 여호수아 12:2-3, 여호수아 21:8, 여호수아 21:38, 사무엘하 2:8
2:32	사무엘하 2:18, 역대기상 2:15-16, 창세기 35:19, 룻기 4:11, 사무엘상 16:1, 사무엘하 2:1, 사무엘하 2:3, 역대기상 11:1
3:1	사무엘상 15:27-28, 사무엘상 24:17, 사무엘상 24:20, 사무엘상 26:25, 사무엘하 2:17
3:2	역대기상 3:1-4, 사무엘상 25:43, 사무엘하 13:1
3:3	사무엘상 25:42, 사무엘하 13:37, 사무엘하 15:12
3:4	열왕기상 1:5
3:6	사무엘하 2:8
3:7	사무엘하 21:8-11, 사무엘하 2:10, 사무엘하 16:21, 열왕기상 2:22
3:9	사무엘상 15:27-28, 시편 78:70, 시편 89:20
3:10	사사기 20:1, 사무엘하 24:2
3:11	사무엘하 3:39
3:12	사무엘하 5:3
3:13	사무엘상 18:20, 사무엘상 19:11, 역대기상 15:29
3:14	사무엘하 2:10, 사무엘상 18:25, 사무엘상 18:27
3:15	사무엘상 25:44
3:16	사무엘하 16:5, 열왕기상 2:8
3:18	사무엘상 13:14, 사무엘상 15:27-28, 사무엘상 16:1, 사무엘상 16:13, 시편 89:3, 시편 89:20, 시편 132:17, 사도행전 13:22
3:19	사무엘상 10:20-21, 역대기상 12:29
3:23	사무엘하 8:16, 사무엘상 14:51, 사무엘상 14:50, 사무엘하 2:8, 사무엘하 2:22
3:27	사무엘하 3:20, 열왕기상 2:5, 사무엘하 2:22-23
3:28	창세기 9:6, 출애굽기 21:12, 민수기 35:33, 신명기 21:9
3:29	시편 7:16, 시편 55:23, 잠언 5:22, 레위기 15:2, 레위기 13:44, 민수기 5:2, 신명기 27:24, 시편 109:2, 시편 109:10
3:30	사무엘하 2:24, 사무엘하 2:8, 사무엘하 2:23
3:34	열왕기상 2:31-32
3:35	사사기 20:26
3:37	사무엘하 3:28, 열왕기상 2:5
3:38	사무엘상 14:50, 사무엘하 2:8, 사무엘하 3:12
3:39	사무엘하 2:4, 역대기상 2:15-16, 사무엘하 19:13, 사무엘하 20:10, 사무엘하 3:29, 열왕기상 2:5, 열왕기상 2:34
4:1	사무엘하 2:8, 사무엘하 3:27
4:2	여호수아 9:17, 여호수아 18:21, 여호수아 18:25
4:3	느헤미야 11:31, 느헤미야 11:33
4:4	사무엘상 20:16, 사무엘하 9:3, 사무엘상 29:1, 사무엘상 29:11, 사무엘하 9:13, 역대기상 8:34
4:6	사무엘하 4:2
4:8	사무엘하 2:10, 사무엘상 18:10-11, 사무엘상 18:28-29, 사무엘상 20:1, 사무엘상 20:33, 사무엘상 23:15
4:9	사무엘상 24:12, 사무엘상 26:25, 사무엘하 12:7, 시편 34:7
4:10	사무엘하 1:2, 사무엘하 1:4, 사무엘하 1:13-15
4:11	창세기 9:6, 출애굽기 21:12, 민수기 35:16, 민수기 35:30
4:12	시편 55:23, 신명기 21:22
5:1	사무엘하 2:1, 사무엘하 2:11, 역대기상 12:23, 역대기상 11:1-3
5:2	사무엘상 18:13, 사무엘상 25:28, 창세기 49:10, 사무엘상 16:1, 사무엘상 25:30, 사무엘하 6:21, 사무엘하 7:8, 역대기상 28:4, 시편 78:71
5:3	열왕기하 11:17, 사무엘상 16:13, 사무엘하 2:4, 사도행전 13:22
5:4	역대기상 29:26-27
5:5	창세기 14:18
5:6	출애굽기 23:23, 여호수아 15:63, 사사기 1:8, 사사기 1:21, 역대기상 11:4-6
5:7	열왕기상 2:10, 느헤미야 12:37
5:9	열왕기상 9:15, 열왕기상 9:24, 열왕기상 11:27, 역대기하 32:5, 역대기상 11:7-9
5:10	사무엘상 16:13, 사무엘하 3:1, 사무엘상 17:45
5:11	열왕기상 5:1, 열왕기상 5:8, 역대기하 2:3, 사무엘하 7:2, 역대기상 14:1-2
5:12	사무엘하 7:16, 시편 41:11, 시편 89:21, 열왕기상 10:9, 역대기하 2:11, 시편 89:27
5:13	사무엘하 15:16, 역대기상 3:5-9, 역대기상 14:3-7
5:14	누가복음 3:23, 누가복음 3:31, 사무엘하 12:24
5:17	사무엘하 5:3, 시편 2:2, 사무엘상 22:1, 사무엘상 22:5, 사무엘상 24:22, 사무엘하 23:14, 역대기상 14:8
5:18	여호수아 15:8, 여호수아 15:12, 역대기상 11:15, 역대기상 14:9
5:19	민수기 27:21, 역대기상 14:10-12
5:20	사무엘하 22:41, 이사야 28:21
5:22	여호수아 15:8, 여호수아 15:12, 역대기상 11:15, 역대기상 14:13-17
5:25	여호수아 18:21, 여호수아 18:24, 여호수아 16:10, 레위기 26:7
6:2	사무엘상 7:2, 열왕기상 8:1, 역대기상 13:1-5, 출애굽기 25:22, 사무엘상 4:4, 역대기상 13:6-11, 시편 80:1, 신명기 20:4, 사무엘상 1:3, 역대기상 17:24
6:3	사무엘상 7:1, 출애굽기 25:14, 민수기 7:9, 여호수아 3:14
6:5	사무엘상 10:5, 출애굽기 15:20, 시편 150:3-5
6:6	민수기 4:15, 역대기상 15:2
6:7	잠언 11:2, 레위기 10:1-2, 사무엘상 6:19
6:9	사무엘상 6:20, 시편 119:120, 역대기상 13:12-14
6:10	사무엘하 5:7, 역대기상 15:25
6:11	창세기 30:27, 창세기 39:5
6:12	역대기상 15:25-26, 시편 24:7, 시편 68:24
6:13	민수기 4:15, 민수기 7:9, 여호수아 3:3, 역대기상 15:2, 역대기상 15:15
6:14	역대기상 15:27-28
6:15	역대기상 15:16, 시편 150:3, 출애굽기 37:1, 시편 132:8
6:16	사무엘상 14:49, 사무엘상 18:20, 사무엘상 18:27, 사무엘하 3:14, 역대기상 15:29
6:17	역대기상 15:1, 레위기 1:3, 레위기 3:1, 역대기상 16:1-3
6:20	사무엘상 18:27, 출애굽기 22:28
6:21	사무엘상 13:13-14, 사무엘상 15:27-28, 사무엘상 16:1, 사무엘상 16:12
6:23	사무엘상 14:49, 사무엘하 6:16
7:1	역대기상 17:1
7:2	사무엘하 12:1, 역대기상 29:29, 사무엘하 5:11, 사무엘하 6:17
7:3	열왕기상 8:17, 역대기상 17:2, 역대기상 22:7
7:5	열왕기상 5:3, 열왕기상 8:17-19, 역대기상 17:4-6, 역대기상 22:7-8
7:6	여호수아 18:1, 출애굽기 40:18, 출애굽기 40:34
7:8	사무엘상 16:11, 사무엘하 5:2, 역대기상 17:7-10, 역대기상 28:4, 시편 78:70-71
7:9	사무엘상 18:14, 사무엘하 5:10, 사무엘하 22:1, 시편 18:37, 역대기상 14:2, 역대기상 14:17
7:10	사사기 2:14, 시편 89:20, 시편 89:22
7:11	사사기 2:16, 신명기 25:19, 열왕기상 2:24, 시편 89:4
7:12	열왕기상 2:1, 창세기 49:10, 열왕기상 8:20, 역대기상 17:11-14, 시편 132:11, 이사야 9:7, 이사야 11:1, 마태복음 21:9, 마태복음 22:42, 누가복음 1:32-33, 요한복음 7:42, 사도행전 2:30
7:13	열왕기상 5:5, 열왕기상 6:12, 스가랴 6:12-13, 열왕기상 1:37, 역대기상 22:10, 역대기상 28:7, 시편 89:4, 시편 89:36
7:14	역대기상 28:6, 마태복음 3:17, 히브리서 1:5, 시편 89:30, 시편 89:32, 예레미야 52:3
7:15	사무엘상 15:23, 사무엘상 15:26
7:16	시편 45:6, 시편 89:36, 다니엘 2:44, 히브리서 1:8, 요한 계시록 11:15
7:17	역대기상 17:15
7:18	역대기상 17:16-22
7:20	사무엘상 16:7, 시편 17:3
7:21	시편 25:14
7:22	신명기 3:24, 역대기상 16:25, 출애굽기 15:11, 시편 83:18, 신명기 4:35
7:23	신명기 4:7, 시편 147:19-20, 출애굽기 3:8, 출애굽기 19:5, 이사야 63:9, 신명기 10:21, 출애굽기 9:16
7:24	신명기 26:18, 출애굽기 15:2
7:25	역대기상 17:23-27, 시편 89:20, 시편 89:28
7:26	역대기상 29:11, 시편 72:19, 마태복음 6:9, 요한복음 12:28, 이사야 9:7, 예레미야 33:22
7:27	사무엘하 7:11
7:28	민수기 23:19, 시편 89:35, 시편 132:11, 요한복음 17:17
7:29	시편 89:20, 시편 89:36, 시편 132:12, 사무엘하 22:51, 시편 72:17
8:1	여호수아 13:2-3, 사무엘하 21:15, 역대기상 18:1
8:2	민수기 24:17, 사사기 3:29, 사무엘상 14:47, 시편 60:8, 신명기 23:3-6, 열왕기하 3:4, 역대기상 18:2
8:3	사무엘하 10:6, 열왕기상 11:23, 시편 60:0, 창세기 15:18, 출애굽기 23:31, 열왕기상 4:21, 역대기상 18:3-4
8:4	신명기 17:16, 시편 20:7, 시편 33:17
8:5	이사야 7:8, 역대기상 18:5-6
8:6	신명기 7:24, 사무엘하 8:14
8:7	역대기상 18:7-8
8:9	열왕기하 14:28, 역대기상 18:9-11
8:11	여호수아 6:19, 열왕기상 7:51, 역대기상 22:14, 역대기상 26:27
8:12	사무엘하 8:2, 사무엘하 8:1, 사무엘상 30:18, 사무엘하 8:7
8:13	역대기상 18:12-13, 시편 60:0
8:14	창세기 25:23, 창세기 25:26, 창세기 27:29, 창세기 27:37, 민수기 24:18, 시편 60:12
8:15	사무엘하 5:3, 사무엘하 5:5, 열왕기상 3:6, 역대기상 18:14-17
8:16	사무엘하 20:23, 역대기상 11:6, 사무엘하 20:24, 열왕기상 4:3
8:17	사무엘하 15:27, 역대기상 6:8, 역대기상 24:3
8:18	사무엘하 23:20, 열왕기상 1:44, 열왕기상 2:35, 사무엘하 15:18, 사무엘하 20:7
9:1	사무엘상 18:1, 사무엘상 18:3, 사무엘상 20:15, 사무엘상 20:42
9:2	사무엘하 16:1, 사무엘하 19:17
9:3	사무엘하 4:4, 사무엘하 9:13, 사무엘하 19:26
9:4	사무엘하 17:27-29
9:7	잠언 11:17, 사무엘하 19:28, 잠언 11:25
9:8	사무엘상 24:14
9:9	사무엘하 9:1, 사무엘하 16:4, 사무엘하 19:29
9:10	사무엘하 19:28, 사무엘하 19:17
9:12	역대기상 8:34, 역대기상 9:40
9:13	사무엘하 9:7, 사무엘하 19:28, 사무엘하 4:4
10:1	창세기 19:36, 창세기 19:38, 사사기 10:7, 사사기 11:12, 사사기 11:33, 사무엘상 11:1, 역대기상 19:1-5
10:4	레위기 19:27
10:5	여호수아 18:21
10:6	민수기 13:21, 사무엘하 8:5, 여호수아 13:13, 역대기상 19:6-7
10:7	사무엘하 23:8, 역대기상 19:8-9
10:9	역대기상 19:10-13
10:10	사무엘상 26:6, 사무엘하 2:18, 사무엘하 23:18, 역대기상 2:15-16, 민수기 21:24
10:12	신명기 31:6, 시편 37:5, 시편 44:5, 잠언 29:25
10:13	역대기상 19:14-15
10:15	역대기상 19:16
10:16	사무엘하 8:3-5, 창세기 15:18, 출애굽기 23:31
10:17	역대기상 19:17-19
10:18	신명기 20:1, 시편 18:37-38
10:19	창세기 15:18, 신명기 20:10-11
11:1	사무엘하 12:26, 역대기상 20:1
11:3	역대기상 3:5, 역대기상 3:9, 창세기 10:15, 신명기 20:17, 사무엘하 23:8, 사무엘하 23:39, 열왕기상 15:5, 사무엘하 12:24, 열왕기상 1:11
11:4	출애굽기 20:14, 출애굽기 20:17, 레위기 18:20, 레위기 20:10, 잠언 6:32, 히브리서 13:4, 레위기 12:2, 레위기 15:19, 레위기 18:19
11:11	사무엘하 6:17, 사무엘하 7:2, 레위기 15:16, 사무엘상 21:5
11:15	시편 51:14, 잠언 3:29
11:17	사무엘하 12:9
11:21	사사기 6:32, 사사기 7:1, 사사기 9:50-53
11:24	사무엘하 11:17
11:25	사무엘하 12:26
11:27	사무엘하 5:13, 사무엘하 12:9, 창세기 39:7-9, 열왕기상 15:5, 시편 5:6, 시편 11:4, 히브리서 13:4
12:1	열왕기상 1:8, 역대기상 17:1, 역대기상 29:29, 시편 51:0
12:2	사무엘하 5:13, 사무엘하 15:16
12:3	사무엘하 11:3
12:4	사무엘하 11:4
12:5	신명기 6:13
12:6	출애굽기 22:1
12:7	사무엘상 16:13, 사무엘하 7:8, 사무엘상 18:10-11, 사무엘상 19:10, 사무엘상 23:14
12:8	사무엘상 13:13-14, 사무엘상 15:26, 사무엘상 15:28, 사무엘하 3:7, 열왕기상 2:22, 사무엘하 2:4, 사무엘하 5:5, 사무엘하 7:19
12:9	출애굽기 20:13, 출애굽기 20:14, 출애굽기 20:17, 사무엘하 11:15, 사무엘하 11:27
12:10	민수기 14:18, 사무엘하 13:32, 사무엘하 18:33, 갈라디아서 6:7
12:11	사무엘하 12:15, 사무엘하 12:19, 사무엘하 13:10-15, 사무엘하 15:14, 출애굽기 21:24, 욥기 31:9-11, 욥기 34:11, 사무엘하 16:21-22
12:12	사무엘하 11:4, 사무엘하 11:15
12:13	창세기 39:9, 시편 32:5, 시편 38:3, 시편 51:0, 시편 51:4, 잠언 28:13, 출애굽기 34:6, 시편 32:1, 레위기 20:10, 시편 103:10
12:16	사무엘하 12:22, 요나 3:8-9
12:20	룻기 3:3, 사무엘하 14:2, 사무엘하 6:17
12:22	사무엘하 12:16, 요엘 1:14, 이사야 38:3, 이사야 38:5, 요엘 2:13-14, 아모스 5:15, 요나 3:8-9
12:23	전도서 9:6, 욥기 30:23, 전도서 3:20, 사도행전 2:29, 사도행전 2:34, 사도행전 13:36, 전도서 9:5, 전도서 9:10
12:24	사무엘하 11:3, 역대기상 3:5, 역대기상 3:9, 역대기상 22:9, 역대기상 28:5, 마태복음 1:6, 사무엘하 7:12, 역대기상 29:1
12:25	사무엘하 7:4-5, 사무엘하 12:1, 열왕기상 1:8
12:26	신명기 23:3, 신명기 23:6, 신명기 3:11, 여호수아 13:24-25, 사무엘하 11:25, 역대기상 20:1
12:27	사무엘하 11:1
12:30	사무엘하 8:11-12, 역대기상 20:2-3
13:1	역대기상 3:9, 사무엘하 3:2
13:3	사무엘하 13:35, 사무엘상 16:9, 역대기상 2:13
13:4	레위기 18:9, 레위기 20:17
13:12	레위기 18:9, 레위기 18:29, 레위기 20:17, 신명기 27:22, 창세기 34:2, 창세기 34:7, 사사기 20:5-6
13:19	여호수아 7:6, 에스더 4:1, 예레미야 6:26
13:20	사무엘하 3:3, 사무엘하 13:1, 레위기 18:9, 신명기 27:22
13:21	잠언 19:13
13:22	창세기 34:7, 잠언 18:19
13:23	요한복음 11:54, 열왕기상 1:9, 열왕기상 1:19
13:26	시편 55:21, 잠언 10:18, 잠언 26:24-26
