1:1	사무엘하 5:4, 역대기상 29:26-27
1:3	여호수아 19:17-18, 열왕기상 2:17, 열왕기상 2:22
1:5	사무엘하 3:2, 사무엘하 3:4, 역대기상 3:1-2, 사무엘하 15:1
1:7	사무엘하 20:25, 열왕기상 2:22
1:8	사무엘하 8:17, 사무엘하 20:23, 역대기상 27:5, 사무엘하 7:2, 사무엘하 12:1, 열왕기상 4:7, 열왕기상 4:18, 사무엘하 23:8, 역대기상 11:10
1:9	사무엘하 15:12
1:11	사무엘하 7:4-5, 사무엘하 12:24, 사무엘하 11:3, 사무엘하 11:27, 사무엘하 3:2, 사무엘하 3:4
1:12	사사기 9:4-6, 열왕기상 1:21, 열왕기하 11:1
1:13	역대기상 22:9, 역대기상 28:5, 역대기상 29:1
1:15	열왕기상 1:1, 열왕기상 1:3
1:17	열왕기상 1:13, 역대기상 22:9-10
1:18	열왕기상 1:5, 열왕기상 1:11
1:19	열왕기상 1:7, 열왕기상 1:9-10
1:22	열왕기상 1:14
1:24	열왕기상 1:5
1:25	사무엘하 15:12, 열왕기상 1:5, 열왕기상 1:7
1:26	역대기상 27:5
1:29	시편 71:23, 시편 103:4
1:32	사무엘하 20:23, 사무엘하 23:20, 역대기상 27:5, 열왕기상 1:8
1:33	열왕기상 1:38, 누가복음 19:33-35, 역대기하 32:30
1:34	사무엘상 16:13, 사무엘상 10:1, 사무엘상 10:24, 사무엘하 15:10, 열왕기하 11:12
1:37	역대기상 28:20, 열왕기상 3:12, 열왕기상 10:23, 시편 72:8
1:38	역대기상 27:5, 사무엘하 15:18, 역대기상 18:17, 열왕기상 1:33, 마태복음 21:7, 역대기하 32:30
1:39	사무엘하 6:17, 출애굽기 30:23-25, 사무엘상 16:13, 역대기상 29:22
1:40	사무엘상 4:5
1:41	열왕기상 1:9, 열왕기상 1:25
1:42	사무엘하 15:36, 사무엘하 17:17
1:44	열왕기상 1:33-34
1:50	출애굽기 21:14, 출애굽기 38:1-2, 열왕기상 2:28
1:52	열왕기상 2:23
2:2	신명기 31:6, 여호수아 1:6, 역대기상 28:20, 열왕기상 3:7
2:3	신명기 17:18-20, 전도서 12:13
2:4	신명기 6:5, 열왕기하 20:3, 열왕기하 23:3, 역대기하 17:3, 마태복음 22:37, 사무엘하 7:12, 사무엘하 7:16, 열왕기상 8:25, 역대기상 17:11, 시편 132:11-12
2:5	사무엘하 3:27, 사무엘하 3:30, 사무엘하 17:25, 사무엘하 20:10, 역대기상 2:17, 민수기 35:33, 사무엘하 3:28
2:6	사무엘하 3:29, 열왕기상 2:31-34
2:7	사무엘하 19:31, 사무엘하 15:14, 사무엘하 17:27-29
2:8	사무엘하 17:24, 사무엘하 16:5-7, 사무엘하 19:23
2:9	출애굽기 22:28, 열왕기상 2:44, 열왕기상 2:46
2:10	사무엘하 5:7, 역대기상 11:7, 역대기상 29:26-27, 사도행전 2:29
2:11	역대기상 12:23, 사무엘하 5:4-5
2:12	사무엘하 7:8, 사무엘하 7:12, 역대기상 29:23, 역대기하 1:1, 시편 89:36-37, 시편 132:12
2:15	열왕기상 1:5, 열왕기상 1:25, 역대기상 22:9
2:17	열왕기상 1:1, 열왕기상 1:3
2:22	사무엘하 16:21, 역대기상 3:1-2, 역대기상 3:5, 사무엘하 8:16, 열왕기상 1:7
2:24	역대기상 22:9-10, 사무엘하 7:11, 역대기상 17:10, 열왕기상 1:51-52
2:25	사무엘하 8:18, 열왕기상 1:8, 역대기상 27:5
2:26	사무엘상 22:20, 열왕기상 1:7, 여호수아 21:8, 여호수아 21:18, 예레미야 1:1, 사무엘상 23:6, 사무엘하 15:24, 역대기상 15:11-12, 사무엘상 22:22-23
2:27	여호수아 18:1, 사무엘상 2:31, 사무엘상 3:12
2:28	역대기상 21:29, 사무엘하 18:14, 열왕기상 1:7
2:31	창세기 9:6, 출애굽기 21:14, 민수기 35:33, 신명기 19:13, 열왕기상 2:5
2:32	사무엘하 2:8, 사무엘하 3:26-27, 사무엘하 17:25, 사무엘하 20:10
2:33	사무엘하 3:29
2:35	역대기상 11:24, 역대기상 27:5, 사무엘상 2:35, 역대기상 6:50, 역대기상 6:53, 역대기상 12:28, 역대기상 16:37, 역대기상 16:39, 역대기상 24:3
2:36	열왕기상 2:8
2:37	사무엘하 15:23, 열왕기하 23:6, 요한복음 18:1
2:39	사무엘상 21:10, 사무엘상 27:2
2:42	열왕기상 2:38
2:44	사무엘하 16:5, 사무엘하 16:13, 시편 7:16, 잠언 5:22
2:45	시편 21:6, 시편 72:17
2:46	열왕기상 2:8-9, 역대기하 1:1, 잠언 16:12
3:1	신명기 7:3-4, 열왕기상 7:8, 열왕기상 9:24, 열왕기상 11:1, 느헤미야 13:25-27, 사무엘하 5:7, 역대기상 11:7, 열왕기상 7:1, 열왕기상 8:17-19, 열왕기상 9:15
3:2	신명기 12:5-6, 열왕기상 5:3, 역대기상 28:6, 역대기하 33:17
3:3	사무엘상 7:9, 사무엘상 10:8, 역대기상 21:26
3:4	역대기상 16:39-40, 역대기상 21:29, 역대기하 1:3-6
3:5	역대기하 1:7-10
3:6	열왕기상 2:1, 열왕기상 2:4
3:7	역대기상 29:1, 예레미야 1:6
3:8	출애굽기 19:5-6
3:9	시편 72:1, 시편 119:34, 히브리서 5:14
3:10	잠언 15:8
3:11	역대기상 22:12, 역대기상 29:19, 역대기하 1:11-12, 잠언 16:16
3:12	전도서 1:16, 요한 1서 5:14, 열왕기상 4:29, 잠언 2:3-5, 야고보서 1:5, 마태복음 12:42
3:13	열왕기상 4:21, 전도서 7:11, 시편 84:11, 마태복음 6:33, 에베소서 3:20, 열왕기상 10:23
