1:1	창세기 4:25
1:2	창세기 5:12, 창세기 5:15, 창세기 5:18
1:3	히브리서 11:5, 창세기 5:25, 창세기 5:28
1:4	창세기 5:29, 창세기 11:10, 창세기 6:10
1:5	이사야 66:19, 에스겔 27:13, 창세기 10:2
1:6	창세기 10:3, 에스겔 27:14
1:8	이사야 11:11, 창세기 10:6
1:9	시편 72:10, 에스겔 27:22, 창세기 10:7
1:10	창세기 10:8-9
1:11	예레미야 46:9, 창세기 10:13-14
1:12	에스겔 29:14, 신명기 2:23, 아모스 9:7, 여호수아 13:2-3
1:13	이사야 23:2, 창세기 10:15-18
1:14	사사기 1:21, 창세기 15:16, 민수기 13:29, 신명기 3:8, 신명기 7:1
1:15	여호수아 9:3, 여호수아 9:7
1:16	에스겔 27:11
1:17	에스라 4:9, 에스겔 27:23, 창세기 10:22-23
1:18	창세기 11:14
1:19	창세기 11:19
1:20	창세기 10:26-29
1:23	열왕기상 9:28, 창세기 2:11, 창세기 25:18
1:25	창세기 11:19, 창세기 11:21
1:26	창세기 11:23, 창세기 11:25, 창세기 11:26
1:27	창세기 17:5
1:28	창세기 21:3, 창세기 16:11-12
1:29	창세기 28:9, 에스겔 27:21, 창세기 25:13-15
1:32	창세기 25:1-4, 창세기 37:28, 욥기 2:11, 이사야 21:13
1:33	이사야 60:6
1:34	사도행전 7:8, 창세기 25:25, 창세기 32:28
1:35	창세기 36:4-5
1:36	오바댜 1:9, 창세기 36:11-12
1:37	창세기 36:13
1:38	창세기 36:8, 창세기 36:20-21
1:39	창세기 36:22
1:40	창세기 36:23-24
1:41	창세기 36:25-26
1:42	역대기상 1:38, 창세기 36:27-28
1:43	창세기 32:3, 창세기 36:31-39
1:44	예레미야 49:13
1:51	창세기 36:40-43
2:1	창세기 32:28, 창세기 29:32, 창세기 49:3-4, 창세기 29:33, 창세기 29:34, 창세기 49:5-7, 창세기 29:35, 창세기 49:8-12, 히브리서 7:14, 창세기 30:18, 창세기 49:14-15, 창세기 30:20, 창세기 49:13
2:2	창세기 30:4-6, 창세기 49:16-18, 창세기 30:22, 창세기 30:24, 창세기 49:22-26, 창세기 35:16, 창세기 35:18, 창세기 49:27, 창세기 30:7-8, 창세기 49:21, 창세기 30:9-11, 창세기 49:19, 창세기 30:12-13, 창세기 49:20
2:3	창세기 38:2-5, 창세기 38:7
2:4	창세기 38:11, 누가복음 3:23, 누가복음 3:33
2:5	민수기 26:21
2:7	신명기 7:26, 여호수아 6:18, 여호수아 22:20, 여호수아 7:15, 여호수아 7:18
2:9	사무엘상 27:10, 룻기 4:19-21, 마태복음 1:3
2:10	마태복음 1:4-5, 민수기 2:3
2:11	누가복음 3:23, 누가복음 3:32, 룻기 2:1
2:12	룻기 4:17, 룻기 4:22, 사무엘상 16:1
2:13	사무엘상 17:13, 사무엘상 16:6-10
2:15	사무엘상 16:13, 사무엘상 17:12, 마태복음 1:6
2:16	사무엘하 17:25, 사무엘하 21:17, 사무엘하 23:18-19, 사무엘하 8:16, 역대기상 11:6, 사무엘하 2:18, 사무엘하 3:30, 사무엘하 23:24
2:17	사무엘하 19:13, 열왕기상 2:5
2:19	역대기상 4:4, 출애굽기 17:12, 출애굽기 24:14
2:20	출애굽기 31:2-5, 출애굽기 36:1, 출애굽기 37:1
2:21	민수기 26:29, 여호수아 17:1, 창세기 50:23, 역대기상 7:14
2:22	신명기 3:14, 여호수아 13:29-30, 민수기 32:40-41
2:23	사무엘하 3:3, 사무엘하 13:38, 사무엘하 8:6, 열왕기상 4:13, 민수기 32:42
2:24	창세기 46:12, 느헤미야 3:5, 역대기상 4:5
2:42	역대기상 2:9
2:45	여호수아 15:20, 여호수아 15:58, 느헤미야 3:16
2:49	여호수아 15:21, 여호수아 15:31, 여호수아 15:20, 여호수아 15:57, 역대기상 2:18, 여호수아 15:16-17
2:50	역대기상 2:19, 출애굽기 17:12, 출애굽기 24:14, 여호수아 15:9, 여호수아 15:12, 역대기상 13:5
2:51	창세기 35:19, 요한복음 7:42
2:53	역대기상 11:10, 역대기상 11:40, 역대기상 4:2, 여호수아 15:20, 여호수아 15:33
2:54	창세기 35:19, 마태복음 2:1
2:55	열왕기하 10:15, 예레미야 35:6, 예레미야 35:19, 사사기 1:16, 사사기 4:11, 사무엘상 15:6
3:1	사무엘하 3:2-5, 사무엘상 25:43, 사무엘하 13:32, 사무엘상 25:2, 사무엘상 25:39
3:2	사무엘하 13:28, 사무엘하 13:37, 사무엘하 15:10, 사무엘하 18:14, 열왕기상 1:5, 열왕기상 1:11, 열왕기상 2:24
3:4	사무엘하 5:5
3:5	사무엘하 5:13-16, 역대기상 14:3-7, 누가복음 3:23, 누가복음 3:31, 마태복음 1:7, 사무엘하 11:3, 사무엘하 11:27
3:9	사무엘하 13:1
3:10	열왕기상 11:43, 역대기하 13:1, 역대기하 14:1, 역대기하 20:31
3:11	역대기하 21:5, 역대기하 22:2, 역대기하 24:1
3:12	역대기하 25:1, 열왕기하 14:21, 역대기하 27:1
3:13	역대기하 28:1, 역대기하 29:1, 열왕기하 21:1
3:14	열왕기하 21:19, 열왕기하 22:1
3:15	열왕기하 23:34, 역대기하 36:5, 열왕기하 24:17, 역대기하 36:11
3:16	열왕기하 24:6, 열왕기하 24:8, 열왕기하 25:27, 에스더 2:6
3:19	에스라 5:2, 마태복음 1:12, 누가복음 3:23, 누가복음 3:27
4:1	창세기 38:29, 민수기 26:20, 룻기 4:18, 마태복음 1:3, 창세기 46:12, 역대기상 2:5, 출애굽기 17:12, 출애굽기 24:14, 역대기상 2:19, 역대기상 2:50
4:2	역대기상 2:53
4:3	역대기하 11:5-6
4:4	미가 5:2, 역대기상 2:19
4:5	역대기하 11:5-6, 역대기상 2:24
4:13	여호수아 15:16-17, 사사기 3:9, 사사기 3:11
4:15	민수기 32:11-12, 여호수아 15:13
4:21	창세기 38:2, 창세기 38:5, 민수기 26:20
4:24	창세기 46:10, 민수기 26:12-13
4:27	민수기 26:22
4:28	여호수아 19:1-2, 여호수아 15:21, 여호수아 15:26, 여호수아 15:21, 여호수아 15:28, 여호수아 19:1, 여호수아 19:3, 느헤미야 11:25-27
4:29	여호수아 15:21, 여호수아 15:29
4:30	여호수아 19:1, 여호수아 19:4, 사사기 1:17, 여호수아 15:20, 여호수아 15:31, 여호수아 19:1, 여호수아 19:5, 사무엘상 27:5-6
4:31	여호수아 19:1, 여호수아 19:5
4:32	여호수아 19:1, 여호수아 19:7
4:40	창세기 10:6, 창세기 10:20
4:41	역대기하 29:1
4:42	창세기 36:8
4:43	출애굽기 17:14, 출애굽기 17:16, 사무엘상 15:7
5:1	창세기 29:32, 창세기 49:3-4, 창세기 35:22, 창세기 49:22, 창세기 49:26, 여호수아 14:4
5:2	창세기 49:8, 창세기 49:10, 민수기 2:3, 민수기 10:14, 사사기 1:1-2, 시편 60:7, 마태복음 2:6, 히브리서 7:14
5:3	창세기 46:9, 출애굽기 6:14
5:6	열왕기하 16:7
5:8	신명기 2:36, 민수기 32:34, 민수기 32:38, 여호수아 13:15, 여호수아 13:17, 에스겔 25:9-10
5:9	창세기 15:18, 신명기 1:7, 여호수아 1:4, 사무엘하 8:3, 여호수아 22:9
5:11	신명기 3:8, 신명기 3:10, 여호수아 12:4-5
5:16	민수기 32:1, 신명기 3:3, 신명기 3:13, 신명기 32:14
5:17	열왕기하 15:32, 역대기하 27:1, 이사야 1:1, 호세아 1:1, 미가 1:1, 열왕기하 14:16, 열왕기하 14:28
5:19	역대기상 5:10, 창세기 25:13, 창세기 25:15, 역대기상 1:31
5:20	시편 20:7, 시편 22:4
5:22	여호수아 10:42, 사무엘상 17:45, 사무엘상 17:47, 역대기하 20:15, 열왕기하 15:29, 열왕기하 17:6
5:23	여호수아 13:29-30, 신명기 4:47-48
5:25	신명기 5:7-9, 사사기 2:17, 사사기 8:33, 열왕기하 17:10-11
5:26	열왕기하 15:19, 열왕기하 15:29, 에스라 1:1, 잠언 21:1, 열왕기하 17:6, 열왕기하 18:11
6:1	창세기 29:34, 출애굽기 6:16, 출애굽기 6:18, 민수기 3:27, 민수기 3:17, 민수기 26:57
6:2	출애굽기 6:21, 출애굽기 6:22, 레위기 10:4
6:3	출애굽기 6:20, 역대기상 23:13, 출애굽기 6:26, 사도행전 7:37-38, 출애굽기 15:20, 출애굽기 24:1, 레위기 10:1, 민수기 3:32, 신명기 10:6, 출애굽기 6:23, 출애굽기 28:1, 민수기 4:28, 역대기상 24:2, 역대기상 24:4
6:4	출애굽기 6:25, 민수기 25:11
6:7	사무엘하 8:17
6:8	열왕기상 1:8, 열왕기상 2:35, 사무엘하 15:27, 사무엘하 15:36
6:12	느헤미야 11:11
6:13	역대기하 34:14
6:14	열왕기하 25:18, 학개 1:1
6:17	민수기 3:18
6:18	민수기 3:19-20
6:19	민수기 26:57
6:20	민수기 3:18
6:22	민수기 16:1, 민수기 16:32, 민수기 26:10-11, 유다서 1:11
6:23	출애굽기 6:24
6:27	사무엘상 1:1
6:28	사무엘상 1:20, 사무엘상 8:1-2
6:29	출애굽기 6:19, 역대기상 23:21
6:31	사무엘하 6:17, 역대기상 15:16
6:32	열왕기상 6:14, 역대기하 35:15
6:33	역대기상 15:16-17, 사무엘상 8:1-2
6:34	사무엘상 1:1
6:39	역대기상 25:1, 역대기하 5:12, 시편 50:0
6:44	역대기상 23:6, 역대기상 15:16-17
6:48	민수기 3:5-7
6:49	출애굽기 28:1, 민수기 3:10, 출애굽기 29:38, 출애굽기 30:7, 출애굽기 30:10, 레위기 4:20, 레위기 17:11, 역대기하 29:24
6:50	출애굽기 6:23, 출애굽기 28:1, 민수기 3:32
6:52	사무엘하 8:17
6:53	열왕기상 2:35
6:55	민수기 13:22, 여호수아 21:8, 여호수아 21:11
6:56	여호수아 14:13, 사사기 1:20
6:57	민수기 35:12-13, 여호수아 20:7, 여호수아 20:9, 여호수아 15:20, 여호수아 15:42, 여호수아 15:20, 여호수아 15:48, 여호수아 21:13-16
6:58	사사기 1:11
6:59	역대기상 4:24, 역대기상 4:32, 여호수아 15:10, 여호수아 15:12
6:60	여호수아 18:21, 여호수아 18:24, 여호수아 21:8, 여호수아 21:18, 예레미야 1:1, 여호수아 21:4
6:61	여호수아 21:5
6:62	여호수아 21:27-33
6:63	여호수아 21:34-40
6:64	민수기 35:2-4
6:66	여호수아 21:20-26
6:67	여호수아 20:7, 여호수아 20:9, 여호수아 16:10
6:68	여호수아 10:11
6:69	여호수아 10:12, 사사기 1:35, 여호수아 19:45, 여호수아 19:48
6:71	신명기 4:41-43, 여호수아 21:27
6:72	여호수아 19:12, 여호수아 19:16, 여호수아 21:8, 여호수아 21:28
6:74	여호수아 21:8, 여호수아 21:30
6:75	여호수아 19:28, 여호수아 19:31, 사사기 1:31
