1:1	역대기상 29:25, 전도서 2:9, 마태복음 6:28-29, 마태복음 12:42
1:3	열왕기상 3:4, 역대기상 21:29
1:4	역대기상 13:5, 역대기상 16:1
1:5	출애굽기 31:2-5, 출애굽기 38:1-2
1:6	열왕기상 3:4
1:7	열왕기상 3:5-9
1:8	사무엘하 7:8, 역대기상 28:5, 시편 89:28-29
1:9	사무엘하 7:12, 역대기상 28:6, 시편 132:11, 창세기 13:14, 창세기 13:16
1:10	잠언 2:6, 야고보서 1:5, 시편 72:1-2
1:11	열왕기상 3:10-13, 열왕기상 3:28
1:12	역대기상 29:25, 역대기하 9:22, 전도서 2:9
1:13	열왕기상 3:4
1:14	신명기 17:16, 열왕기상 4:26, 역대기하 8:5-6, 역대기하 9:25
1:15	열왕기상 10:21, 열왕기상 10:27, 역대기하 9:27
1:16	역대기하 9:28, 열왕기상 10:28-29
2:1	신명기 12:11, 역대기상 22:10, 열왕기상 7:1
2:2	열왕기상 5:15, 열왕기상 5:16, 열왕기상 9:22, 역대기하 2:17-18
2:3	열왕기상 5:1, 사무엘하 5:11
2:4	출애굽기 30:7, 출애굽기 25:30, 민수기 28:4, 민수기 28:9, 민수기 28:11, 신명기 16:16
2:6	열왕기상 8:27, 이사야 66:1, 사도행전 17:24
2:7	열왕기상 7:13-14, 역대기상 22:15
2:8	열왕기상 5:6, 열왕기상 5:8, 역대기하 3:5, 열왕기상 10:11, 열왕기상 5:9, 열왕기상 5:14
2:10	열왕기상 5:11
2:12	역대기하 1:11-12, 열왕기상 5:7
2:13	열왕기상 7:13-14, 역대기하 4:11-16
2:14	역대기하 3:14, 출애굽기 31:2-5
2:15	역대기하 2:10
2:16	열왕기상 5:6, 열왕기상 5:8, 여호수아 19:46, 여호수아 19:48, 에스라 3:7, 열왕기상 5:9
2:17	역대기상 22:2, 역대기하 8:7-8
2:18	열왕기상 5:17-18, 역대기상 22:15, 열왕기상 5:15-16
3:1	창세기 22:2, 창세기 22:14, 열왕기상 6:1, 열왕기상 6:37, 사무엘하 24:25, 역대기상 21:18, 사무엘하 24:18, 역대기상 21:22
3:3	열왕기상 6:2
3:4	열왕기상 6:3
3:5	열왕기상 6:15, 열왕기상 6:22, 열왕기상 6:29, 열왕기상 6:21
3:6	역대기상 29:2, 역대기상 29:8, 역대기상 29:3-4
3:7	출애굽기 26:29, 출애굽기 26:1, 열왕기상 6:29
3:8	출애굽기 26:33, 열왕기상 8:6, 히브리서 9:24, 열왕기상 6:20
3:10	열왕기상 6:23-28
3:11	열왕기상 8:6, 역대기상 28:18
3:14	마태복음 27:51, 히브리서 10:19-20, 출애굽기 26:31, 출애굽기 26:33
3:15	열왕기하 25:13, 열왕기상 7:15-22, 열왕기하 25:17, 역대기하 4:11-13, 예레미야 52:22-23
4:1	출애굽기 38:1-2, 열왕기상 8:22
4:2	출애굽기 30:20, 출애굽기 38:8, 열왕기상 7:23-26
4:3	열왕기상 6:18
4:4	예레미야 52:20
4:6	열왕기상 7:38-39, 레위기 1:9, 레위기 9:14, 출애굽기 29:4
4:7	역대기상 28:12, 역대기상 28:15, 출애굽기 37:17, 출애굽기 40:24
4:8	역대기하 4:19
4:9	출애굽기 27:9, 레위기 6:16, 열왕기상 6:36, 열왕기상 7:12
4:10	열왕기상 7:39
4:11	출애굽기 27:3, 열왕기상 7:40-46
4:12	역대기하 3:17, 열왕기상 7:17
4:13	열왕기상 7:20, 예레미야 52:22
4:14	열왕기상 7:27, 열왕기상 7:38
4:15	열왕기상 7:23, 열왕기상 7:25
4:16	출애굽기 38:3, 역대기하 2:13-14
4:17	여호수아 13:27-28
4:18	열왕기상 7:47, 역대기상 22:3, 역대기상 22:14, 예레미야 52:20
4:19	열왕기하 24:13, 출애굽기 37:25-26, 요한 계시록 8:3, 출애굽기 25:23-24, 열왕기상 7:48-50, 역대기하 4:8
4:20	출애굽기 25:31, 출애굽기 25:37
4:22	열왕기상 6:31-32, 열왕기상 6:33-35
5:1	열왕기상 6:38, 역대기상 22:14, 열왕기상 7:51, 역대기상 26:26
5:2	열왕기상 8:1-2, 시편 2:6, 사무엘하 6:12, 역대기하 1:4
5:3	레위기 23:34, 역대기하 7:8
5:4	출애굽기 25:14, 민수기 4:15, 열왕기상 8:3-5, 역대기상 15:2, 역대기상 15:15
5:5	출애굽기 40:35, 민수기 4:29, 민수기 4:31
5:6	사무엘하 6:13
5:7	열왕기상 6:20, 열왕기상 6:23, 열왕기상 8:6-9
5:8	출애굽기 25:14
5:10	출애굽기 34:1, 출애굽기 40:20, 출애굽기 19:1, 출애굽기 19:5, 출애굽기 24:7
5:11	역대기상 24:1, 출애굽기 19:10, 민수기 8:21
5:12	역대기상 6:31, 역대기상 6:39, 역대기상 6:31, 역대기상 6:33, 역대기상 16:41, 역대기상 25:1, 역대기상 25:6, 역대기상 25:3, 역대기상 15:16, 역대기상 15:24
5:13	역대기상 16:34, 출애굽기 40:34-35, 열왕기상 8:10-11
5:14	역대기하 7:1-2, 에스겔 10:4, 요한 계시록 21:23
6:1	출애굽기 20:21, 열왕기상 8:12-13, 시편 97:2
6:2	시편 132:13-14
6:3	열왕기상 8:14-21
6:5	신명기 12:5-6
6:6	시편 48:1, 사무엘하 7:8, 역대기상 28:4
6:7	사무엘하 7:2, 열왕기상 5:3
6:9	역대기상 17:4
6:10	역대기상 17:11, 역대기상 28:5, 역대기상 29:23
6:11	출애굽기 40:20, 열왕기상 8:9
6:12	열왕기상 8:22
6:13	열왕기상 6:36, 열왕기상 8:54
6:14	신명기 7:9, 열왕기상 8:23-26
6:15	열왕기상 3:6, 사무엘하 7:12-13, 역대기상 22:10
6:16	시편 132:12, 열왕기상 2:4
6:18	사도행전 7:48, 역대기하 2:6, 이사야 40:12, 사도행전 17:24, 열왕기상 8:27-30, 이사야 66:1
6:20	신명기 26:2
6:21	다니엘 6:10, 열왕기하 19:20, 역대기하 30:27, 역대기하 7:12-14, 미가 7:18
6:22	열왕기상 8:31-32
6:23	욥기 34:11, 이사야 3:10-11, 에스겔 18:20
6:24	레위기 26:14, 레위기 26:17, 여호수아 7:8, 여호수아 7:11, 사사기 2:14, 다니엘 9:3, 다니엘 9:19, 에스라 9:5, 열왕기상 8:33-34
6:25	이사야 57:15, 시편 106:47
6:26	에스겔 14:13, 레위기 26:19, 신명기 28:23, 열왕기상 8:35-36
6:27	이사야 30:20-21, 이사야 54:13, 열왕기상 18:1
6:28	룻기 1:1, 열왕기하 6:25, 레위기 26:14, 레위기 26:16, 신명기 28:21-22, 아모스 4:9, 학개 2:17, 신명기 28:38, 요엘 1:4, 역대기하 12:2, 역대기하 32:1, 열왕기상 8:37-40
6:29	잠언 14:10, 역대기하 20:5-6, 역대기하 33:13, 다니엘 6:10
6:30	이사야 63:15, 시편 130:4, 사무엘상 16:7, 역대기상 28:9, 예레미야 11:20, 예레미야 17:10
6:32	출애굽기 12:48, 룻기 1:16, 열왕기하 5:15, 이사야 56:6-7, 사도행전 8:27, 열왕기상 8:41-43
