1:1	에스더 8:9, 다니엘 6:1
1:2	에스라 4:9, 느헤미야 1:1, 다니엘 8:2
1:3	에스라 1:2, 이사야 21:2, 예레미야 51:11, 다니엘 5:28
1:9	에스더 1:12, 에스더 2:1, 에스더 2:17
1:10	에스더 7:9
1:14	에스라 7:14
1:16	에스더 1:12
1:19	에스더 8:8, 다니엘 6:8
1:22	에스더 3:12, 에스더 3:14
2:1	에스더 1:1, 에스더 1:12, 에스더 1:19
2:3	에스더 8:9, 에스더 2:15
2:4	에스더 1:19
2:5	에스라 4:9, 느헤미야 1:1, 에스더 1:2, 다니엘 8:2, 에스더 3:2, 에스더 10:3, 창세기 49:27, 사무엘상 9:21
2:6	열왕기하 24:14-15, 역대기상 3:16, 역대기하 36:9-10, 예레미야 22:28, 예레미야 24:1, 예레미야 37:1, 예레미야 52:31, 마태복음 1:11
2:7	에스더 2:15
2:8	에스더 2:3
2:9	에스더 2:12
2:10	에스더 3:8, 에스더 2:7, 에스더 4:12-14
2:12	잠언 7:17, 솔로몬의 노래 3:6, 창세기 43:11, 열왕기상 10:2, 열왕기하 20:13
2:14	에스더 2:3, 에스더 4:11
2:15	에스더 2:7
2:16	에스더 1:3
2:17	에스더 1:19, 에스더 4:14
2:19	에스더 2:3-4
2:20	에스더 2:5-6, 에스더 3:8, 에스더 2:7, 에스더 2:10
2:23	에스더 6:1-2
3:1	출애굽기 17:16, 민수기 24:7, 신명기 25:19, 사무엘상 15:8, 사무엘상 15:32, 에스더 3:10, 에스더 8:7, 에스더 9:24, 에스더 1:14
3:4	다니엘 6:13, 에스더 2:5
3:5	에스더 5:9
3:7	에스더 1:3, 에스더 2:16, 에스더 9:24, 에스더 9:1
3:8	에스더 1:1, 신명기 4:27, 느헤미야 1:8, 예레미야 50:17
3:10	창세기 41:42, 민수기 24:7, 사무엘상 15:8, 사무엘상 15:32, 에스더 3:1, 에스더 8:2
3:12	에스더 8:9, 다니엘 6:8, 에스더 8:8, 다니엘 6:17
3:13	에스더 9:1, 에스더 8:11-12
3:15	에스더 8:14, 에스라 4:9, 느헤미야 1:1, 다니엘 8:2
