1:1	에스겔 14:14, 야고보서 5:10-11, 창세기 6:9, 욥기 2:3
1:5	창세기 8:20, 창세기 12:7-8, 창세기 18:17, 창세기 18:19
1:6	창세기 6:2, 신명기 33:2, 욥기 38:7, 열왕기상 22:19, 시편 103:20, 다니엘 7:13, 스가랴 3:1, 마태복음 4:1, 마태복음 4:3, 누가복음 22:31, 요한복음 13:2, 요한 계시록 12:9, 욥기 2:1-3
1:7	베드로 전서 5:8
1:8	창세기 6:9
1:9	요한 계시록 12:10
1:10	창세기 15:1, 창세기 31:7, 창세기 26:12
1:12	욥기 2:7
1:13	욥기 1:4
1:17	창세기 11:28
1:21	창세기 3:19, 시편 49:17, 전도서 5:15, 전도서 12:7, 디모데 전서 6:7, 전도서 5:19, 야고보서 1:17
2:1	창세기 6:2, 신명기 33:2, 욥기 38:7, 시편 103:20, 다니엘 7:13, 욥기 1:6-8
2:2	베드로 전서 5:8
2:3	창세기 6:9, 욥기 1:11, 욥기 27:5
2:5	레위기 24:15-16, 욥기 1:11-12, 요한 계시록 12:10
2:7	욥기 30:30
2:8	예레미야 6:26
2:10	욥기 1:21, 야고보서 5:10-11
2:11	욥기 4:1, 욥기 15:1, 욥기 22:1, 욥기 42:7, 욥기 42:9, 창세기 25:1-2, 욥기 8:1, 욥기 18:1, 욥기 25:1, 욥기 11:1, 욥기 20:1
2:12	에스겔 27:30-31
2:13	욥기 16:6
3:1	예레미야 20:14-15
3:3	욥기 10:18-19, 예레미야 15:10
3:6	욥기 10:18-19
3:8	욥기 41:1, 욥기 41:10, 시편 104:25-26
3:10	욥기 10:18
3:11	예레미야 20:17-18
3:13	전도서 9:5, 전도서 9:10, 요한복음 11:11
3:17	시편 146:4, 전도서 9:10, 이사야 57:1-2
3:19	욥기 30:23, 시편 49:10, 시편 49:12, 전도서 8:8, 전도서 9:2
3:20	사무엘상 1:10, 열왕기하 4:27
3:21	민수기 11:11, 민수기 11:15, 열왕기상 19:3-4, 욥기 7:15-16, 요나 4:2-3
3:23	욥기 12:14, 욥기 19:8
