1:1	잠언 4:14, 잠언 22:10
1:2	시편 19:7, 시편 40:8, 시편 112:1, 마태복음 5:3, 로마서 7:22, 야고보서 1:25, 여호수아 1:8, 시편 119:97, 디모데 전서 4:15
1:3	역대기상 22:13, 예레미야 17:7-8
1:5	마태복음 25:41, 말라기 3:18, 마태복음 13:49-50
1:6	시편 37:18, 예레미야 12:3, 베드로 전서 3:12, 잠언 14:12
2:1	사도행전 4:25-28
2:2	마태복음 27:1-2, 누가복음 23:10-11, 요한 계시록 19:19, 시편 89:20, 이사야 61:1
2:6	사무엘하 5:7, 요한 계시록 14:1, 시편 45:6, 에스겔 21:27, 다니엘 7:13-14, 요한 계시록 19:16
2:7	마태복음 3:16-17, 마가복음 1:9-11, 로마서 1:4, 사도행전 13:33, 히브리서 1:5, 히브리서 5:5
2:8	시편 72:8, 히브리서 1:2, 요한 계시록 11:15
2:9	요한 계시록 12:5, 요한 계시록 19:15, 다니엘 2:44, 요한 계시록 2:26-27
2:12	빌립보서 2:9-11, 요한복음 3:36
3:0	사무엘하 15:14
3:1	사무엘하 15:12, 사무엘하 16:15, 사무엘하 12:11
3:2	사무엘하 16:7-8
3:3	창세기 15:1, 이사야 45:25, 시편 27:6
3:4	사무엘하 15:25, 시편 2:6
3:5	시편 4:8, 잠언 3:24
3:6	열왕기하 6:15-16, 시편 27:3, 로마서 8:31
3:7	디모데 전서 4:10, 데살로니가 후서 1:6
3:8	시편 37:39, 이사야 43:11, 요한 계시록 19:1
4:1	시편 11:7
4:4	에베소서 4:26
4:5	시편 37:3, 시편 62:8, 잠언 3:5, 베드로 전서 4:19
4:6	민수기 6:26, 시편 80:7, 잠언 16:15, 베드로 전서 3:12
4:8	시편 3:5, 잠언 3:24, 잠언 3:26, 레위기 25:18
5:1	시편 65:2, 베드로 전서 3:12
5:3	시편 55:16-17, 마가복음 1:35
5:4	시편 89:14, 잠언 6:16-19, 하박국 1:13, 시편 15:1-5, 잠언 12:19
5:5	로마서 12:9, 히브리서 1:9
5:6	잠언 20:19, 요한복음 8:44, 골로새서 3:9, 요한 계시록 21:8, 창세기 9:6, 시편 55:23, 잠언 6:16-17, 베드로 전서 3:10
5:7	시편 69:13, 사무엘상 3:3, 역대기상 16:1, 시편 28:2, 시편 138:2
5:8	시편 25:4-5, 시편 27:11
5:9	잠언 29:5, 로마서 3:13
5:10	사무엘하 15:31, 사무엘하 17:23, 시편 7:14-15
5:11	시편 40:16
5:12	창세기 15:1, 시편 3:3
