1:1	열왕기상 4:29, 열왕기상 4:32
1:2	솔로몬의 노래 4:10
1:3	잠언 27:9, 전도서 9:8, 솔로몬의 노래 5:5, 전도서 7:1
1:5	시편 120:5, 에스겔 27:21, 출애굽기 36:14
1:7	솔로몬의 노래 6:3
1:9	열왕기상 10:28, 역대기하 1:16-17, 솔로몬의 노래 6:4
1:12	솔로몬의 노래 4:13-14
1:13	출애굽기 30:23, 출애굽기 30:25, 에스더 2:12, 시편 45:8, 솔로몬의 노래 4:6, 솔로몬의 노래 5:13
1:14	여호수아 15:20, 여호수아 15:62, 사무엘상 23:29, 역대기하 20:2, 솔로몬의 노래 4:13
1:15	솔로몬의 노래 4:1, 솔로몬의 노래 5:2
1:16	솔로몬의 노래 5:10
2:1	솔로몬의 노래 2:16
2:5	사무엘상 30:11-12
2:6	솔로몬의 노래 8:3
2:7	사무엘하 2:18, 솔로몬의 노래 3:5, 솔로몬의 노래 8:4
2:9	솔로몬의 노래 2:17, 솔로몬의 노래 8:14
2:12	솔로몬의 노래 6:11, 이사야 18:5, 요한복음 15:2, 예레미야 8:7
2:13	이사야 28:4, 나훔 3:12
2:14	솔로몬의 노래 5:2, 예레미야 48:28, 솔로몬의 노래 8:13, 솔로몬의 노래 1:5, 솔로몬의 노래 6:10
2:16	솔로몬의 노래 7:10, 솔로몬의 노래 1:7, 솔로몬의 노래 2:1, 솔로몬의 노래 6:3
2:17	사무엘하 2:18, 솔로몬의 노래 2:9, 솔로몬의 노래 8:14
3:1	솔로몬의 노래 1:7, 솔로몬의 노래 5:6
3:3	솔로몬의 노래 5:7
3:4	솔로몬의 노래 8:2
3:5	솔로몬의 노래 2:7, 솔로몬의 노래 8:4
3:6	출애굽기 30:23-24, 출애굽기 30:34
3:7	열왕기상 9:22
3:9	열왕기상 5:8-9
3:11	사무엘하 12:24, 잠언 4:3
4:1	민수기 32:1, 신명기 3:12, 솔로몬의 노래 6:5-7
4:4	솔로몬의 노래 1:10, 느헤미야 3:25, 솔로몬의 노래 7:4, 사무엘하 8:7, 열왕기하 11:10
4:5	솔로몬의 노래 7:3
4:6	전도서 2:5
4:7	솔로몬의 노래 4:1
4:8	신명기 3:25, 신명기 3:8-9, 시편 133:3
4:9	잠언 5:18-19
4:10	솔로몬의 노래 7:12, 솔로몬의 노래 1:2, 솔로몬의 노래 1:4, 에스더 2:12, 솔로몬의 노래 1:12
4:11	잠언 16:24, 솔로몬의 노래 5:1
4:14	요한복음 12:3, 이사야 43:24, 잠언 7:17, 시편 45:8, 출애굽기 30:23-24, 출애굽기 30:34, 에스겔 27:2, 에스겔 27:22
4:15	예레미야 18:14
5:1	솔로몬의 노래 4:16, 솔로몬의 노래 4:13-14, 솔로몬의 노래 4:11, 솔로몬의 노래 1:2
5:2	솔로몬의 노래 3:1, 누가복음 2:8
5:6	솔로몬의 노래 3:1, 솔로몬의 노래 3:3
5:13	솔로몬의 노래 6:2, 솔로몬의 노래 1:13
5:15	시편 92:12
5:16	솔로몬의 노래 2:3
6:2	솔로몬의 노래 1:7, 솔로몬의 노래 2:16
6:3	솔로몬의 노래 7:10, 솔로몬의 노래 2:16
6:4	솔로몬의 노래 1:9, 열왕기상 14:17, 열왕기상 15:33, 시편 48:2, 솔로몬의 노래 6:10
6:5	솔로몬의 노래 1:15, 솔로몬의 노래 4:9, 솔로몬의 노래 7:4, 솔로몬의 노래 4:1-3
6:8	열왕기상 11:1
6:9	솔로몬의 노래 2:14
6:10	솔로몬의 노래 6:4
6:11	전도서 2:5
6:13	솔로몬의 노래 1:6
7:3	솔로몬의 노래 4:5
7:4	솔로몬의 노래 1:10, 솔로몬의 노래 4:4, 솔로몬의 노래 4:1, 민수기 21:25, 여호수아 21:8, 여호수아 21:39
7:5	이사야 35:2, 솔로몬의 노래 6:5, 에스더 8:15
7:7	솔로몬의 노래 7:3, 솔로몬의 노래 8:10
7:10	솔로몬의 노래 2:16, 솔로몬의 노래 6:3
7:11	솔로몬의 노래 1:14
7:12	솔로몬의 노래 2:13, 솔로몬의 노래 6:11, 솔로몬의 노래 1:2, 솔로몬의 노래 4:10
7:13	창세기 30:14, 솔로몬의 노래 4:16
8:1	솔로몬의 노래 1:2
8:2	솔로몬의 노래 3:4
8:3	솔로몬의 노래 2:6
8:4	솔로몬의 노래 2:7, 솔로몬의 노래 3:5
8:6	요한복음 15:13, 에베소서 5:25, 요한 계시록 12:11, 신명기 4:24, 요한 1서 4:8
8:7	고린도 전서 13:8, 고린도 전서 13:13, 로마서 8:38-39
8:8	솔로몬의 노래 1:6
8:11	전도서 2:4
8:13	솔로몬의 노래 1:6, 솔로몬의 노래 6:11, 솔로몬의 노래 2:14
8:14	솔로몬의 노래 2:9, 솔로몬의 노래 2:17
