1:1	여호수아 21:8, 여호수아 21:18
1:2	열왕기하 21:19-20, 열왕기하 22:1-2
1:3	열왕기하 24:1, 역대기하 36:4, 열왕기하 24:18-19, 열왕기하 25:8, 열왕기하 25:11, 예레미야 52:12, 예레미야 52:15
1:5	사사기 13:5, 시편 139:15-16, 누가복음 1:13, 누가복음 1:15
1:6	열왕기상 3:5, 열왕기상 3:7, 출애굽기 4:10
1:7	출애굽기 7:1-2
1:8	에스겔 2:6, 출애굽기 3:11-12, 예레미야 15:20, 사도행전 18:9-10
1:9	이사야 6:7, 출애굽기 4:12, 출애굽기 4:15, 에스겔 33:7
1:10	예레미야 18:7-10, 예레미야 24:5-6
1:14	예레미야 6:1, 예레미야 10:22
1:15	예레미야 5:15, 예레미야 6:22, 예레미야 25:9, 예레미야 39:3, 신명기 28:52, 예레미야 34:22, 예레미야 44:6
1:16	여호수아 24:20, 열왕기하 22:17, 역대기하 7:19-20, 에스겔 8:10-11, 호세아 11:2, 이사야 2:8
1:17	에스겔 2:6
1:18	예레미야 15:20, 예레미야 20:11, 에스겔 3:8, 미가 3:8, 예레미야 26:12
1:19	창세기 28:15, 출애굽기 3:12, 여호수아 1:5
2:2	호세아 2:15, 출애굽기 24:3, 신명기 2:7
2:3	출애굽기 19:6, 신명기 7:6, 출애굽기 17:8, 출애굽기 17:13
2:5	이사야 5:4, 미가 6:3, 신명기 32:21, 시편 115:4, 시편 115:8
2:6	출애굽기 14:30, 신명기 1:1, 신명기 32:9-10, 신명기 8:14-15
2:7	민수기 13:26-27, 신명기 6:10-11, 신명기 8:7-9, 레위기 18:24, 민수기 35:33, 시편 78:58, 시편 106:38, 예레미야 16:18
2:8	사무엘상 2:12, 예레미야 애가 4:13, 에스겔 34:7-8, 열왕기상 18:19, 예레미야 23:13
2:9	에스겔 20:35, 미가 6:2
2:10	창세기 10:2, 창세기 10:4, 창세기 25:13, 시편 120:5, 예레미야 49:28
2:11	시편 106:20
2:13	시편 36:9, 예레미야 17:13, 요한 계시록 22:1
2:15	이사야 5:29, 예레미야 4:7
