1:1	역대기하 26:1, 역대기하 26:3-4, 열왕기하 15:32-34, 열왕기하 16:1-3, 열왕기하 18:1-3, 이사야 1:1, 미가 1:1, 열왕기하 13:10-11, 열왕기하 14:23-24, 아모스 1:1
1:2	신명기 31:16, 호세아 3:1
1:4	열왕기하 10:29-31, 열왕기하 15:8, 열왕기하 15:10
1:6	호세아 2:23, 열왕기하 17:6, 열왕기하 17:22-23
1:7	호세아 11:12, 열왕기하 19:34-35, 이사야 37:36
1:10	창세기 13:16, 창세기 22:17, 베드로 전서 2:10, 로마서 9:25-26, 고린도 후서 6:18
1:11	에스라 3:1, 이사야 11:12, 예레미야 3:18, 에스겔 37:19, 미가 2:12, 호세아 2:22
2:1	예레미야 31:33, 에스겔 36:28, 스가랴 13:9, 호세아 2:23
2:2	예레미야 3:8
2:5	에스겔 23:4-5, 호세아 3:1, 에스라 9:6, 다니엘 9:7, 호세아 9:10, 에스겔 23:7-8, 호세아 8:9
2:7	이사야 31:1, 호세아 5:13, 예레미야 31:18, 에스겔 23:4, 호세아 5:15, 신명기 32:12-14, 느헤미야 9:25
2:8	신명기 32:28, 이사야 1:3, 호세아 8:4
2:9	이사야 17:11
2:10	시편 50:22, 호세아 5:14
2:11	아모스 5:21, 아모스 8:10
2:13	사사기 3:7, 열왕기상 16:30-32, 열왕기하 10:28, 호세아 11:2, 이사야 17:10
2:15	신명기 30:5, 이사야 65:21, 예레미야 32:15, 에스겔 28:25-26, 아모스 9:14, 여호수아 7:24-26, 이사야 65:10, 출애굽기 15:1
2:17	출애굽기 23:13, 여호수아 23:6-7, 스가랴 13:2
2:18	이사야 11:6-8, 에스겔 34:25, 이사야 2:4, 에스겔 39:9, 스가랴 9:10, 레위기 26:5-6, 예레미야 23:6, 미가 4:3-4
2:19	미가 7:18
2:20	이사야 54:13, 예레미야 24:7, 예레미야 31:34
2:21	신명기 28:12, 스가랴 8:12
2:22	호세아 1:11
