1:2	요엘 2:2
1:4	출애굽기 10:14-15, 요엘 2:25
1:5	이사야 28:1, 아모스 6:6, 신명기 28:39
1:6	요엘 2:2, 요한 계시록 9:7-8
1:9	레위기 2:1, 출애굽기 29:40
1:10	레위기 26:20, 신명기 28:39-40
1:12	레위기 26:20
1:13	출애굽기 30:19-20, 레위기 2:1, 출애굽기 29:40
1:14	요엘 2:15, 역대기하 20:3, 역대기하 20:13
1:15	요엘 2:1, 스바냐 1:7, 스바냐 1:14, 스바냐 2:2, 베드로 후서 3:10, 요한 계시록 6:16-17
1:19	미가 7:7, 하박국 3:18
2:1	에스겔 33:2-3, 아모스 3:6, 스바냐 1:14, 스바냐 1:16, 말라기 4:1
2:2	아모스 5:18, 아모스 5:20, 스바냐 1:15, 요엘 1:6
2:3	요엘 1:19, 창세기 2:8
2:4	요한 계시록 9:7
2:5	요한 계시록 9:9, 잠언 30:27
2:10	요엘 2:31, 마태복음 24:29, 누가복음 21:25, 요한 계시록 9:2
2:11	요엘 2:25, 요엘 2:2, 예레미야 30:7, 아모스 5:18, 스바냐 1:15, 요한 계시록 6:16-17
2:12	사무엘상 7:6, 역대기하 20:3, 예레미야 4:1, 호세아 12:6, 호세아 14:1-2
2:13	사무엘하 1:11-12, 열왕기하 22:18-19, 시편 51:17, 이사야 57:15, 이사야 48:9, 출애굽기 34:6, 민수기 14:18, 느헤미야 9:17, 시편 106:44-45, 미가 7:18-19
2:14	역대기하 30:8-9, 예레미야 18:7-8, 스바냐 2:2-3
2:15	요엘 1:14
2:16	출애굽기 19:10, 신명기 31:12, 역대기하 20:3, 역대기하 20:13
2:17	역대기하 8:12, 신명기 32:26-27, 시편 79:9-10, 미가 7:10
2:18	신명기 32:36, 이사야 60:10, 예레미야 애가 3:22, 호세아 11:8
2:19	이사야 62:8-9, 아모스 9:13, 말라기 3:10, 에스겔 34:29, 에스겔 36:15
2:20	이사야 34:2-3
2:22	이사야 30:23, 이사야 51:3, 에스겔 34:27, 아모스 9:14, 스가랴 8:12
2:23	이사야 12:6, 스가랴 10:7, 레위기 26:4, 신명기 11:14
2:24	레위기 26:10, 아모스 9:13, 말라기 3:10
2:25	요엘 1:4
2:26	레위기 26:5, 신명기 26:10-11, 스바냐 3:11
2:27	시편 46:5, 레위기 26:11-12, 에스겔 37:26-27
2:28	이사야 32:15, 이사야 44:3, 에스겔 39:29, 사도행전 2:16-18
2:30	사도행전 2:19-20
2:31	스바냐 1:14-15, 말라기 4:5, 마태복음 24:29, 마가복음 13:24-25, 누가복음 21:25, 요한 계시록 6:12
2:32	사도행전 2:21, 로마서 10:13, 오바댜 1:17
3:1	신명기 30:3, 예레미야 30:3, 에스겔 39:28, 아모스 9:14, 스바냐 3:20
3:2	에스겔 38:22, 요엘 3:12, 스바냐 3:8, 스가랴 14:3, 요한 계시록 16:14, 요한 계시록 16:16, 에스겔 35:10-11, 스바냐 2:8-9
3:3	오바댜 1:11
3:4	이사야 23:12, 예레미야 47:4, 에스겔 25:15-17, 아모스 1:9-10, 스가랴 9:1-2
3:5	역대기하 21:16-17
3:6	신명기 28:32, 에스겔 27:8, 에스겔 27:13
3:7	이사야 11:11-12, 이사야 43:5-6, 이사야 49:12, 예레미야 23:7-8, 에스겔 34:12
3:8	오바댜 1:19-20
3:9	이사야 34:1-2, 에스겔 38:7
3:11	에스겔 38:9, 스바냐 3:8, 요한 계시록 16:14
3:12	시편 76:8-9, 요엘 3:2
3:13	이사야 63:3, 요한 계시록 14:18-20
3:14	이사야 34:2, 스바냐 1:14
3:16	시편 50:15
3:17	스가랴 8:3, 이사야 4:3, 이사야 60:18, 나훔 1:15, 스가랴 14:21
3:18	아모스 9:13, 스가랴 9:17, 에스겔 47:1, 요한 계시록 22:1
3:19	이사야 19:1, 예레미야 49:17, 에스겔 25:12-13, 아모스 1:11, 오바댜 1:10
3:20	시편 48:8, 이사야 33:20, 이사야 60:15, 아모스 9:15
3:21	이사야 4:4, 에스겔 36:25, 미가 7:18-19, 이사야 24:23, 미가 4:7
