1:1	역대기하 11:5-6, 역대기하 26:1, 역대기하 26:3-4, 이사야 1:1, 열왕기하 13:10-11, 열왕기하 14:23-24, 호세아 1:1, 아모스 7:10, 스가랴 14:5
1:2	이사야 33:9, 나훔 1:4
1:3	열왕기하 8:12, 열왕기하 10:32-33, 열왕기하 13:7
1:4	열왕기상 19:15, 예레미야 49:27
1:5	이사야 7:8, 이사야 8:4, 이사야 17:1, 열왕기하 16:9
1:6	에스겔 25:15, 역대기하 21:16-17, 역대기하 28:18, 요엘 3:4, 요엘 3:6
1:7	예레미야 25:17, 예레미야 25:20, 예레미야 47:1, 스가랴 9:5
1:8	이사야 20:1, 예레미야 47:5, 스바냐 2:4, 이사야 14:29, 예레미야 47:4, 에스겔 25:16-17, 스바냐 2:5, 스가랴 9:6
1:9	에스겔 26:2, 요엘 3:4, 요엘 3:6
1:10	에스겔 26:12
1:11	요엘 3:19, 에스겔 25:12, 역대기하 28:17, 오바댜 1:10
1:12	창세기 36:10-11, 오바댜 1:9, 이사야 34:5-6, 예레미야 49:13
1:13	에스겔 25:3, 스바냐 2:8, 사사기 11:12-13, 예레미야 49:1
1:14	예레미야 49:2, 에스겔 25:5
1:15	예레미야 27:2-3, 예레미야 49:3
2:1	예레미야 48:29-30, 에스겔 25:8-9, 스바냐 2:8
2:2	예레미야 48:21, 예레미야 48:24, 이사야 15:1
2:3	이사야 16:14, 예레미야 48:7
2:4	열왕기하 17:19, 예레미야 2:13, 레위기 26:14-16, 역대기하 36:14, 예레미야 9:14
2:5	사무엘상 12:15, 역대기상 28:9, 역대기하 36:17, 역대기하 36:19, 예레미야 17:27, 예레미야 37:8, 예레미야 52:12-14, 호세아 8:14
2:6	신명기 28:45, 열왕기하 17:6-7, 에스겔 23:4-5, 호세아 4:1-2, 아모스 5:11, 아모스 8:4-6
2:7	아모스 4:1, 이사야 10:1-2, 아모스 5:12
2:8	호세아 8:11, 호세아 10:1, 출애굽기 22:26, 신명기 24:12
2:9	민수기 21:23-25, 여호수아 24:8, 시편 135:10-11, 신명기 2:31-33
2:10	출애굽기 12:51, 민수기 14:34, 신명기 2:7
2:11	사무엘상 3:20, 열왕기상 17:1, 열왕기상 19:19, 민수기 6:2, 사사기 13:5
2:12	민수기 6:3-4, 이사야 30:10-11, 아모스 7:12-13
2:14	아모스 9:1
2:16	신명기 28:25
3:2	출애굽기 19:5, 신명기 7:6, 시편 147:19-20, 다니엘 9:11-12, 호세아 12:2, 아모스 4:12
3:7	창세기 6:13, 창세기 18:17, 시편 25:14, 이사야 42:9, 다니엘 9:22, 요한 계시록 1:1
3:8	아모스 1:2, 예레미야 20:9, 아모스 7:14-15, 사도행전 4:19-20
3:9	열왕기하 17:22-23, 호세아 7:1, 아모스 4:1
3:11	열왕기하 17:6, 호세아 11:6, 아모스 6:8
3:12	이사야 8:4, 아모스 6:4
3:14	호세아 4:9, 열왕기상 12:32-33, 호세아 13:2, 열왕기하 23:15-16, 역대기하 31:1, 역대기하 34:1, 역대기하 34:7, 호세아 10:2, 미가 1:6
3:15	열왕기상 22:39, 아모스 6:11
4:1	아모스 6:1, 호세아 4:1-2, 미가 2:2
4:4	열왕기상 12:28-29, 호세아 4:13, 아모스 3:14, 호세아 4:15, 호세아 9:15, 아모스 5:5, 호세아 8:11, 호세아 8:13, 신명기 14:28
4:5	레위기 7:12
4:6	레위기 26:26, 신명기 28:38, 신명기 32:24, 열왕기상 18:2, 열왕기하 4:38, 예레미야 3:6-7
4:7	신명기 28:23-24
4:8	열왕기상 18:5, 호세아 7:10
4:9	신명기 28:22, 신명기 28:40, 신명기 28:42, 이사야 42:24
4:10	출애굽기 9:3, 신명기 28:27, 신명기 28:60, 레위기 26:23, 레위기 26:25, 열왕기하 8:12, 열왕기하 13:7, 신명기 28:26
4:11	창세기 19:24-25, 호세아 7:10
4:13	이사야 40:12, 예레미야 10:13, 출애굽기 10:22, 이사야 5:30, 아모스 8:9, 미가 1:3
5:3	신명기 4:27, 신명기 28:62
5:4	역대기하 15:2, 이사야 55:3, 이사야 55:6
5:5	열왕기상 12:28-29, 아모스 3:14, 호세아 4:15, 아모스 4:4, 아모스 8:14, 열왕기하 17:6, 호세아 9:15
5:6	에스겔 33:11
5:7	아모스 6:12
5:8	욥기 9:9, 욥기 38:31-33, 출애굽기 10:21-22, 욥기 36:27-28, 전도서 1:7
5:10	열왕기상 18:17, 열왕기상 22:8
5:11	미가 2:2, 이사야 9:9-10, 신명기 28:30
5:12	이사야 10:1-2, 아모스 2:6-7
5:13	미가 2:3
5:14	이사야 1:16-17, 미가 6:8, 레위기 18:5, 신명기 30:19-20, 역대기하 15:2, 미가 3:11
5:15	시편 34:14, 시편 97:10, 로마서 12:9, 역대기하 19:6, 아모스 5:24, 예레미야 31:7, 스가랴 10:6
5:17	호세아 9:2
5:18	이사야 5:18-19, 아모스 4:12, 스바냐 1:14-15
5:21	잠언 15:8
5:22	시편 50:8, 이사야 66:3, 호세아 6:6, 이사야 1:11
5:23	아모스 6:5, 아모스 8:10
5:24	미가 6:8
5:25	사도행전 7:42-43
5:27	열왕기하 15:29, 열왕기하 17:6, 아모스 4:13
6:1	아모스 3:13, 아모스 3:15
6:2	민수기 34:2, 민수기 34:8, 열왕기하 14:28
6:3	이사야 56:12, 아모스 5:12
6:4	열왕기상 22:39, 아모스 3:12, 이사야 22:13
6:5	이사야 5:12, 역대기하 7:6, 역대기하 29:25-26
6:6	이사야 5:11, 열왕기하 15:29, 열왕기하 17:6
6:7	신명기 28:41, 아모스 5:5
6:8	아모스 4:2, 에스겔 33:28, 호세아 5:5, 예레미야 애가 2:5, 미가 1:6
6:11	이사야 10:5-6, 아모스 3:15
6:12	열왕기상 21:13, 이사야 59:13, 호세아 10:4, 아모스 5:7
6:13	신명기 8:17-18, 시편 75:5
6:14	신명기 28:49-50, 열왕기하 15:29, 열왕기하 17:6, 이사야 7:20, 이사야 8:4, 이사야 10:5-6, 호세아 10:6, 민수기 34:2, 민수기 34:8
7:2	예레미야 14:7, 다니엘 9:19, 이사야 37:4
7:3	신명기 32:36, 시편 106:44-45, 호세아 11:8
7:5	출애굽기 32:11, 이사야 1:9, 아모스 7:2
