1:1	열왕기하 14:25, 누가복음 11:29-30
1:2	마태복음 12:41
1:5	사도행전 27:18, 사도행전 27:38
1:6	요나 3:9
1:7	잠언 16:33, 잠언 18:18, 여호수아 7:14, 여호수아 7:18, 사무엘상 14:42-43
1:16	다니엘 6:26-27
1:17	마태복음 12:39-40, 마태복음 16:4, 누가복음 11:29-30
2:1	시편 91:14-15, 마태복음 12:40
2:2	시편 120:1, 시편 130:1-2
2:3	시편 69:1, 시편 42:7
2:5	시편 69:1
2:6	시편 16:10, 시편 30:3, 이사야 38:17, 사도행전 2:31
2:7	시편 142:2-3, 시편 143:4-5, 시편 18:6
2:9	시편 50:14, 시편 3:8, 이사야 12:2
3:1	요나 1:1-2
3:2	창세기 10:8, 창세기 10:11, 나훔 1:1, 스바냐 2:13
3:3	창세기 10:8, 창세기 10:11, 요나 2:9
3:5	출애굽기 9:20, 마태복음 12:41, 누가복음 11:32
3:10	누가복음 11:32, 예레미야 18:7-8, 에스겔 18:21-23, 요나 4:2
4:2	요나 1:3, 출애굽기 34:6, 시편 78:38, 시편 86:5, 시편 145:8
4:3	민수기 11:11, 민수기 11:15, 열왕기상 19:2, 열왕기상 19:4, 욥기 6:8-9
4:5	요나 3:4
4:8	요나 4:3
4:9	요나 4:4
4:11	요나 3:3, 시편 36:6, 시편 145:9
