1:1	열왕기하 15:32-34, 역대기하 27:1-2, 열왕기하 16:1-2, 열왕기하 18:1-3, 역대기하 29:1-2, 예레미야 26:18, 이사야 1:1, 호세아 1:1
1:2	시편 50:7
1:4	사사기 5:5, 시편 97:5
1:5	열왕기하 17:7-8, 호세아 7:1, 열왕기하 16:2, 열왕기하 16:4
1:7	레위기 26:30, 호세아 8:6, 호세아 2:5, 호세아 9:1
1:8	예레미야 4:19, 이사야 20:2
1:9	이사야 1:5-6, 예레미야 15:18, 열왕기하 18:13, 이사야 8:7-8, 역대기하 32:2, 미가 1:12
1:13	여호수아 15:20, 여호수아 15:39, 열왕기하 18:14, 열왕기상 14:16, 열왕기하 16:2-3, 예레미야 3:8
1:14	여호수아 15:20, 여호수아 15:44
1:15	역대기하 11:5, 역대기하 11:8, 이사야 7:17, 느헤미야 11:25, 느헤미야 11:30
1:16	신명기 28:41, 열왕기하 17:6, 이사야 39:7
2:1	열왕기상 21:7
2:2	출애굽기 20:17, 열왕기상 21:2, 이사야 5:8, 예레미야 22:17, 에스겔 22:12, 에스겔 22:29
2:3	예레미야 18:11, 아모스 2:14, 이사야 2:11, 아모스 5:13
2:4	예레미야 9:10, 예레미야 애가 1:1, 이사야 6:11, 예레미야 25:9, 스바냐 1:2, 열왕기하 17:23
2:10	시편 106:38-39, 예레미야 9:19, 예레미야 10:18
2:11	열왕기상 22:6, 열왕기상 22:8, 이사야 9:15-16, 예레미야 6:13-14, 에스겔 13:2-3
2:12	이사야 11:11, 예레미야 23:3, 예레미야 31:7-8, 미가 4:6, 에스겔 34:11, 에스겔 36:38, 스가랴 8:22
2:13	이사야 62:10, 이사야 49:10, 이사야 52:12
3:1	미가 3:9
3:2	열왕기상 22:8, 아모스 5:10, 역대기하 19:2, 에스겔 22:27, 아모스 8:4, 스바냐 3:3
3:3	에스겔 34:2-3, 이사야 3:15
3:4	예레미야 애가 3:44, 신명기 31:17-18, 이사야 1:15, 이사야 3:11
3:5	이사야 9:15-16, 이사야 56:10, 에스겔 13:19, 에스겔 34:2, 예레미야 23:16-17, 에스겔 13:10
3:6	예레미야 13:16, 시편 74:9, 에스겔 13:23, 이사야 59:9-10, 아모스 8:9
3:7	이사야 29:10
3:9	미가 3:1, 신명기 27:19, 예레미야 5:28
3:10	예레미야 22:13
3:11	이사야 1:23, 이사야 5:20, 이사야 5:23, 에스겔 22:12, 예레미야 6:13, 이사야 56:10-11, 이사야 48:1-2, 예레미야 7:4, 아모스 9:10
3:12	시편 79:1, 예레미야 26:18
4:1	이사야 11:9, 스가랴 8:3, 시편 86:9, 이사야 2:2-4, 이사야 60:3, 요한 계시록 15:4
4:2	예레미야 31:6, 스가랴 8:20-21
4:3	사무엘상 2:10, 시편 96:13, 이사야 51:4-5, 호세아 2:18, 스가랴 9:10, 시편 72:7, 이사야 9:7, 이사야 60:18
4:4	스가랴 3:10, 이사야 54:14, 에스겔 34:25, 에스겔 39:25-26
4:5	스가랴 10:12
4:6	시편 147:2, 이사야 56:8, 에스겔 34:12, 에스겔 34:16, 에스겔 37:21, 스바냐 3:19
4:7	이사야 10:21, 미가 2:12, 미가 7:18, 이사야 60:22
4:8	사무엘하 5:7, 스가랴 9:9, 오바댜 1:21
4:9	예레미야 30:6
4:10	열왕기하 20:18, 역대기하 36:17, 역대기하 36:20, 이사야 45:13, 스가랴 2:7, 시편 107:2-3, 이사야 48:20, 예레미야 15:21
4:13	이사야 41:15, 스가랴 9:13, 여호수아 6:18-19, 이사야 23:17-18
5:1	신명기 28:52, 마태복음 26:67, 요한복음 18:22, 요한복음 19:3
5:2	창세기 35:19, 누가복음 2:4, 창세기 49:10, 역대기상 5:2, 이사야 9:6, 마태복음 2:4-6, 누가복음 1:32-33, 누가복음 2:11, 요한복음 7:42
5:4	에스겔 34:23, 에스겔 37:24, 스가랴 9:9-10, 예레미야 23:5-6
5:5	이사야 9:6, 이사야 8:7
5:6	이사야 33:1, 창세기 10:9-11, 이사야 14:25
5:12	이사야 2:6, 이사야 8:19
5:13	이사야 2:8, 에스겔 36:25, 호세아 14:3, 스가랴 13:2
5:14	이사야 27:9
6:1	이사야 5:3
6:2	시편 50:1, 시편 50:4, 이사야 1:2, 이사야 43:26, 예레미야 2:35, 호세아 4:1
6:3	예레미야 2:5
6:4	출애굽기 12:51, 신명기 4:20, 신명기 7:8, 출애굽기 15:20
6:5	민수기 22:5-6, 민수기 23:7-8, 민수기 24:10, 요한 계시록 2:14, 민수기 25:1, 민수기 33:48-49, 여호수아 4:19
6:6	사무엘상 15:22, 시편 51:16-17, 이사야 1:11
6:7	시편 50:8-15, 열왕기하 3:26-27, 에스겔 16:20
6:8	잠언 21:3, 이사야 1:17, 예레미야 22:3, 에스겔 45:9, 호세아 12:6, 잠언 3:3, 호세아 6:6, 스가랴 7:9, 잠언 8:13, 신명기 10:12-13
6:9	이사야 9:13
6:11	신명기 25:13, 잠언 11:1, 호세아 12:7
6:12	이사야 59:3, 미가 7:2, 예레미야 9:3
6:13	이사야 1:5
6:14	레위기 26:26, 에스겔 4:16, 호세아 4:10
6:15	신명기 28:38, 예레미야 12:13, 요엘 1:10, 아모스 5:11
6:16	열왕기상 16:25, 열왕기상 16:30, 열왕기하 16:2-3, 열왕기하 21:1, 열왕기하 21:3, 예레미야 19:8, 시편 44:13, 예레미야 51:51, 예레미야 애가 5:1, 다니엘 9:16
7:2	이사야 57:1, 이사야 59:7
7:3	예레미야 3:5, 예레미야 4:22, 에스겔 22:6, 이사야 1:23, 미가 3:11, 열왕기상 21:5-6
7:4	이사야 10:3, 에스겔 12:23, 호세아 9:7, 이사야 22:5
7:5	예레미야 9:4
7:6	에스겔 22:7, 누가복음 12:53, 예레미야 12:6, 마태복음 10:35-36
7:7	시편 123:2, 이사야 8:17, 시편 25:5, 시편 62:1, 예레미야 애가 3:26, 시편 40:1, 이사야 12:2, 이사야 25:9
7:9	예레미야 애가 1:18
7:10	시편 79:10, 시편 115:2, 요엘 2:17
7:12	이사야 11:16, 이사야 27:13, 호세아 11:11
7:14	이사야 40:11, 예레미야 50:19, 에스겔 34:23
7:15	시편 78:12, 이사야 63:11, 예레미야 23:7-8
7:16	시편 126:2, 이사야 26:11, 이사야 66:18
7:17	이사야 49:23, 예레미야 33:9
7:18	예레미야 23:3, 요엘 2:32, 출애굽기 34:6-7, 이사야 1:18, 이사야 44:22, 예레미야 50:20, 다니엘 9:9, 시편 103:9, 이사야 57:16, 예레미야 애가 3:22
7:19	신명기 30:3, 시편 103:8, 시편 103:13, 호세아 2:19, 시편 103:12, 이사야 55:7, 예레미야 31:34
7:20	창세기 22:17, 시편 105:8-11, 누가복음 1:72-73, 사도행전 3:25-26
