1:1	이사야 10:12, 나훔 3:7, 스바냐 2:13
1:2	출애굽기 20:5, 신명기 32:35, 신명기 32:41, 이사야 59:18
1:3	민수기 14:18, 욥기 9:4, 출애굽기 34:6-7, 욥기 38:1
1:4	욥기 38:11, 시편 104:6-7, 시편 107:29, 여호수아 3:16, 이사야 33:9, 아모스 1:2
1:5	사무엘하 22:8, 시편 68:7-8, 시편 97:4-5, 이사야 24:1
1:6	예레미야 10:10, 신명기 32:22
1:7	시편 136:1, 마태복음 19:17, 시편 46:1, 시편 91:2, 잠언 18:10, 이사야 25:4, 시편 1:6
1:9	이사야 10:24-25
1:13	이사야 14:25
1:15	이사야 52:7, 로마서 10:15, 신명기 16:16
2:1	예레미야 25:9
2:2	열왕기하 17:6
2:8	창세기 10:8, 창세기 10:11, 스바냐 2:13
2:10	스바냐 2:15
2:11	예레미야 2:14-15, 예레미야 50:17
2:13	이사야 10:12, 시편 46:9, 이사야 37:24, 열왕기하 18:17
3:5	나훔 2:13
3:6	스바냐 2:15
3:7	나훔 2:8
3:8	이사야 19:6, 예레미야 46:25, 에스겔 30:14
3:9	창세기 10:6, 역대기하 16:8, 예레미야 46:8-9
3:10	이사야 20:4
3:11	시편 75:8, 예레미야 25:15
3:14	역대기하 32:3-4
3:15	스바냐 2:13, 출애굽기 10:14-15
3:18	나훔 2:8
3:19	스바냐 2:15, 이사야 10:5-6, 이사야 37:18
