1:2	시편 13:1, 시편 22:1, 시편 74:10, 요한 계시록 6:10
1:4	욥기 12:6, 시편 12:8, 전도서 8:11, 이사야 1:21, 사도행전 7:52-53
1:5	이사야 28:21, 이사야 29:14, 예레미야 애가 4:11-12, 사도행전 13:40-41
1:6	예레미야 22:7, 예레미야 46:2, 신명기 28:49-51, 예레미야 5:15-17, 예레미야 6:22-23, 에스겔 23:22-23
1:7	예레미야 39:5-7, 다니엘 5:18-19
1:8	예레미야 5:6, 예레미야 4:13, 예레미야 애가 4:19, 에스겔 17:3
1:9	예레미야 25:9, 이사야 27:8, 에스겔 17:10
1:10	열왕기하 24:12, 예레미야 32:24, 예레미야 52:7
1:11	이사야 47:5-6, 예레미야 51:24, 스가랴 1:15, 다니엘 5:1, 다니엘 5:4
1:12	시편 90:2, 시편 93:2, 요한 계시록 1:8, 디모데 전서 1:17, 요한 계시록 15:3, 신명기 32:4, 예레미야 30:11
1:13	시편 5:4-5, 예레미야 12:1, 시편 35:21-22
1:15	예레미야 50:11
1:17	역대기하 36:17, 나훔 3:7
2:1	이사야 21:8, 미가 7:7
2:2	출애굽기 17:14, 신명기 31:9, 신명기 31:11
2:3	미가 7:7
2:4	요한복음 3:36, 로마서 1:17, 갈라디아서 3:11, 히브리서 10:38
2:5	이사야 14:16-17
2:6	이사야 14:4
2:7	예레미야 51:11
2:8	이사야 13:19, 예레미야 27:6-7, 스가랴 2:7-9, 역대기하 36:17, 시편 137:8
2:10	이사야 14:20
2:13	예레미야 51:58
2:14	시편 72:19, 이사야 11:9, 스가랴 14:9
2:16	시편 75:8, 이사야 51:22-23, 예레미야 25:28, 예레미야 51:57
2:17	시편 137:8, 예레미야 50:28, 예레미야 51:24
2:18	이사야 42:17, 이사야 44:19-20, 이사야 45:20
2:19	이사야 40:19, 이사야 46:6, 예레미야 51:17
2:20	이사야 6:1, 시편 76:8, 시편 115:3, 스가랴 2:13
3:2	예레미야 애가 3:32
3:3	신명기 33:2, 사사기 5:4, 시편 68:7-8, 출애굽기 19:16
3:4	출애굽기 13:21
3:5	민수기 14:11-12, 민수기 16:46, 민수기 25:1, 민수기 25:9
3:6	이사야 13:13, 학개 2:21, 출애굽기 14:25, 출애굽기 23:27, 시편 114:1, 시편 114:4, 나훔 1:5
3:7	출애굽기 15:14-15, 민수기 22:3-4
3:8	시편 114:1, 시편 114:3, 이사야 50:2, 나훔 1:4, 신명기 33:26, 시편 68:17
3:10	출애굽기 19:18, 시편 114:1, 시편 114:4, 시편 77:16
3:11	여호수아 10:12, 시편 77:17-18
3:16	시편 119:120, 예레미야 23:9, 다니엘 8:27, 시편 42:5, 이사야 26:20, 예레미야 애가 3:26
3:18	출애굽기 15:2, 사무엘상 2:1, 시편 18:2, 시편 27:1, 이사야 61:10
3:19	이사야 12:2, 빌립보서 4:13, 사무엘하 22:34
