1:1	에스라 4:24, 학개 1:1, 학개 2:10, 에스라 5:1
1:2	열왕기하 22:16-17, 예레미야 44:5-6
1:3	에스겔 33:11, 미가 7:18-19, 말라기 3:7
1:4	에스라 9:6-7, 이사야 1:16, 이사야 55:7, 호세아 14:1, 역대기하 36:15-16, 예레미야 11:7-8
1:6	역대기하 36:17, 다니엘 9:11-12, 신명기 28:20, 신명기 28:45, 예레미야 23:20
1:7	에스라 4:24
1:11	스가랴 1:15
1:12	시편 74:10, 시편 102:13, 역대기하 36:20-21, 예레미야 25:11-12, 다니엘 9:2, 스가랴 7:5
1:14	요엘 2:18, 스가랴 8:2
1:15	예레미야 48:11, 스가랴 1:11, 이사야 54:8, 시편 137:7, 이사야 47:6, 예레미야 51:35
1:16	이사야 12:1, 예레미야 33:14, 스가랴 8:3, 에스라 6:14-15, 이사야 44:28, 학개 1:14, 예레미야 31:38-39, 에스겔 40:2-3, 스가랴 2:1-2
1:17	이사야 51:3, 시편 132:13, 스가랴 2:12, 스가랴 3:2
1:18	스가랴 1:21
1:19	열왕기하 24:12, 열왕기하 24:14, 열왕기하 15:29, 열왕기하 17:6, 열왕기하 18:11, 예레미야 50:17, 열왕기하 25:11, 역대기하 36:17, 역대기하 36:19
2:1	스가랴 1:16
2:2	예레미야 31:38-39
2:4	이사야 44:26, 예레미야 30:18, 에스겔 36:10, 이사야 33:20, 예레미야 31:24, 예레미야 33:10-11, 스가랴 8:4-5
2:5	시편 125:2, 이사야 26:1, 이사야 12:6, 이사야 60:19-20, 학개 2:9
2:6	이사야 11:12, 이사야 11:16, 신명기 28:64, 에스겔 5:12
2:7	이사야 48:20, 이사야 52:2, 예레미야 50:8, 미가 4:10
2:8	열왕기하 24:2, 미가 4:11, 신명기 32:9-10, 시편 105:14-15, 데살로니가 후서 1:6
2:9	이사야 14:2
2:10	이사야 35:10, 이사야 40:9-10, 레위기 26:11-12, 이사야 12:6
2:11	시편 22:27, 이사야 2:2-3, 스가랴 8:22-23
2:12	역대기하 6:6, 스가랴 1:17
3:1	에스라 5:2, 학개 1:14, 스가랴 6:11, 욥기 1:6
3:2	유다서 1:9, 역대기하 6:6, 스가랴 2:12
3:4	출애굽기 28:2
3:5	출애굽기 29:6
3:7	말라기 2:7
3:8	이사야 42:1, 이사야 52:13, 이사야 11:1, 이사야 53:2, 이사야 53:11, 예레미야 23:5, 예레미야 33:15, 스가랴 6:12
3:9	예레미야 50:20
3:10	열왕기상 4:25, 호세아 2:18, 미가 4:4
4:2	출애굽기 25:31, 열왕기상 7:48-49, 출애굽기 25:37
4:3	스가랴 4:11, 스가랴 4:14, 요한 계시록 11:3-4
4:6	사무엘상 17:45, 호세아 1:7, 사사기 6:34, 사사기 15:14
4:7	에스라 3:2, 학개 1:1, 이사야 40:4
4:9	에스라 3:8, 에스라 3:10, 에스라 5:14, 에스라 5:16, 에스라 6:14, 스가랴 6:12
4:10	에스라 3:12, 학개 2:3, 역대기하 16:9, 잠언 15:3, 예레미야 16:17, 요한 계시록 5:6
4:11	스가랴 4:2-3
4:14	학개 2:4, 요한 계시록 11:3-4
5:3	출애굽기 20:15, 출애굽기 20:7, 레위기 19:12
5:11	창세기 10:8, 창세기 10:10, 창세기 11:1-2, 다니엘 1:2
6:2	스가랴 6:6
6:3	스가랴 6:7
6:5	역대기하 18:18, 욥기 1:6, 시편 104:4, 다니엘 7:10, 누가복음 1:19, 히브리서 1:7, 히브리서 1:14
6:6	스가랴 2:6-7
6:11	학개 1:1, 스가랴 3:3, 스가랴 3:5
6:12	이사야 11:1, 스가랴 3:8, 스가랴 8:9
6:13	히브리서 3:1, 히브리서 4:14, 히브리서 8:1
6:14	스가랴 6:10
7:1	에스라 6:14, 스가랴 1:1
7:3	열왕기하 25:8-10, 예레미야 52:12-14
7:5	예레미야 25:11, 스가랴 1:12, 예레미야 41:1-2
7:7	역대기하 36:15
7:9	잠언 21:3, 예레미야 21:12, 잠언 16:6, 호세아 10:12, 미가 6:8
7:10	출애굽기 22:22, 신명기 24:17, 이사야 1:17, 출애굽기 23:9, 말라기 3:5, 잠언 22:22, 스가랴 8:17
7:11	역대기하 33:10, 예레미야 6:10, 느헤미야 9:29, 열왕기하 17:13-14, 이사야 6:10, 예레미야 25:7
7:12	에스겔 3:7, 느헤미야 9:30, 사도행전 7:51, 역대기하 36:15-16, 예레미야 21:5
7:13	이사야 50:2, 이사야 1:15, 예레미야 애가 3:44
7:14	신명기 28:64, 예레미야 5:15, 레위기 26:22, 레위기 26:33, 역대기하 36:20-21
8:2	요엘 2:18, 스가랴 1:14
8:3	스가랴 1:16, 이사야 12:6, 요엘 3:17, 스가랴 2:11, 스가랴 8:8, 이사야 1:26, 이사야 60:14, 예레미야 33:16, 이사야 2:2, 이사야 11:9, 이사야 66:20, 예레미야 31:23
8:4	이사야 65:20, 예레미야 30:10
8:5	예레미야 30:19, 예레미야 31:4, 예레미야 31:27, 스가랴 2:4
8:7	시편 107:2-3
8:8	예레미야 3:17, 요엘 3:20, 아모스 9:14, 레위기 26:12, 예레미야 30:22, 에스겔 11:20
8:9	에스라 5:1, 이사야 35:4, 학개 2:4
8:10	학개 1:6
8:11	학개 2:19
8:12	레위기 26:4, 신명기 28:4, 이사야 30:23, 이사야 35:10, 이사야 61:7
8:13	신명기 28:37, 예레미야 42:18, 창세기 22:18, 이사야 19:24-25, 이사야 41:10, 이사야 35:4
8:14	예레미야 4:28, 에스겔 24:14
8:15	예레미야 31:28, 예레미야 32:42, 이사야 43:1, 스바냐 3:16
8:16	레위기 19:11, 잠언 12:19, 에베소서 4:25, 스가랴 7:9
8:17	스가랴 7:10, 스가랴 5:4, 잠언 6:16-19
8:19	예레미야 52:6-7, 예레미야 52:12-14, 열왕기하 25:25, 스가랴 7:5, 예레미야 52:4, 이사야 35:10, 예레미야 31:12
8:21	예레미야 50:4-5
8:22	시편 22:27, 이사야 2:2-3, 이사야 11:10, 이사야 55:5, 이사야 60:3, 호세아 1:10, 미가 4:2, 학개 2:7
8:23	스가랴 2:11, 요한 계시록 7:9, 요한 계시록 14:6, 출애굽기 12:37-38, 이사야 45:14
9:1	예레미야 49:27, 아모스 1:3, 히브리서 4:13, 베드로 전서 3:12
9:2	예레미야 49:23, 이사야 23:1, 아모스 1:9-10, 에스겔 28:21, 요엘 3:4, 에스겔 28:2-3
9:3	에스겔 27:32-33
9:4	에스겔 26:17, 에스겔 27:26, 에스겔 28:18
9:5	스바냐 2:4
9:6	아모스 1:8
9:7	이사야 60:14, 사무엘하 5:6-7, 열왕기상 9:20-21
9:8	시편 125:2, 이사야 54:14
9:9	시편 2:6, 이사야 32:1, 예레미야 23:5, 누가복음 19:37-38, 요한복음 1:49, 마태복음 11:29, 열왕기상 1:33-34, 마태복음 21:5, 마태복음 21:7, 요한복음 12:14-15
9:10	이사야 9:7, 출애굽기 23:31, 시편 2:8, 시편 72:8
9:11	이사야 49:9
9:12	이사야 61:1, 예레미야 31:17, 이사야 61:7
9:14	여호수아 6:5
9:15	미가 5:9, 스가랴 10:5, 스가랴 12:6, 출애굽기 27:2, 레위기 4:7
9:16	에스겔 34:22, 이사야 62:3, 스바냐 3:20
9:17	시편 25:8, 시편 31:19, 이사야 63:7, 이사야 62:8, 요엘 3:18, 아모스 9:13
10:1	신명기 11:14, 예레미야 14:22, 예레미야 51:16, 에스겔 34:26, 요엘 2:23
10:3	에스겔 34:16-17
10:5	신명기 20:1, 학개 2:22
10:6	예레미야 3:18, 에스겔 37:16, 에스겔 37:19, 호세아 1:10-11, 예레미야 31:9, 예레미야 31:20, 예레미야 30:18
10:7	스가랴 9:15, 이사야 66:14, 스바냐 3:14
10:8	이사야 44:22, 이사야 51:11
10:10	이사야 11:11, 예레미야 50:19, 미가 7:14, 이사야 49:19-20, 이사야 54:1-2
10:11	이사야 11:15, 이사야 19:1, 에스겔 30:13
10:12	이사야 41:10, 이사야 45:24, 미가 4:5
11:4	에스겔 34:8
11:5	에스겔 22:25, 느헤미야 5:8, 에스겔 34:2, 에스겔 34:4
11:7	스가랴 11:4, 스가랴 11:10, 스가랴 11:14
11:10	스가랴 11:7
11:12	마태복음 26:14-15, 마태복음 27:9, 마가복음 14:10-11
11:13	출애굽기 21:32, 마태복음 27:5-6, 사도행전 1:18
11:14	스가랴 11:7, 열왕기상 12:19-20, 에스겔 37:16
11:15	에스겔 34:2, 에스겔 34:4
11:16	예레미야 23:2, 에스겔 34:6, 마태복음 9:36, 에스겔 34:21, 창세기 31:38, 에스겔 34:3, 에스겔 34:10
11:17	요한복음 10:12, 예레미야 23:1, 마태복음 23:13
12:1	욥기 26:7, 이사야 42:5, 시편 102:25, 이사야 45:18
12:2	스가랴 14:14
12:3	스바냐 3:19, 스가랴 14:2-3
12:5	이사야 41:10, 요엘 3:16, 스가랴 12:8
12:6	이사야 41:15, 미가 4:13, 스가랴 9:15, 스가랴 2:4
12:8	예레미야 23:6, 요엘 3:16, 스가랴 2:5, 스가랴 9:15, 출애굽기 14:19, 출애굽기 23:20
12:9	이사야 54:17, 학개 2:22
12:10	요한복음 19:34, 요한복음 19:37, 요한복음 20:27, 요한 계시록 1:7
12:11	열왕기하 23:29, 역대기하 35:22
12:12	사무엘하 5:13-14, 누가복음 3:23, 누가복음 3:31
12:13	출애굽기 6:16, 출애굽기 6:17, 역대기상 23:10
13:1	에스겔 36:25, 에스겔 36:29
13:2	출애굽기 23:13, 신명기 13:5
13:3	신명기 13:6-9, 신명기 18:20
13:4	열왕기하 1:8, 마태복음 3:4
13:7	에스겔 34:23, 미가 5:4, 요한복음 10:11, 히브리서 13:20, 이사야 53:8, 다니엘 9:26, 사도행전 3:18, 마태복음 26:31, 마태복음 26:55-56, 마가복음 14:27, 마가복음 14:50, 요한복음 16:32
13:9	말라기 3:2-3, 예레미야 30:22
14:3	출애굽기 15:3, 역대기하 20:15, 에스겔 38:23, 요엘 3:2, 요엘 3:14, 요한 계시록 16:14
14:4	누가복음 19:29, 사도행전 1:12
14:5	아모스 1:1, 신명기 33:2, 요엘 3:11, 유다서 1:14
14:6	이사야 13:9-10, 아모스 5:18
14:7	요엘 2:31, 데살로니가 전서 5:2, 베드로 후서 3:10
14:8	요한 계시록 21:6, 요한 계시록 22:17, 예레미야 17:13, 에스겔 47:1, 요엘 3:18, 요한 계시록 22:1, 신명기 3:17, 여호수아 1:4
14:9	시편 97:1, 요한 계시록 19:6, 신명기 6:4, 이사야 42:8, 이사야 44:6
14:10	열왕기상 15:22, 역대기상 4:24, 역대기상 4:32, 신명기 1:7, 예레미야 30:18, 예레미야 37:13, 느헤미야 3:1, 예레미야 31:38
14:11	이사야 60:18, 예레미야 31:40, 예레미야 23:6, 예레미야 33:16
14:12	열왕기하 19:34-35, 요엘 3:2
14:13	사사기 7:22, 에스겔 38:21
14:14	역대기하 14:13, 역대기하 20:25, 스가랴 2:8-9
14:16	이사야 66:23, 시편 86:9, 레위기 23:34, 느헤미야 8:14-15
14:17	이사야 60:12
14:20	출애굽기 28:36, 출애굽기 39:30, 사무엘상 2:13-14, 출애굽기 25:29, 민수기 4:7
14:21	에스겔 44:9
