1:2	신명기 10:15, 창세기 25:25-26
1:3	로마서 9:13, 예레미야 49:20, 요엘 3:19, 이사야 34:10, 이사야 34:13
1:4	이사야 34:5, 오바댜 1:18
1:6	출애굽기 20:12, 출애굽기 4:22, 이사야 1:2, 에스겔 22:26
1:7	에스겔 41:21-22, 고린도 전서 10:21
1:8	레위기 22:20, 레위기 22:22, 신명기 15:21
1:10	역대기하 23:4, 예레미야 6:13, 미가 3:11, 이사야 1:11, 예레미야 6:20
1:11	시편 113:3, 이사야 45:6, 이사야 59:19, 시편 22:27, 스바냐 3:9, 마태복음 28:19, 요한 계시록 15:4
1:12	에스겔 22:26, 말라기 1:7
1:13	레위기 22:20, 레위기 22:22, 신명기 15:21, 신명기 17:1
1:14	시편 47:2, 예레미야 10:10, 요한 계시록 15:4
2:1	말라기 1:6
2:2	레위기 26:14-17, 신명기 28:15, 학개 1:11
2:3	요엘 1:17
2:4	출애굽기 40:12, 출애굽기 40:15, 민수기 3:6, 민수기 18:23, 에스겔 44:15-16
2:6	역대기하 17:8-9, 출애굽기 32:26
2:7	신명기 24:8, 역대기하 15:3, 느헤미야 8:7-8, 에스겔 44:23-24
2:8	누가복음 11:52, 느헤미야 13:29
2:9	레위기 19:15, 신명기 1:17, 신명기 16:19
2:10	말라기 1:6, 고린도 전서 8:6, 느헤미야 5:8
2:11	레위기 20:26, 신명기 7:1, 신명기 7:3, 사사기 3:5-6, 열왕기상 11:1-2, 느헤미야 13:23
2:12	사무엘상 15:22
2:13	잠언 21:27
2:14	잠언 5:18-20, 마태복음 19:4-6
2:16	창세기 2:24, 마태복음 5:32, 마태복음 19:8-9, 마가복음 10:5-9, 말라기 2:10
2:17	이사야 1:14-15, 에스겔 18:29
3:1	마태복음 3:1-3, 마태복음 11:7, 마태복음 11:10, 마가복음 1:2-4, 누가복음 1:76, 요한복음 1:6, 요한복음 1:23, 요한복음 3:28, 시편 11:4
3:2	이사야 1:25, 예레미야 2:22
3:3	시편 66:10, 잠언 25:4, 스가랴 13:9
3:4	역대기하 7:1
3:5	신명기 18:10, 신명기 18:12, 출애굽기 20:7, 신명기 24:17, 이사야 1:17, 야고보서 1:27, 잠언 14:31, 야고보서 5:4, 출애굽기 23:9, 스가랴 7:10
3:6	이사야 43:10, 이사야 46:4, 야고보서 1:17
3:7	신명기 9:7, 사도행전 7:51, 예레미야 3:12, 스가랴 1:3, 야고보서 4:8
3:10	레위기 27:30, 신명기 14:28, 역대기하 31:11, 느헤미야 12:44, 느헤미야 13:10, 신명기 28:12, 레위기 26:10, 역대기하 31:10, 잠언 3:9-10
3:11	신명기 11:14, 스가랴 8:12
3:12	이사야 61:9
3:13	말라기 1:6
3:14	욥기 21:14-15, 시편 73:13-14, 이사야 58:3, 스바냐 1:12
3:15	예레미야 12:1
3:16	이사야 26:8, 시편 56:8, 시편 69:28
3:17	이사야 62:3, 베드로 전서 2:9, 예레미야 31:33, 시편 103:13
3:18	시편 58:10-11
4:1	스바냐 2:2, 베드로 후서 3:7
4:4	신명기 4:5
4:5	요엘 2:31, 사도행전 2:20, 베드로 후서 3:10, 마태복음 11:13-14, 마가복음 9:11-12
4:6	누가복음 1:17
