1:1	누가복음 1:3, 누가복음 3:23
1:2	누가복음 6:13, 요한복음 15:16, 누가복음 24:51, 에베소서 4:10, 디모데 전서 3:16
1:3	마태복음 28:9, 요한복음 20:19, 고린도 전서 15:4-7, 누가복음 24:27
1:4	누가복음 24:49, 요한복음 14:16-17, 사도행전 2:33
1:5	요엘 2:28, 마태복음 3:11, 마가복음 1:8
1:6	누가복음 19:11, 누가복음 24:21
1:7	다니엘 2:20-21, 마태복음 24:36
1:8	사도행전 4:33, 사도행전 5:27-28, 사도행전 8:14, 마태복음 28:19-20, 골로새서 1:23, 이사야 43:10, 누가복음 24:48, 요한복음 15:26-27
1:9	누가복음 24:51, 요한복음 6:62, 요한복음 20:17
1:10	마태복음 28:2-3
1:12	누가복음 24:52
1:13	마태복음 10:2-4, 마가복음 3:16-19
1:14	누가복음 23:49, 마태복음 12:46, 마태복음 13:55, 요한복음 2:12, 요한복음 7:5, 고린도 전서 9:5, 갈라디아서 1:19
1:16	누가복음 22:47, 요한복음 18:3, 시편 41:9, 시편 55:12, 요한복음 13:18
1:17	마태복음 10:2, 마태복음 10:4, 누가복음 6:12-16, 요한복음 6:70-71
1:18	스가랴 11:12, 마태복음 26:14-15, 마태복음 27:5-8
1:20	시편 69:25, 시편 109:8
1:22	마태복음 3:13, 누가복음 24:51, 사도행전 1:9, 마태복음 28:5-6, 마가복음 16:6
1:24	사무엘상 16:7, 역대기상 28:9, 예레미야 11:20
1:25	요한복음 6:70, 요한복음 13:2
1:26	잠언 16:33
2:1	레위기 23:16, 신명기 16:9-11
2:2	사도행전 4:31
2:4	마가복음 1:8, 요한복음 14:16, 요한복음 14:26, 요한복음 15:26, 히브리서 2:3-4, 사도행전 10:45-46, 고린도 전서 12:8, 고린도 전서 12:10
2:5	출애굽기 23:17
2:7	마가복음 14:70, 사도행전 1:11
2:9	열왕기하 17:6, 다니엘 8:1-2, 베드로 전서 1:1
2:10	출애굽기 12:48
2:14	누가복음 24:9, 사도행전 1:13
2:17	요엘 2:28
2:18	고린도 전서 12:8, 고린도 전서 12:10
2:21	요엘 2:28-32, 로마서 10:13
2:22	누가복음 24:18-19, 요한복음 5:36, 요한복음 14:10, 히브리서 2:4
2:23	요한복음 19:10-11, 사도행전 4:27-28, 베드로 전서 1:20, 누가복음 23:33, 사도행전 5:30, 사도행전 7:52
2:24	사도행전 3:15, 로마서 4:24, 고린도 전서 6:14, 골로새서 2:12, 히브리서 13:20, 요한복음 10:17-18
2:27	사도행전 13:35
2:28	시편 16:8-11
2:29	열왕기상 2:10
2:30	사무엘하 7:12-13, 시편 89:3-4, 시편 132:11
2:31	시편 16:10
2:32	누가복음 24:46-48, 사도행전 1:8, 사도행전 3:15
2:33	로마서 8:34, 빌립보서 2:9-11, 베드로 전서 3:22, 요한복음 14:26
2:35	시편 110:1, 누가복음 20:42-43, 고린도 전서 15:25, 히브리서 10:12-13
2:36	요한복음 19:6, 마태복음 28:18, 요한복음 3:35, 사도행전 5:31
2:38	누가복음 24:46-47, 사도행전 17:30, 사도행전 26:20, 마태복음 26:27-28, 에베소서 1:7, 마태복음 28:19
2:39	요엘 2:28, 요엘 2:32
2:40	신명기 32:5, 시편 78:8
2:41	사도행전 8:12, 사도행전 18:8, 사도행전 4:4, 사도행전 5:14
2:42	사도행전 2:46, 사도행전 1:14
2:43	사도행전 5:12
2:45	마태복음 19:21, 사도행전 4:32, 사도행전 4:34
2:47	사도행전 5:14, 사도행전 11:21, 고린도 전서 3:7
3:6	사도행전 3:16, 사도행전 4:10
3:7	마태복음 8:14-15, 마태복음 9:24-25, 요한복음 5:8-9, 사도행전 9:34, 사도행전 14:8-10
3:8	이사야 35:6
3:10	사도행전 3:2
3:11	요한복음 10:23, 사도행전 5:12
3:13	출애굽기 3:6, 이사야 52:13, 이사야 53:11, 빌립보서 2:9-11, 사도행전 5:30
3:14	마태복음 27:20-21, 누가복음 23:14, 누가복음 23:18
3:15	사도행전 5:31, 히브리서 2:10, 누가복음 24:46-48, 사도행전 1:8, 사도행전 2:32
3:17	요한복음 16:2-3, 디모데 전서 1:13, 고린도 전서 2:8
3:18	시편 118:22, 이사야 50:6, 이사야 53:8, 다니엘 9:26, 누가복음 22:15
3:19	사도행전 2:38, 에스겔 33:11, 에베소서 4:22, 에스겔 33:14, 에스겔 33:16, 요한 1서 1:7, 이사야 1:18
3:22	신명기 34:10, 요한복음 4:19, 요한복음 4:25, 요한복음 4:29, 요한복음 6:14, 사도행전 7:37, 신명기 18:15, 신명기 18:18
3:23	신명기 18:19
3:24	누가복음 24:27, 사도행전 10:43
3:25	로마서 9:4, 창세기 22:18, 갈라디아서 3:8
3:26	사도행전 13:45-46, 로마서 1:16
4:1	누가복음 22:52, 마태복음 16:6, 사도행전 23:8
4:2	마태복음 22:23-28, 사도행전 2:32, 사도행전 4:33, 사도행전 17:18, 사도행전 23:6
4:3	누가복음 21:12
4:4	사도행전 2:41, 사도행전 6:7
4:6	누가복음 3:2, 요한복음 18:13, 마태복음 26:57, 누가복음 3:2, 요한복음 11:49-51
4:7	마태복음 21:23
4:8	사도행전 7:55
4:9	사도행전 3:7
4:10	사도행전 3:6, 요한복음 19:6, 사도행전 2:36, 사도행전 2:24, 사도행전 5:30
4:11	시편 118:22, 이사야 28:16, 마태복음 21:42, 베드로 전서 2:7
4:12	마태복음 1:21, 사도행전 10:43, 빌립보서 2:9-10, 요한복음 1:12, 요한복음 14:6, 디모데 전서 2:5-6
4:13	마태복음 11:25, 고린도 전서 1:26-27, 요한복음 7:14-15
4:14	사도행전 3:11, 누가복음 21:15
4:16	요한복음 11:47, 사도행전 3:9-10
4:17	사도행전 5:40
4:19	사도행전 5:29
4:21	누가복음 22:2, 사도행전 5:26
4:24	출애굽기 20:11, 느헤미야 9:6, 시편 146:6, 요한 계시록 4:11
4:25	사무엘하 23:1-2
4:26	시편 2:1-2
4:27	누가복음 23:12, 시편 45:7, 사도행전 10:38
4:28	이사야 53:10, 누가복음 24:44, 사도행전 2:23, 베드로 전서 1:20
4:30	사도행전 3:16, 사도행전 2:43, 사도행전 5:12
4:31	사도행전 2:2, 사도행전 2:4, 데살로니가 전서 2:2
4:32	사도행전 2:44-45
4:33	사도행전 1:21-22, 사도행전 4:2
4:34	사도행전 2:44-45, 요한 1서 3:17
4:35	사도행전 5:1-2, 사도행전 6:1
4:36	사도행전 9:27, 사도행전 11:22-24, 사도행전 12:25, 사도행전 13:1, 사도행전 15:37-39
4:37	누가복음 12:33
5:2	사도행전 4:34-35
5:3	사도행전 5:9, 시편 101:7, 에베소서 4:25, 골로새서 3:9
5:12	사도행전 4:29-30, 사도행전 6:8, 사도행전 14:3, 사도행전 15:12, 로마서 15:18-19, 고린도 후서 12:12, 요한복음 10:23, 사도행전 3:11
5:14	사도행전 2:41, 사도행전 6:7
5:15	마태복음 9:20-21
5:17	사도행전 4:1
5:18	누가복음 21:12
5:19	시편 34:7, 사도행전 12:7, 사도행전 16:26, 히브리서 1:7, 히브리서 1:14
5:26	누가복음 20:19, 사도행전 4:21
5:28	사도행전 4:18, 마태복음 27:25, 사도행전 3:14-15
5:29	다니엘 3:17-18, 마태복음 22:21, 사도행전 4:19-20
5:30	사도행전 2:23-24
5:31	사도행전 3:15, 마태복음 1:21, 히브리서 2:10, 사도행전 2:32-33, 빌립보서 2:9, 이사야 53:11, 사도행전 2:38, 사도행전 10:43, 사도행전 13:38-39
5:32	누가복음 24:46-48, 사도행전 1:8, 요한복음 15:26
5:33	사도행전 7:54
5:34	사도행전 22:3
5:39	잠언 21:30, 사도행전 26:14
5:40	마태복음 10:17, 마가복음 13:9
5:41	마태복음 5:10-12, 사도행전 16:25, 로마서 5:3, 고린도 후서 12:10, 빌립보서 1:29, 히브리서 10:34, 야고보서 1:2, 베드로 전서 3:14, 베드로 전서 4:13-14
5:42	사도행전 20:20, 사도행전 4:31
6:1	사도행전 4:34-35, 디모데 전서 5:3, 야고보서 1:27
6:2	출애굽기 18:17-18
6:3	사도행전 16:1-2, 디모데 전서 3:7, 사도행전 6:8, 사도행전 6:10, 신명기 1:13
6:4	사도행전 2:42
6:5	사도행전 7:55, 사도행전 8:5, 사도행전 8:26, 사도행전 21:8
6:6	신명기 34:9, 사도행전 8:14, 사도행전 8:17, 사도행전 13:2-3, 디모데 전서 4:14, 디모데 전서 5:22, 디모데 후서 1:6
6:7	사도행전 12:24, 사도행전 19:20, 사도행전 2:47, 요한복음 12:42, 사도행전 15:5
6:10	이사야 54:17, 누가복음 21:15, 사도행전 6:3
6:11	마태복음 26:59
6:13	사도행전 21:27-28
6:14	마태복음 26:61
7:2	창세기 11:31
7:3	창세기 12:1
7:4	창세기 11:32, 창세기 12:4-5, 히브리서 11:8
7:5	창세기 12:7, 창세기 13:14-15, 창세기 17:1, 창세기 17:8, 창세기 15:2
7:6	창세기 15:13, 출애굽기 12:40
7:7	창세기 15:14, 출애굽기 3:12
7:8	창세기 17:9-10, 창세기 21:1-3, 창세기 21:4
7:9	창세기 37:9-11, 창세기 37:28, 창세기 45:4, 창세기 39:2-3
7:10	창세기 39:21, 창세기 41:38-46, 창세기 45:8, 시편 105:21-22
7:11	창세기 41:54, 창세기 42:5
7:12	창세기 42:2, 창세기 42:6
7:13	창세기 45:1, 창세기 45:16
7:14	창세기 46:27, 신명기 10:22, 창세기 45:9-11
7:15	창세기 46:29, 신명기 26:5, 창세기 49:33, 출애굽기 1:6
7:16	창세기 23:16, 출애굽기 13:19, 여호수아 24:32
7:18	출애굽기 1:7-8
7:19	출애굽기 1:10, 출애굽기 1:22
7:20	출애굽기 2:2, 히브리서 11:23
7:21	출애굽기 2:3, 출애굽기 2:5, 출애굽기 2:10
7:22	출애굽기 11:3
7:23	출애굽기 2:11-12
7:24	히브리서 11:24-25
7:26	출애굽기 2:13
7:28	출애굽기 2:14
7:29	출애굽기 2:15, 출애굽기 2:21-22, 출애굽기 18:2-4
7:30	출애굽기 3:1-4
7:32	출애굽기 3:6, 마가복음 12:26, 누가복음 20:37
7:33	출애굽기 3:5
7:34	출애굽기 2:23-24, 출애굽기 3:9, 신명기 26:6-7, 출애굽기 3:7-8, 출애굽기 3:10
7:35	출애굽기 2:14, 사도행전 7:27, 출애굽기 4:19
7:36	출애굽기 7:3, 출애굽기 8:5, 출애굽기 9:10, 시편 105:27-36, 출애굽기 14:21-22, 출애굽기 15:4-5, 히브리서 11:29, 출애굽기 16:35, 민수기 14:33-34, 출애굽기 12:41
7:37	신명기 18:15, 신명기 18:18, 사도행전 3:22
7:38	사도행전 7:53, 갈라디아서 3:19, 출애굽기 19:3, 신명기 5:27, 출애굽기 21:1, 신명기 9:10, 로마서 3:1-2
7:39	민수기 14:3-4, 출애굽기 16:3
7:40	출애굽기 32:1, 출애굽기 32:23
7:41	출애굽기 32:4, 출애굽기 32:6
7:42	열왕기하 17:16
7:43	열왕기상 11:7, 예레미야 25:11, 아모스 5:25-27
7:44	출애굽기 25:40, 히브리서 8:5
7:45	창세기 17:1, 창세기 17:8, 창세기 48:3-4, 신명기 32:48-49, 여호수아 23:9, 여호수아 24:18, 신명기 3:28, 신명기 31:3, 여호수아 3:14
7:46	사무엘하 7:2, 역대기상 22:7, 시편 132:1-5
7:47	열왕기상 6:1, 열왕기상 6:38, 역대기상 17:11-12
7:48	역대기하 6:18, 사도행전 17:24
7:49	시편 11:4, 마태복음 5:34-35
7:50	이사야 66:1-2, 히브리서 3:4
7:51	출애굽기 33:3, 출애굽기 33:5, 레위기 26:41, 예레미야 6:10, 이사야 63:10
7:52	역대기하 36:16, 마태복음 23:31, 이사야 53:8, 사도행전 3:13-14
7:53	사도행전 7:38, 갈라디아서 3:19
7:54	사도행전 5:33
7:55	시편 110:1, 마태복음 26:64, 에베소서 1:20, 골로새서 3:1
7:56	다니엘 7:13, 로마서 8:34
7:58	레위기 24:14, 레위기 24:16, 마태복음 23:37, 요한복음 16:2, 신명기 17:7, 사도행전 8:1, 사도행전 22:20
7:60	마태복음 5:44, 누가복음 23:34
8:1	사도행전 7:58, 사도행전 22:20, 디모데 전서 1:13, 마태복음 10:23, 사도행전 11:19
8:3	사도행전 9:1-2, 사도행전 22:4, 사도행전 26:10, 고린도 전서 15:9, 갈라디아서 1:13, 빌립보서 3:5-6
