1:1	사도행전 15:22, 베드로 전서 5:12, 사도행전 16:1-2, 요한복음 17:21, 사도행전 17:1, 사도행전 17:4
1:2	에베소서 1:15-16, 데살로니가 후서 1:11-12
1:3	베드로 전서 1:3-4
1:5	고린도 전서 2:4
1:6	사도행전 17:1, 사도행전 17:5, 데살로니가 전서 2:14, 고린도 전서 11:1, 빌립보서 3:17, 데살로니가 후서 3:9, 베드로 전서 2:21
1:8	데살로니가 후서 1:4
1:9	고린도 전서 10:14, 고린도 전서 12:2, 갈라디아서 4:8, 요한 1서 5:21
1:10	사도행전 1:10-11, 디도서 2:13, 데살로니가 전서 5:2, 베드로 후서 3:12
2:1	사도행전 17:1, 사도행전 17:4
2:2	사도행전 16:12, 사도행전 16:22-24, 사도행전 17:1-2
2:4	잠언 17:3, 예레미야 11:20
2:5	사도행전 20:33
2:6	고린도 전서 9:14-15, 고린도 후서 11:9, 데살로니가 후서 3:8, 데살로니가 후서 3:10
2:8	요한복음 15:13, 고린도 후서 12:15, 요한복음 13:35
2:9	사도행전 18:3, 사도행전 20:34, 고린도 전서 4:11-12, 고린도 후서 11:9, 데살로니가 후서 3:8, 데살로니가 후서 3:10
2:11	고린도 전서 4:15, 사도행전 20:31
2:12	누가복음 22:28-30, 베드로 전서 5:10, 에베소서 4:1, 골로새서 1:10, 베드로 전서 1:15
2:13	데살로니가 전서 1:2-3
2:14	사도행전 17:5
2:15	사도행전 2:22-23, 사도행전 7:52, 마태복음 5:12, 마태복음 23:34
2:16	누가복음 11:52, 사도행전 13:49-50, 로마서 1:18
2:19	빌립보서 4:1, 데살로니가 전서 5:23, 데살로니가 후서 1:4
3:1	사도행전 17:15
3:2	사도행전 16:1-2, 로마서 16:21, 고린도 전서 16:10, 빌립보서 2:19-22
3:3	사도행전 14:22, 고린도 전서 4:9, 베드로 전서 2:21
3:4	데살로니가 전서 2:14
3:5	데살로니가 전서 3:2, 마태복음 4:3, 고린도 후서 11:3
3:6	사도행전 18:5
3:7	데살로니가 후서 1:4
3:10	데살로니가 후서 1:3
3:12	빌립보서 1:9, 데살로니가 전서 4:9, 데살로니가 후서 1:3
3:13	데살로니가 전서 2:19, 데살로니가 전서 5:23, 데살로니가 후서 2:1-2, 고린도 전서 1:8
4:1	골로새서 1:10, 베드로 전서 2:12
4:3	요한복음 17:19, 에베소서 5:25-27, 데살로니가 후서 2:13, 베드로 전서 1:15-16, 고린도 전서 5:9, 에베소서 5:3, 히브리서 12:16, 히브리서 13:4
4:4	로마서 6:19, 골로새서 3:5, 디모데 후서 2:22
4:5	시편 79:6, 에베소서 4:17, 에베소서 4:19, 베드로 전서 4:3, 고린도 전서 6:18, 에베소서 5:5
4:7	히브리서 12:14, 베드로 전서 1:15-16
4:8	요한 1서 3:24, 고린도 전서 6:18-19
4:9	로마서 12:10, 요한복음 13:34-35, 베드로 전서 1:22, 요한 1서 4:21
4:11	데살로니가 후서 3:11-12, 베드로 전서 4:15, 고린도 전서 4:11-12, 에베소서 4:28, 데살로니가 후서 3:10, 디모데 전서 5:8
4:12	로마서 12:17
4:13	요한복음 11:11, 사도행전 7:59-60, 고린도 전서 15:6, 고린도 전서 15:32
4:14	로마서 14:9, 고린도 전서 15:3-4, 고린도 전서 15:22-23, 빌립보서 3:20-21, 데살로니가 후서 2:1, 요한 계시록 20:4
4:16	유다서 1:9, 고린도 전서 15:51-52
4:17	사도행전 1:9, 데살로니가 후서 2:1, 요한복음 14:3, 요한복음 17:24, 고린도 후서 5:8, 빌립보서 1:23, 요한 계시록 20:6
5:2	스바냐 1:14, 마태복음 24:36, 마태복음 24:43, 베드로 후서 3:10, 요한 계시록 16:15
5:3	시편 37:10, 예레미야 8:11
5:5	요한복음 12:36, 로마서 13:12, 에베소서 5:8, 요한복음 8:12, 골로새서 1:13, 베드로 전서 2:9
5:6	로마서 13:11, 마태복음 24:42, 베드로 전서 5:8
5:7	로마서 13:13
5:8	이사야 59:17, 에베소서 6:14-17
5:9	데살로니가 후서 2:13
5:10	로마서 5:8, 고린도 전서 15:3, 데살로니가 전서 4:16-17
5:11	로마서 1:11-12, 로마서 15:2
5:13	빌립보서 2:29-30, 디모데 전서 5:17, 히브리서 13:7, 마가복음 9:50, 고린도 후서 13:11, 히브리서 12:14, 베드로 전서 3:11
5:14	레위기 19:17, 디모데 후서 4:2, 시편 34:18, 고린도 전서 13:4, 갈라디아서 5:22, 에베소서 4:1-2, 골로새서 3:13
5:15	마태복음 5:39, 로마서 12:17, 로마서 12:19
5:16	고린도 후서 6:4, 고린도 후서 6:10, 빌립보서 4:4
5:17	누가복음 18:1, 로마서 12:12
5:18	에베소서 5:20, 골로새서 3:17
5:19	사도행전 18:25, 로마서 12:11, 에베소서 4:30
5:20	고린도 전서 14:1
5:21	요한 1서 4:1
5:22	욥기 2:3
5:23	고린도 전서 1:8
5:25	사도행전 12:5, 로마서 15:30, 에베소서 6:19, 골로새서 4:3, 데살로니가 후서 3:1, 빌레몬서 1:22, 히브리서 13:18
5:27	골로새서 4:16
