1:1	고린도 후서 1:19, 데살로니가 전서 3:2, 데살로니가 전서 3:6
1:3	데살로니가 전서 3:12, 데살로니가 전서 4:9-10
1:4	데살로니가 전서 1:6, 데살로니가 전서 2:14, 베드로 전서 2:21, 데살로니가 전서 2:19
1:5	사도행전 14:22, 로마서 8:17, 디모데 후서 2:12
1:6	스가랴 2:8, 로마서 12:19, 요한 계시록 6:9-10
1:7	마가복음 8:38
1:8	누가복음 17:29-30, 베드로 전서 1:7, 베드로 전서 1:13, 베드로 전서 4:13, 시편 79:6, 요한복음 3:36, 로마서 2:8
1:9	베드로 후서 3:7
1:10	데살로니가 전서 2:13
1:11	로마서 8:30
2:1	마태복음 24:3, 마태복음 24:31, 데살로니가 전서 4:17
2:2	요한 1서 4:1, 스바냐 1:14, 베드로 후서 3:10
2:3	디모데 전서 4:1, 디모데 후서 2:16-18, 디모데 후서 4:3, 베드로 후서 2:1, 요한 1서 2:18-19, 마태복음 7:15, 사도행전 20:29-30, 베드로 후서 2:1, 베드로 후서 2:3
2:7	사도행전 20:29-30, 고린도 전서 11:18-19, 요한 1서 2:18
2:8	이사야 11:4, 요한 계시록 19:15, 디모데 전서 6:13-15, 디모데 후서 4:1, 디모데 후서 4:8
2:9	고린도 후서 4:4, 고린도 후서 11:3, 고린도 후서 11:14, 마태복음 7:22-23, 마태복음 24:24
2:10	마태복음 24:11
2:11	마태복음 24:5, 디모데 전서 4:1, 디모데 후서 4:3-4
2:13	요한복음 6:44, 로마서 8:30, 에베소서 1:4, 요한복음 17:17, 고린도 전서 6:11, 데살로니가 전서 4:7
2:14	요한복음 17:22, 로마서 8:17-18, 베드로 전서 5:10
2:15	고린도 전서 15:58, 고린도 전서 16:13, 에베소서 6:13-14, 빌립보서 4:1, 고린도 전서 11:2
2:16	요한 1서 4:10, 베드로 전서 1:3-4
2:17	고린도 전서 1:8, 베드로 전서 5:10
3:1	로마서 15:30, 데살로니가 전서 5:25, 히브리서 13:18, 사도행전 19:20, 에베소서 6:19, 골로새서 4:3, 데살로니가 전서 1:8
3:2	이사야 25:4, 사도행전 28:24, 로마서 10:16
3:3	마태복음 6:13, 요한복음 17:15, 에베소서 6:11
3:5	요한 1서 5:3, 누가복음 21:19, 로마서 5:3
3:6	데살로니가 전서 5:14, 고린도 전서 11:2, 데살로니가 후서 2:15, 데살로니가 후서 3:14
3:7	고린도 전서 4:16, 데살로니가 전서 1:6
3:8	사도행전 20:34, 사도행전 18:3, 고린도 전서 9:14-15, 고린도 후서 11:9, 데살로니가 전서 2:9
3:9	마태복음 10:9-10, 고린도 전서 9:6-7, 고린도 전서 11:1, 빌립보서 3:17
3:10	데살로니가 전서 4:11-12, 디모데 전서 5:8
3:11	데살로니가 전서 5:14, 디모데 전서 5:13, 베드로 전서 4:15
3:12	에베소서 4:28
3:13	갈라디아서 6:9
3:14	잠언 13:20, 고린도 전서 15:33, 데살로니가 후서 3:6
3:15	레위기 19:17, 데살로니가 전서 5:14
3:16	요한복음 14:27
3:17	고린도 전서 16:21, 골로새서 4:18
