1:1	베드로 전서 1:3-4
1:2	고린도 전서 4:17, 사도행전 16:1-2, 빌립보서 2:19-20
1:4	디모데 전서 4:7, 디모데 후서 4:3-4, 디도서 1:13-14, 디모데 전서 6:20, 디모데 후서 2:14
1:5	디모데 후서 2:22, 사도행전 23:1, 사도행전 24:16, 디모데 전서 3:9, 베드로 전서 3:16, 로마서 12:9, 갈라디아서 5:6, 로마서 13:8
1:6	디모데 전서 6:20, 디모데 후서 2:16-18
1:7	야고보서 3:1
1:9	갈라디아서 3:19
1:10	디모데 후서 1:13, 디모데 후서 4:3, 디도서 1:7, 디도서 1:9, 디도서 2:1
1:11	갈라디아서 2:7-8
1:12	사도행전 9:15, 고린도 후서 3:5-6
1:13	사도행전 8:3, 사도행전 9:1-2, 갈라디아서 1:13, 빌립보서 3:5-6
1:15	누가복음 5:32, 고린도 후서 5:19, 요한 1서 2:1-2, 사도행전 9:1-2, 고린도 전서 15:9
1:16	요한복음 6:40, 요한복음 20:31
1:17	시편 10:16, 시편 90:2, 다니엘 6:26, 요한 계시록 15:3, 로마서 1:23, 골로새서 1:15, 이사야 43:10, 고린도 전서 8:4
1:18	에베소서 6:12, 디모데 후서 2:3, 디모데 후서 4:7
1:19	디모데 전서 1:5
1:20	디모데 후서 2:16-18, 고린도 전서 5:5, 고린도 전서 5:11
2:2	느헤미야 1:11, 마태복음 5:44, 예레미야 29:7
2:3	유다서 1:25
2:4	이사야 45:22, 사도행전 17:30, 로마서 5:18, 디모데 전서 4:10, 베드로 후서 3:9
2:5	신명기 6:4, 로마서 3:30, 고린도 전서 11:25, 히브리서 8:6, 히브리서 9:15, 사도행전 4:12, 로마서 5:15, 디모데 후서 1:9-10
2:6	마태복음 20:28, 마가복음 10:45, 골로새서 1:13-14, 디도서 2:13-14, 베드로 전서 1:18-19
2:7	사도행전 9:15, 로마서 1:5, 갈라디아서 2:7-8, 갈라디아서 1:15-16
2:8	디도서 1:7, 야고보서 1:20, 빌립보서 2:14, 시편 141:2
2:9	베드로 전서 3:3-4
2:10	잠언 31:30
2:11	고린도 전서 11:3, 에베소서 5:24
2:12	고린도 전서 14:34
2:13	창세기 2:18, 창세기 2:22, 고린도 전서 11:8
