1:2	민수기 23:19, 히브리서 6:18, 로마서 6:23
1:3	사도행전 9:15
1:4	고린도 후서 2:13
1:5	사도행전 2:5, 사도행전 2:11
1:6	디모데 전서 3:10, 디모데 전서 3:2-7
1:7	베드로 후서 2:10, 야고보서 1:19, 출애굽기 18:21
1:8	히브리서 13:2, 야고보서 2:15-16, 베드로 전서 4:9, 로마서 12:3, 디모데 전서 3:2, 디모데 전서 2:8, 디모데 후서 2:24, 야고보서 3:13
1:9	디모데 전서 4:16, 디모데 전서 6:3-4, 야고보서 3:1, 디모데 전서 1:9-10, 디모데 후서 1:13, 디모데 전서 5:20, 디모데 후서 4:2, 디도서 1:13, 요한 계시록 3:19
1:10	사도행전 15:1
1:11	베드로 전서 5:2
1:13	디모데 전서 5:20
1:14	디모데 전서 1:4
1:15	로마서 14:14, 마태복음 15:11, 디모데 전서 4:2
1:16	마태복음 7:16-18
2:1	디모데 전서 4:16, 디모데 후서 1:13
2:3	디모데 전서 3:11
2:5	잠언 31:15, 고린도 전서 14:34-35, 베드로 전서 3:1-2
2:6	로마서 12:3, 베드로 전서 5:5
2:7	디모데 후서 2:15
2:8	에베소서 4:29, 골로새서 3:8, 베드로 전서 2:15
2:9	에베소서 6:5, 디모데 전서 6:1, 베드로 전서 2:18
2:10	에베소서 4:28, 마태복음 5:16
2:11	로마서 5:18, 디모데 전서 2:3-4
2:12	베드로 전서 4:3, 요한 1서 2:16, 로마서 12:2, 에베소서 2:1-2
2:13	베드로 전서 1:13
2:14	마태복음 20:28, 디모데 전서 2:5-6, 갈라디아서 1:4, 에베소서 1:7, 골로새서 1:13-14, 베드로 전서 1:18-19, 신명기 7:6, 베드로 전서 2:9, 에베소서 2:10, 히브리서 9:14
2:15	디모데 후서 4:2
3:1	마가복음 12:17, 로마서 13:1, 베드로 전서 2:13-14
3:2	시편 15:3, 에베소서 4:31, 베드로 전서 2:23, 빌립보서 4:5, 야고보서 3:17, 잠언 15:1, 갈라디아서 6:1, 에베소서 4:1-2, 디모데 전서 6:11, 디모데 후서 2:24-25, 베드로 전서 3:15
3:4	누가복음 6:35, 로마서 2:4, 에베소서 4:32
3:5	신명기 9:5, 로마서 3:10, 갈라디아서 3:21, 로마서 5:15, 로마서 5:21, 로마서 6:23, 로마서 5:18, 요한복음 3:5, 로마서 8:23, 고린도 후서 5:17
3:6	사도행전 2:33
3:7	로마서 3:24, 갈라디아서 2:15-16, 로마서 6:23, 로마서 8:17
3:9	디모데 전서 6:20, 디모데 후서 2:23, 디모데 전서 1:3-4, 디모데 전서 6:3-5
3:10	고린도 전서 11:19, 갈라디아서 5:19-20, 요한 계시록 2:6, 디모데 후서 4:2, 로마서 16:17, 요한 2서 1:10
3:12	사도행전 20:4, 에베소서 6:21, 디모데 후서 4:12
3:13	사도행전 18:24-25, 고린도 전서 9:14, 갈라디아서 6:6, 히브리서 13:16
3:14	고린도 전서 9:11, 골로새서 1:10
