1:1	마태복음 13:55
1:2	마태복음 5:11-12
1:3	베드로 전서 1:6-7
1:4	고린도 전서 14:20, 에베소서 4:13
1:5	마태복음 7:11, 열왕기상 3:9, 마가복음 11:24, 요한 1서 3:22, 잠언 2:3-6, 요한복음 15:7, 요한 1서 5:14
1:6	마태복음 7:7, 마태복음 21:22, 히브리서 11:6
1:8	야고보서 4:8
1:9	야고보서 2:5
1:10	디모데 전서 6:17
1:11	이사야 40:6-7, 마태복음 19:24
1:12	마태복음 5:10, 야고보서 1:2, 디모데 후서 4:8, 베드로 전서 5:4, 요한 계시록 2:10, 야고보서 2:5
1:14	창세기 3:6, 요한 1서 2:16
1:15	로마서 5:21
1:17	마태복음 7:11, 예레미야 31:35, 고린도 후서 4:6, 말라기 3:6
1:18	요한복음 1:12-13, 로마서 8:28, 에베소서 1:13-14, 데살로니가 후서 2:13, 베드로 전서 1:23, 요한 계시록 14:4
1:19	잠언 10:19, 잠언 17:27, 전도서 7:9, 마태복음 5:22
1:20	야고보서 3:18
1:21	골로새서 3:8, 베드로 전서 2:1
1:22	레위기 18:5, 사무엘상 15:22, 마태복음 7:21, 요한 1서 3:7
1:23	누가복음 6:46, 야고보서 2:14
1:25	시편 19:7, 마태복음 7:24, 누가복음 11:28, 요한복음 13:17
1:26	시편 39:1, 잠언 12:18, 잠언 15:2, 베드로 전서 3:10
1:27	욥기 29:12-13, 이사야 58:7, 신명기 14:29, 신명기 27:19, 시편 68:5, 이사야 1:17, 디모데 전서 5:3, 고린도 전서 5:7, 야고보서 4:4, 요한 계시록 18:4
2:1	디모데 전서 5:21, 야고보서 3:17
2:3	레위기 19:15
2:4	갈라디아서 3:28, 신명기 1:17
2:5	요한 계시록 2:9, 누가복음 22:28-30
2:6	사도행전 13:50
2:8	레위기 19:18, 마태복음 22:39, 로마서 13:10
2:9	야고보서 2:1, 레위기 19:15
2:10	신명기 27:26, 갈라디아서 3:10
2:11	출애굽기 20:14, 신명기 5:18, 출애굽기 20:13, 신명기 5:17
2:12	야고보서 1:25
2:13	잠언 21:13, 마태복음 5:7, 마태복음 6:15, 누가복음 6:36
2:14	디도서 3:8, 야고보서 1:25, 고린도 전서 13:2
2:16	신명기 15:7-8, 마태복음 25:35-36, 누가복음 3:11, 로마서 12:13, 디모데 전서 5:4, 야고보서 1:27, 요한 1서 3:17
2:17	마태복음 7:21, 히브리서 10:24
2:19	마태복음 8:28-29, 누가복음 4:33-34
2:21	창세기 22:9, 창세기 22:12
2:22	히브리서 11:17
2:23	창세기 15:6, 로마서 4:3, 갈라디아서 3:6, 역대기하 20:7, 이사야 41:8
2:25	여호수아 2:1, 여호수아 2:15, 여호수아 6:17, 히브리서 11:31
2:26	시편 146:4, 로마서 10:10, 야고보서 2:17
3:1	누가복음 12:48
3:2	열왕기상 8:46, 잠언 20:9, 요한 1서 1:8
