1:1	마태복음 10:2, 사도행전 2:5, 사도행전 2:9
1:2	로마서 8:29, 데살로니가 후서 2:13, 히브리서 12:22, 히브리서 12:24
1:3	고린도 전서 15:20, 베드로 전서 1:23, 요한 계시록 20:6
1:4	고린도 전서 15:53, 디모데 후서 1:10, 베드로 전서 5:4, 요한복음 14:2, 디모데 후서 4:8
1:6	고린도 후서 4:17, 디모데 후서 3:12
1:7	야고보서 1:2-3, 데살로니가 후서 1:7-8
1:9	로마서 6:22
1:10	마태복음 13:17
1:11	이사야 53:5, 다니엘 9:24-27
1:12	요한복음 15:26, 사도행전 2:4
1:13	누가복음 12:35, 에베소서 5:17, 베드로 전서 4:7
1:15	신명기 28:9, 로마서 12:1, 히브리서 12:14
1:16	레위기 11:44, 레위기 19:2, 레위기 20:7, 레위기 20:26
1:17	신명기 10:17, 고린도 후서 7:1
1:18	고린도 전서 6:20
1:19	출애굽기 12:5, 레위기 22:20, 요한복음 1:29, 고린도 전서 5:7, 이사야 53:12, 히브리서 9:14
1:20	요한복음 17:5, 에베소서 1:4, 골로새서 1:26-27
1:21	요한복음 14:6, 사도행전 2:24, 히브리서 2:9
1:22	로마서 12:9, 요한 1서 3:17, 디모데 전서 1:5
1:23	요한복음 3:6, 요한복음 6:63, 야고보서 1:18, 요한복음 3:3, 고린도 후서 5:17, 베드로 전서 1:3, 요한 1서 3:9
1:25	이사야 40:6-8, 디도서 1:3
2:1	갈라디아서 5:16, 야고보서 1:21
2:2	마가복음 10:15, 디모데 후서 3:15
2:4	이사야 53:3, 요한복음 19:15, 시편 118:22, 이사야 42:1, 마태복음 21:42, 사도행전 4:11
2:5	에베소서 2:21, 로마서 12:1, 히브리서 13:15
2:6	이사야 28:16
2:7	시편 69:8, 시편 118:22, 마태복음 21:42, 누가복음 20:17, 사도행전 4:11
2:8	이사야 8:14
2:9	요한 계시록 5:10, 요한 계시록 20:6, 출애굽기 19:5-6, 신명기 7:6, 신명기 10:15, 말라기 3:17, 에베소서 5:8, 골로새서 1:13, 이사야 43:20-21
2:10	호세아 1:10, 사도행전 15:14, 로마서 9:25, 호세아 2:23
2:11	베드로 전서 1:17, 갈라디아서 5:17, 야고보서 4:1, 로마서 8:5, 갈라디아서 5:24
2:12	로마서 12:17, 디모데 전서 3:7, 마태복음 5:16, 야고보서 3:13
2:13	로마서 13:1, 에베소서 6:5, 디도서 3:1, 베드로 전서 2:17
2:14	로마서 13:3-4
2:15	디도서 2:7-8
2:16	갈라디아서 5:1, 갈라디아서 5:13, 고린도 전서 7:22
2:17	레위기 19:32, 로마서 12:10, 로마서 13:7, 요한 1서 2:10, 요한 1서 4:21, 시편 111:10, 잠언 8:13, 고린도 후서 7:1, 잠언 24:21
2:18	에베소서 6:5, 골로새서 3:22, 디모데 전서 6:1, 디도서 2:9
2:19	로마서 13:5
2:20	베드로 전서 4:15, 마태복음 5:10, 사도행전 5:41, 베드로 전서 4:14
2:21	베드로 전서 3:18, 마태복음 16:24, 요한복음 13:15
2:22	요한복음 8:46, 히브리서 4:15, 이사야 53:9
2:23	마태복음 27:39, 이사야 53:7, 로마서 12:21, 히브리서 5:8, 예레미야 11:20, 요한복음 8:50
2:24	빌립보서 2:8, 레위기 16:21, 이사야 53:5
2:25	이사야 53:6, 시편 23:1, 이사야 40:11
3:1	로마서 7:2, 고린도 전서 11:3, 에베소서 5:22, 고린도 전서 7:16
3:2	베드로 전서 2:12
3:3	잠언 11:22
3:4	에베소서 4:24, 골로새서 3:10, 골로새서 3:12, 디모데 전서 2:9-10
3:6	창세기 18:12, 에베소서 5:33, 잠언 3:25, 빌립보서 1:28
3:7	갈라디아서 3:28, 에베소서 5:25
3:8	고린도 전서 1:10, 빌립보서 2:2, 로마서 12:10, 로마서 15:5, 골로새서 3:12
3:9	로마서 12:17, 데살로니가 전서 5:15, 베드로 전서 2:23, 로마서 12:14, 고린도 전서 4:12
3:10	야고보서 3:8
3:11	잠언 8:13, 요한 3서 1:11, 데살로니가 전서 5:13, 야고보서 3:17
3:12	요한 1서 3:22, 시편 34:12-16
3:13	로마서 13:3-4
3:14	마태복음 5:11-12, 사도행전 5:41, 베드로 전서 2:19, 마태복음 10:28
3:15	잠언 15:1, 디모데 후서 2:24-25, 디도서 3:1-2, 골로새서 4:6
3:16	사도행전 23:1, 사도행전 24:16, 디모데 전서 1:5, 디모데 전서 1:18-19, 디모데 전서 3:9, 로마서 12:21, 베드로 전서 2:12, 디도서 2:8
3:17	고린도 후서 1:7, 골로새서 1:24, 베드로 전서 4:15
3:18	히브리서 9:28, 고린도 후서 5:18, 로마서 5:6, 고린도 전서 15:50, 디모데 전서 3:16
3:19	베드로 후서 2:4, 유다서 1:6
3:20	창세기 6:14, 창세기 6:2-3, 창세기 7:13, 창세기 7:23
3:21	히브리서 9:14, 히브리서 10:22
3:22	시편 110:1, 사도행전 7:55, 히브리서 10:12, 마태복음 28:18, 고린도 전서 15:25, 에베소서 1:20-21, 빌립보서 2:9-10, 히브리서 1:6
4:1	빌립보서 2:8, 로마서 6:11, 골로새서 3:5, 요한 1서 3:6
4:2	고린도 후서 5:15, 갈라디아서 2:20, 에베소서 5:17
4:3	디도서 3:3, 로마서 13:13, 고린도 전서 5:11, 갈라디아서 5:19, 갈라디아서 5:21, 에베소서 4:17-19
4:4	베드로 전서 3:16
4:5	사도행전 10:42, 사도행전 17:31, 디모데 후서 4:1, 요한 계시록 20:12
4:6	에베소서 2:1
4:7	로마서 12:3, 디모데 전서 3:2, 디도서 2:6, 골로새서 4:2
4:8	골로새서 3:14, 잠언 10:12, 잠언 17:9, 고린도 전서 13:4, 고린도 전서 13:7
4:9	고린도 후서 9:7, 히브리서 13:2
4:10	로마서 12:6-8
4:11	이사야 12:2, 에베소서 3:20, 고린도 전서 10:31
4:12	베드로 전서 5:9
4:13	로마서 8:17, 고린도 후서 4:10, 디모데 후서 3:12, 사도행전 5:41, 야고보서 1:2, 베드로 전서 1:7
4:14	야고보서 1:12, 야고보서 5:11
4:15	디모데 전서 5:13, 베드로 전서 2:20
4:16	골로새서 1:24, 히브리서 12:2
4:17	히브리서 3:6, 고린도 전서 11:32, 데살로니가 후서 1:7-8
4:18	잠언 11:31, 마태복음 7:13-14
4:19	디모데 후서 1:12
5:1	로마서 8:18
5:2	이사야 40:11, 요한복음 21:16, 사도행전 20:28, 요한복음 10:11, 디모데 전서 3:2-3
5:3	고린도 후서 1:24, 빌립보서 3:17
5:4	히브리서 13:20, 고린도 전서 9:25, 디모데 후서 4:8, 베드로 전서 1:3-4
5:5	에베소서 5:21, 야고보서 3:17, 잠언 3:34, 이사야 57:15, 야고보서 4:6
5:6	마태복음 23:12, 누가복음 14:11
5:7	마태복음 6:25, 시편 55:22
5:8	데살로니가 전서 5:6, 누가복음 22:31
5:9	에베소서 6:11, 야고보서 4:7, 사도행전 14:22, 디모데 후서 3:12
5:10	고린도 후서 4:17, 데살로니가 전서 2:12, 데살로니가 후서 2:16-17, 에베소서 6:10
5:12	사도행전 15:27
5:13	사도행전 12:12
