1:2	골로새서 1:9
1:3	요한복음 17:3
1:4	누가복음 22:29-30, 요한복음 14:2, 갈라디아서 3:29, 고린도 전서 15:53, 베드로 전서 1:3-4, 요한 1서 3:2, 요한 계시록 20:6
1:5	빌립보서 2:12, 디모데 후서 2:15, 히브리서 4:11, 유다서 1:3, 빌립보서 4:8, 요한복음 17:3, 히브리서 5:14
1:6	고린도 전서 9:25, 디모데 후서 2:24, 베드로 후서 2:9
1:7	데살로니가 전서 4:9
1:8	디도서 3:14
1:9	요한 1서 2:9, 요한 계시록 3:17, 히브리서 9:14
1:10	히브리서 3:1, 디모데 후서 4:7-8
1:11	다니엘 2:44, 누가복음 16:9, 요한복음 3:5
1:13	고린도 후서 5:1, 로마서 15:15, 유다서 1:5
1:14	요한복음 21:18
1:16	마태복음 17:2, 마가복음 9:2, 누가복음 9:29
1:17	시편 2:7, 마태복음 17:1, 마태복음 17:5, 마가복음 9:7, 누가복음 9:35
1:19	민수기 24:17, 요한 계시록 22:16, 시편 119:105, 요한복음 1:9
1:21	디모데 후서 3:16, 사무엘하 23:2, 사도행전 1:16, 사도행전 28:25, 베드로 전서 1:11
2:1	마태복음 24:24, 디모데 전서 4:1, 고린도 전서 6:20
2:2	유다서 1:4, 이사야 52:5
2:3	유다서 1:4, 베드로 후서 3:9
2:4	창세기 6:4, 에베소서 6:12, 베드로 전서 3:19-20, 유다서 1:6
2:5	창세기 7:23, 베드로 후서 3:6, 창세기 6:9, 히브리서 11:7, 창세기 8:18
2:6	창세기 19:24-25, 유다서 1:7
2:7	창세기 19:15-16
2:9	시편 34:19, 고린도 전서 10:13, 디모데 후서 4:18, 요한 계시록 3:10, 로마서 2:5, 베드로 후서 3:7
2:10	유다서 1:7, 출애굽기 22:28, 유다서 1:8
2:11	유다서 1:9
2:12	유다서 1:10
2:13	로마서 13:13, 유다서 1:12
2:14	마태복음 5:28
2:15	민수기 22:5-6, 유다서 1:11, 요한 계시록 2:14, 민수기 22:7, 느헤미야 13:2
2:16	민수기 22:31, 민수기 22:34, 민수기 31:8, 민수기 22:28
2:17	유다서 1:12-13
2:18	유다서 1:16, 베드로 후서 2:14
2:19	베드로 전서 2:16, 로마서 6:16
2:20	베드로 후서 1:4, 히브리서 6:4-6, 히브리서 10:26
2:21	누가복음 12:47, 요한복음 15:22
2:22	잠언 26:11
3:1	로마서 15:15, 베드로 후서 1:13
3:3	유다서 1:17-18
3:4	예레미야 17:15, 마태복음 24:48, 누가복음 12:45, 에스겔 12:22, 에스겔 12:27
3:5	창세기 1:6, 창세기 1:9
3:6	창세기 7:11, 창세기 7:23, 마태복음 24:38-39
3:7	신명기 7:10, 데살로니가 후서 1:7-9
3:8	시편 90:4
3:9	하박국 2:3, 로마서 2:4
3:10	요엘 2:31, 스바냐 1:14, 데살로니가 전서 5:2, 요한 계시록 21:1, 시편 37:10, 이사야 13:9, 스바냐 1:18, 요한 계시록 6:14
3:12	스바냐 1:14, 이사야 34:4
3:13	이사야 65:17, 이사야 66:22, 요한 계시록 21:1, 이사야 11:4-5
3:14	고린도 후서 13:11
3:15	로마서 2:4
3:17	마태복음 24:24, 에베소서 4:14
