1:1	요한복음 1:4, 요한복음 6:68
1:2	요한복음 17:3, 요한복음 21:24, 사도행전 2:32
1:3	요한복음 15:26-27, 사도행전 4:20, 요한복음 17:20-21
1:5	야고보서 1:17
1:6	고린도 후서 6:14, 에베소서 5:8, 디도서 1:16, 요한 1서 2:4
1:7	로마서 3:25, 에베소서 1:7, 히브리서 9:14, 히브리서 10:22, 요한 계시록 1:5
1:8	열왕기상 8:46, 전도서 7:20
1:9	시편 32:5, 잠언 28:13, 야고보서 5:16
2:1	로마서 8:34, 히브리서 7:25, 디모데 전서 2:5
2:2	이사야 53:5, 로마서 3:25, 디모데 전서 1:15, 히브리서 2:17, 베드로 전서 2:24, 요한 1서 4:10, 고린도 전서 5:7, 마태복음 20:28, 요한복음 1:29
2:5	요한 1서 4:18, 요한복음 14:20, 요한복음 17:21
2:6	요한복음 13:15, 베드로 전서 2:21
2:7	요한복음 13:34, 요한 2서 1:5
2:8	요한복음 1:9, 요한복음 8:12
2:9	에베소서 4:31, 골로새서 3:8, 고린도 전서 13:2, 요한 1서 3:15
2:10	에베소서 5:8
2:11	요한 1서 4:20, 요한복음 12:35
2:12	누가복음 24:47, 사도행전 4:12, 사도행전 10:43
2:13	야고보서 4:7, 요한 1서 5:19, 요한 계시록 12:10-11, 요한복음 17:25
2:14	에베소서 6:10, 요한 3서 1:3, 로마서 8:37
2:15	로마서 12:2, 고린도 전서 7:31, 디도서 2:11-12, 마태복음 6:24, 야고보서 4:4
2:16	마태복음 5:28, 로마서 13:14, 창세기 3:6, 잠언 27:20, 마태복음 4:8
2:17	고린도 전서 7:31, 베드로 전서 1:24, 시편 37:29, 마태복음 7:21, 요한복음 6:40
2:18	데살로니가 후서 2:3, 베드로 후서 2:1, 데살로니가 후서 2:7, 요한 2서 1:7, 유다서 1:4
2:19	사도행전 20:30, 고린도 전서 11:19
2:20	고린도 후서 1:21, 요한 1서 2:27
2:21	요한복음 8:31-32, 요한복음 8:44
2:22	요한 1서 4:3, 요한 2서 1:7, 요한 1서 2:18
2:23	요한복음 5:23, 요한 2서 1:9, 로마서 10:9-10, 요한 1서 4:15
2:24	요한복음 14:23, 요한 2서 1:6
2:25	요한복음 17:3, 요한 1서 1:2
2:27	고린도 후서 1:21, 요한 1서 2:20, 요한복음 14:26, 요한복음 16:13, 요한복음 17:21
2:28	요한 1서 4:17
2:29	베드로 전서 1:23, 요한 1서 4:7
3:1	요한복음 3:16, 요한복음 1:12-13, 요한복음 15:19, 요한복음 17:25
3:2	로마서 8:15-16, 에베소서 1:5, 고린도 전서 15:49, 빌립보서 3:20-21
3:3	고린도 후서 7:1
3:5	레위기 16:21-22, 이사야 53:11, 요한복음 1:29
3:6	로마서 6:12
3:8	창세기 3:14, 요한복음 8:44, 요한복음 16:33, 히브리서 2:14
3:9	요한 1서 5:18, 베드로 전서 1:23
3:10	요한 1서 4:8
3:11	요한복음 13:34, 요한 1서 2:7, 요한 2서 1:5
3:12	창세기 4:8, 창세기 4:5, 창세기 4:4, 히브리서 11:4
3:13	마태복음 5:11, 요한복음 15:18, 디모데 후서 3:12
3:14	요한 1서 2:10, 요한복음 5:24, 로마서 8:2, 요한복음 3:36
3:15	마태복음 5:21-22, 에베소서 4:31, 창세기 9:6, 민수기 35:31, 요한 계시록 21:8
3:16	요한복음 3:16, 요한복음 13:1, 요한복음 15:13, 요한복음 13:15, 로마서 16:3-4, 데살로니가 전서 2:8
3:17	신명기 15:7-8, 누가복음 3:11, 로마서 12:13, 야고보서 2:15-16, 요한 1서 4:20
3:18	로마서 12:9, 야고보서 1:22, 야고보서 2:17, 베드로 전서 1:22
3:20	히브리서 4:13
3:21	히브리서 4:16, 요한 1서 5:14
3:22	시편 34:15, 마태복음 7:8, 베드로 전서 3:12
3:23	요한복음 6:29, 요한복음 13:34
3:24	요한 1서 2:24, 요한복음 14:23
4:1	데살로니가 후서 2:1-2, 디모데 전서 4:1, 요한 계시록 22:6, 베드로 후서 2:1
4:2	요한복음 1:14, 고린도 전서 12:3, 요한 계시록 19:10
4:3	요한 1서 2:22, 데살로니가 후서 2:7, 요한 1서 2:18, 사도행전 20:29-30
4:4	요한 1서 5:4, 요한복음 17:21, 에베소서 2:2
4:5	요한 1서 5:19, 요한복음 15:19
4:6	요한복음 10:27, 요한복음 8:47, 요한 1서 4:1
4:7	베드로 전서 1:22, 요한 1서 4:16
4:8	출애굽기 34:6, 미가 7:18, 요한 1서 4:19
4:9	요한복음 1:14, 요한복음 3:16, 로마서 5:8, 로마서 8:32, 요한 1서 5:11
4:10	고린도 전서 5:7, 로마서 3:25, 히브리서 2:17, 히브리서 9:26, 요한 1서 2:1-2
4:11	마태복음 18:33, 요한복음 15:12, 로마서 13:8, 요한 1서 3:16
4:12	출애굽기 33:20, 요한복음 1:18, 요한복음 4:24, 요한복음 6:46, 요한 1서 2:5
4:14	마태복음 1:21, 요한복음 3:17, 요한복음 12:47, 사도행전 5:31
4:15	로마서 10:9, 요한 1서 2:23-24
4:16	요한복음 3:16, 요한 1서 4:8, 요한복음 17:21
4:17	히브리서 4:16, 요한 1서 2:28
4:18	로마서 8:15, 요한 1서 2:5
4:19	요한 1서 4:10
4:20	요한 1서 2:4, 요한 1서 3:17, 요한 1서 4:12
