1:1	아모스 3:7, 요한 계시록 7:3-4, 다니엘 2:28, 마태복음 10:2, 마가복음 1:19, 요한복음 21:20
1:3	시편 1:2, 누가복음 11:28, 요한복음 13:17, 야고보서 1:22
1:4	요한 계시록 1:11, 요한 계시록 1:8, 요한 계시록 4:8, 요한 계시록 11:17, 요한 계시록 4:5
1:5	요한 계시록 3:14, 골로새서 1:18, 시편 89:27, 디모데 전서 6:15, 요한 계시록 19:16, 요한복음 15:9, 히브리서 9:14, 베드로 전서 1:18-19, 요한 1서 1:7
1:6	출애굽기 19:6, 누가복음 22:28-30, 베드로 전서 2:5, 요한 계시록 5:9-10, 요한 계시록 20:6
1:7	마태복음 26:64, 마가복음 13:26, 마태복음 24:30
1:8	이사야 48:12, 요한 계시록 21:6, 요한 계시록 22:13, 출애굽기 6:3
1:9	로마서 8:17, 마태복음 24:9, 누가복음 12:32, 마태복음 10:22, 디모데 후서 2:12
1:11	에베소서 1:1, 요한 계시록 2:1, 요한 계시록 2:8, 요한 계시록 2:12, 요한 계시록 2:18, 요한 계시록 3:1, 요한 계시록 3:7, 요한 계시록 3:14
1:12	요한 계시록 1:20
1:13	다니엘 7:13
1:14	요한 계시록 19:12
1:15	요한 계시록 2:18
1:16	요한 계시록 1:20, 이사야 49:2, 마태복음 17:1-2
1:17	사도행전 26:23, 골로새서 1:18, 요한 계시록 1:5, 요한 계시록 2:8
1:18	고린도 전서 15:45, 베드로 전서 3:18, 로마서 6:9, 디모데 전서 6:16, 마태복음 16:18, 요한복음 6:54, 요한복음 11:25
1:20	마태복음 5:16, 빌립보서 2:15
2:1	사도행전 19:1, 에베소서 1:1, 요한 계시록 1:20, 요한 계시록 1:12-13
2:2	사도행전 20:29-30, 고린도 후서 11:13, 요한 1서 4:1
2:3	베드로 전서 4:14, 갈라디아서 6:9
2:5	요한 계시록 3:19, 요한 계시록 1:20, 요한 계시록 2:16
2:6	고린도 전서 11:19, 요한 계시록 2:15
2:7	마태복음 11:15, 요한 계시록 2:17, 요한 계시록 2:29, 요한 1서 5:4, 로마서 2:6-7, 요한 계시록 2:10
2:8	요한 계시록 1:13, 요한 계시록 1:17, 로마서 14:9
2:9	고린도 후서 6:4, 고린도 후서 6:10, 디모데 전서 6:18-19, 야고보서 2:5, 요한 계시록 3:9
2:10	마태복음 10:28, 로마서 2:6-7, 디모데 후서 4:7-8, 야고보서 1:12, 요한 계시록 20:4
2:11	요한 계시록 13:9, 요한 1서 5:5, 요한 계시록 20:6, 요한 계시록 20:14, 요한 계시록 21:8
2:12	요한 계시록 1:13, 요한 계시록 1:16, 요한 계시록 19:15
